ror,name
https://ror.org/00pg5jh14,Assistance Publique – Hôpitaux de Paris
https://ror.org/01502ca60,Hospices Civils de Lyon
https://ror.org/00mthsf17,Centre Hospitalier Universitaire de Montpellier
https://ror.org/017h5q109,Centre hospitalier universitaire de Toulouse
https://ror.org/002cp4060,Assistance publique - Hôpitaux de Marseille
https://ror.org/01hq89f96,Centre hospitalier universitaire de Bordeaux
https://ror.org/02tcf7a68,Centre hospitalier universitaire de Clermont-Ferrand
https://ror.org/041rhpw39,Centre hospitalier universitaire Grenoble-Alpes
https://ror.org/05c1qsg97,Centre hospitalier universitaire de Nantes
https://ror.org/05qsjq305,Centre hospitalier universitaire de Nice
https://ror.org/010567a58,Centre hospitalier universitaire d'Amiens - Picardie
https://ror.org/04pn6vp43,Centre hospitalier universitaire de Saint-Étienne
https://ror.org/04bckew43,Hôpitaux universitaires de Strasbourg
https://ror.org/02ppyfa04,Centre hospitalier régional universitaire de Lille
https://ror.org/027arzy69,Centre hospitalier universitaire de Caen
https://ror.org/05qec5a53,Centre hospitalier universitaire de Rennes
https://ror.org/00cxy0s05,Centre hospitalier universitaire de Rouen
https://ror.org/0084te143,Centre hospitalier régional universitaire de Besançon
https://ror.org/0250ngj72,Centre hospitalier universitaire d'Angers
https://ror.org/0275ye937,Centre hospitalier universitaire de Nîmes
https://ror.org/0377z4z10,Centre hospitalier universitaire de Dijon
https://ror.org/016ncsr12,Centre hospitalier régional et universitaire de Nancy
https://ror.org/03evbwn87,Centre hospitalier universitaire de Brest
https://ror.org/029s6hd13,Centre hospitalier universitaire de Poitiers
https://ror.org/00jpq0w62,Centre hospitalier universitaire de Tours
https://ror.org/01tc2d264,Centre hospitalier universitaire de Limoges
https://ror.org/01jbb3w63,Centre hospitalier universitaire de Reims
https://ror.org/04yvax419,Centre hospitalier régional d'Orléans
https://ror.org/004dan487,Centre Hospitalier Universitaire de la Réunion
https://ror.org/02d741577,Centre Hospitalier Régional Metz-Thionville
https://ror.org/0376kfa34,Centre hospitalier universitaire de Martinique
https://ror.org/04sfmcd28,Centre hospitalier universitaire de la Guadeloupe
