ror,name
https://ror.org/04vhgtv41,Unicancer
https://ror.org/04q9mdf26,Institut Sainte Catherine
https://ror.org/04s3t1g37,Institut Paoli-Calmettes
https://ror.org/05qjz5228,Institut Jean Godinot
https://ror.org/0321g0743,Institut Gustave-Roussy
https://ror.org/03capj968,Institut de recherche en cancérologie de Montpellier
https://ror.org/008fdbn61,Institut de cancérologie Strasbourg Europe
https://ror.org/01m6as704,Institut de Cancérologie de l'Ouest
https://ror.org/00yphhr71,Institut de Cancérologie de Lorraine
https://ror.org/04t0gwh46,Institut Curie
https://ror.org/03pa87f90,Institut Claudius-Regaud
https://ror.org/02yw1f353,Institut Bergonié
https://ror.org/03xfq7a50,Centre Oscar Lambret
https://ror.org/01cmnjq37,Centre Léon-Bérard
https://ror.org/02pwnhd33,Centre Jean Perrin
https://ror.org/00whhby07,Centre Henri Becquerel
https://ror.org/00pjqzf38,Centre Georges Francois Leclerc
https://ror.org/02x9y0j10,Centre François-Baclesse
https://ror.org/05hmfw828,Centre Antoine Lacassagne
https://ror.org/01yezas83,Center Eugene Marquis
