inserm_concat,NCT Number,Title_first,Acronym_first,Status_first,Study Results_first,Conditions_first,Interventions_first,Outcome Measures_first,Sponsor/Collaborators_first,Gender_first,Age_first,Phases_first,Enrollment_first,Funded Bys_first,Study Type_first,Study Designs_first,Other IDs_first,Start Date_first,Primary Completion Date_first,Completion Date_first,First Posted_first,Results First Posted_first,Last Update Posted_first,Locations_first,Study Documents_first,URL_first,nct,pmids
oui,NCT00001671,The Classification and Cause of Leukodystrophies of Unknown Cause,,Completed,No Results Available,Lysosomal Storage Disease,,,National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health Clinical Center (CC),All,"Child, Adult, Older Adult",,400,NIH,Observational,,970170|97-N-0170,"September 9, 1997",,"December 15, 2008","November 4, 1999",,"July 2, 2017","University of California, San Francisco, San Francisco, California, United States|Childrens National Medical Center, Washington, D.C., District of Columbia, United States|Institut National de la Sante' et de la Recherche Medicale, Clermont-Ferrand, Cedex, France|Tel Aviv University, Tel Aviv, Israel|Academiseh Ziuekenhuis Vrije Universiteit, Amsterdam, Netherlands",,https://ClinicalTrials.gov/show/NCT00001671,NCT00001671,28748214
oui,NCT00090051,FCR Versus FC Alone in the Treatment of Chronic Lymphocytic Leukemia (CLL) in Relapsed Patients,,Completed,Has Results,Chronic Lymphocytic Leukemia,Drug: Rituximab|Drug: Fludarabine Phosphate|Drug: Cyclophosphamide,Progression-free Survival (PFS) as Assessed by the Independent Review Committee (IRC)|Number of Participants With Progression-free Survival (PFS) Events Assessed by the Independent Review Committee (IRC)|Final Analysis: Time to Progression-Free Survival Event|Overall Survival (OS)|Number of Participants With Overall Survival (OS) Events|Event-free Survival (EFS)|Number of Participants With Event-free Survival (EFS) Events|Disease-free Survival (DFS)|Number of Participants With Disease-free Survival (DFS) Events|Final Analysis: Time to Overall Survival Event|Final Analysis: Time to Event-Free Survival Event|Final Analysis: Percentage of Participants With Complete Response|Final Analysis: Time to Disease-Free Survival Event|Final Analysis: Duration of Response|Final Analysis: Time to New Chronic Lymphocytic Leukemia (CLL) Treatment,"Hoffmann-La Roche|Biogen|Genentech, Inc.",All,"18 Years and older � (Adult, Older Adult)",Phase 3,552,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,102-14|BO17072,"July 31, 2003","July 23, 2008","May 31, 2012","August 25, 2004","January 23, 2012","August 1, 2017","Uab Comprehensive Cancer Center, Birmingham, Alabama, United States|Pacific Coast Hematology/Oncology Medical Group, Fountain Valley, California, United States|California Cancer Center Woodward Park; Community Medical Centers, Fresno, California, United States|Rush-Presbyterian St. Luke'S Medical Center, Chicago, Illinois, United States|Duke University Medical Center, Durham, North Carolina, United States|Milton S. Hershey Medical Center; Penn State Cancer Inst., Hershey, Pennsylvania, United States|Concord Repatriation General Hospital; Haematology, Sydney, New South Wales, Australia|Mater Hospital; Division of Cancer Services, Brisbane, Queensland, Australia|Frankston Hospital; Oncology/Haematology, Frankston, Victoria, Australia|Peter Maccallum Cancer Institute; Medical Oncology, Melbourne, Victoria, Australia|ZNA Stuivenberg, Antwerpen, Belgium|Institut Jules Bordet, Bruxelles, Belgium|UZ Leuven Gasthuisberg, Leuven, Belgium|Uni of Alberta Hospital, Edmonton, Alberta, Canada|BCCA-Vancouver Cancer Centre, Vancouver, British Columbia, Canada|Health Science Centre, St. John's, Newfoundland and Labrador, Canada|QEII HSC; Oncology, Halifax, Nova Scotia, Canada|Hamilton Health Sciences - Juravinski Cancer Centre; Hematology, Hamilton, Ontario, Canada|The Ottawa Regional Hospital - General Campus; Division of Hematology, Box 704, Ottawa, Ontario, Canada|Sunnybrook Odette Cancer Centre, Toronto, Ontario, Canada|University Health Network; Princess Margaret Hospital; Medical Oncology Dept, Toronto, Ontario, Canada|Mcgill University - Royal Victoria Hospital; Oncology, Montreal, Quebec, Canada|Righospitalet, H�matologisk Klinik, K�benhavn �, Denmark|Aarhus Universitetshospital, H�matologisk Afdeling R, �rhus, Denmark|Hopital Avicenne; Hematologie Biologique, Bobigny, France|Hopital Clemenceau; Hematologie Clinique, Caen, France|Chu Estaing; Hematologie Clinique Adultes, Clermont Ferrand, France|Hopital Henri Mondor; Hematologie Clinique, Creteil, France|Clinique Victor Hugo; Chimiotherapie, Le Mans, France|Hopital Claude Huriez; Hematologie, Lille, France|Hopital Edouard Herriot; Bat.E-Hematologie, Lyon, France|Centre Leon Berard; Departement Oncologie Medicale, Lyon, France|Institut J Paolii Calmettes; Onco Hematologie 1, Marseille, France|H�pital Lapeyronie; H�matologie Oncologie M�dicale, Montpellier, France|Hopital Hotel Dieu Et Hme;Hopital De Jour, Nantes, France|Hotel Dieu; Hematologie- Oncologie, Paris, France|Inserm Cic 9504, Paris, France|Hopital Pitie Salpetriere; Hematologie Clinique, Paris, France|Ch Lyon Sud; Hemato Secteur Jules Courmont, Pierre Benite, France|Chu La Miletrie; Hdj Cons Hemato Cancerologie, Poitiers, France|Centre Henri Becquerel; Hematologie, Rouen, France|Hopital Bretonneau; Clinique D'Oncologie & de Radiotherapie, Tours, France|Hopitaux De Brabois; Hematologie Medecine Interne, Vandoeuvre Les Nancy, France|Szent Laszlo Hospital; Hematology Dept, Budapest, Hungary|National Institute of Oncology, A Dept of Internal Medicine, Budapest, Hungary|Orsz�gos Gy�gyint�zeti K�zpont; Haematologiai Osztaly, Budapest, Hungary|Uni of Debrecen; 2Nd Clinic of Internal Medicine, Debrecen, Hungary|University of Debrecen Medical and Health Science Center, Institute of Internal Medicine, Hematology, Debrecen, Hungary|Uni of Pecs; Dept of Internal Medicine, Pecs, Hungary|University of Szeged, II Dept of Internal Medicine, Szeged, Hungary|A.O. Universitaria Federico II Di Napoli; Oncologia Ed Endocrinologia Clinica, Napoli, Campania, Italy|A.O. Universitaria Policlinico S.Orsola-Malpighi Di Bologna, Bologna, Emilia-Romagna, Italy|Ospedale S. Eugenio; Divisione Di Ematologia, Roma, Lazio, Italy|Az. Osp. S. Camillo Forlanini; Uo Ematologia E Trapianti Di Midollo Osseo, Roma, Lazio, Italy|Universita' Degli Studi La Sapienza-Ist.Di Ematologia;Dip. Biotecnologie Cel CELLULARI ED EMATOLOGIA, Roma, Lazio, Italy|Asst Grande Ospedale Metropolitano Niguarda; Dipartimento Di Ematologia Ed Oncologia, Milano, Lombardia, Italy|Irccs Policlinico San Matteo; Divisione Di Ematologia, Pavia, Lombardia, Italy|Uni Degli Studi Di Bari, Policlinico; Cattedra Di Ematologia,Dipart. Di Medicina Interna E Publica, Bari, Puglia, Italy|IRCCS Ospedale Casa Sollievo Della Sofferenza; Ematologia E Trapianto Di Midollo Osseo, San Giovanni Rotondo, Puglia, Italy|Ospedale Di Vicenza; Nefrologia, Ematologia, Vicenza, Veneto, Italy|Meander Mc, Locatie Lichtenberg; Dept of Lung Diseases, Amersfoort, Netherlands|Academisch Medisch Centrum Universiteit Amsterdam, Amsterdam, Netherlands|Leyenburg Ziekenhuis; Haematology, Den Haag, Netherlands|Erasmus Mc - Daniel Den Hoed Kliniek; Medical Oncology, Rotterdam, Netherlands|Auckland city hospital; Auckland Regional Cancer Centre and Blood Service, Auckland, New Zealand|Christchurch Hospital; Canterbury Health Laboratories, Christchurch, New Zealand|Wellington Hospital; Regional Oncology Unit, Wellington, New Zealand|Haukeland Universitetshospital; Medicine Dept, Bergen, Norway|Rikshospitalet Uni Hospital, Oslo, Norway|Medical University School; Dept. of Haematology, Lodz, Poland|Katedra i Klinika Hematoonkologii i Transplantacji Szpiku; Uniwersytetu Medycznego w Lublinie, Lublin, Poland|Akademii Medycznej W; Klinika Hematologii, Poznan, Poland|Klin. Chorob Wewnetrznych I Hemat. Z Osrodkiem Transplant. Szpiku, Warszawa, Poland|Instytut Hematologii I Transfuzjologii; Klinika Chorob Wewnetrznych I Hematologii, Warszawa, Poland|Samodzielny Publiczny Centralny Szpital Kliniczny; Haematology Dept., Warszawa, Poland|Fundeni Clinical Inst. ; Hematology Dept, Bucharest, Romania|Spitalul Clinic Coltea; Clinica de Hematologie, Bucuresti, Romania|Spitalul Clinic Judetean de Urgenta Targu-Mures; compartiment Hematologie, Targu-mures, Romania|Spitalul Clinic municipal de Urgenta Timisoara; Clinica de Hematologie, Timisoara, Romania|N.N.Blokhin Russian Cancer Research Center; Dept. of Chemotherapy & Hemoblastosis, Moscow, Russian Federation|Haematology Research Center; Haematology, Moscow, Russian Federation|City Clinical Botkin's Hospital; City Hematological Center, Moscow, Russian Federation|Medical Radiological Research Centre Rams; Dept. of Radiotherapy & Chemotherapy of Hemoblastosis, Obninsk, Russian Federation|Regional Clinical Hospital N.A. Kalinin; Hematology Dept, Samara, Russian Federation|Research Inst. Hematology /Blood Transfusion ; Hemablastosis, Supression Hemopoesis & B M Transplant, St Petersburg, Russian Federation|Regional Clinical Hospital; Hematology Dept. #2 For B M Transplantation & High Dose Chemo., St Petersburg, Russian Federation|Pavlov State Medical Uni ; Bone Marrow Transplantation Clinic, St Petersburg, Russian Federation|S.-Peterburg Pavlov State Medical University ; Haematology, St Petersburg, Russian Federation|State Medical Inst. Municipal Hospital #31; Oncology & Hematology Dept. With the Usechemo. in Adult, St Petersburg, Russian Federation|Hospital Universitario de la Princesa; Servicio de Hematologia, Madrid, Spain|Hospital Univ. 12 de Octubre; Servicio de Hematologia, Madrid, Spain|Hospital Clinico Universitario de Salamanca;Servicio de Hematologia, Salamanca, Spain|Hospital Clinico Universitario de Valencia; Servicio de Onco-hematologia, Valencia, Spain|Hospital Universitario Miguel Servet; Servicio Hematologia, Zaragoza, Spain|Karolinska Inst. , Huddinge Uni Hospital; Depart. of Hematology, Huddinge, Sweden|Universitetssjukhuset i Link�ping, Hematologkliniken, Linkoeping, Sweden|Royal Bournemouth General Hospital; Haematology, Bournemouth, United Kingdom|Addenbrookes Hospital; Haematology, Cambridge, United Kingdom|Stobhill Hospital; Dept of Haematology, Glasgow, United Kingdom|Leeds General Infirmary; Medicine, Leeds, United Kingdom|Leicester Royal Infirmary; Dept of Haematology, Leicester, United Kingdom|Royal Liverpool Uni Hospital; Haematology, Liverpool, United Kingdom|St. Bartholomew'S Hospital; Dept of Medical Oncology, London, United Kingdom|King'S College Hospital; Haematology, London, United Kingdom|Royal Marsden Hospital; Academic Dept of Haematology, Sutton, United Kingdom|Pinderfields General Hospital; Dept of Haematology, Wakefield, United Kingdom",,https://ClinicalTrials.gov/show/NCT00090051,NCT00090051,24916506;23525797
anrs,NCT00113282,Efficacy of Adding Interleukin-2 to an Optimized Antiretroviral Regimen in HIV Patients in Therapeutic Failure (ANRS123),,Completed,No Results Available,HIV Infections,Drug: Interleukin-2 (IL-2),"proportion of patients reaching an absolute CD4 count over 200/mm3 at Week 52 (W52)|group B or C events (1993 CDC classification of HIV infection)between Week 00 and Week 96|median value of the CD4 count at W52|evolution of the CD4 count during the study|time to the first visit with a CD4 count ? 200/mm3|tolerance of IL-2|tolerance of antiretroviral drugs|evolution of the plasma HIV RNA load at W64 and W76|evolution of the HIV DNA level in PBMCs at W64 and W76|number of modifications of antiretroviral regimen until W52|clinical status at W64 and W76|CD4 count at W64, W76 and W96|plasma HIV RNA load at W64, W76 and W96|number of modifications of antiretroviral regimen at W64 and W76|proportion of patients increasing their CD4 count over 50/mm3 between Week 00 and Week 24, and between Week 00 and Week 52",French National Agency for Research on AIDS and Viral Hepatitis|Chiron Corporation,All,"18 Years and older � (Adult, Older Adult)",Phase 2,57,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2004-001329-29|ANRS123,June 2004,December 2007,February 2008,"June 8, 2005",,"December 22, 2011","H�pital Necker service des Maladies Infectieuses, Paris, France",,https://ClinicalTrials.gov/show/NCT00113282,NCT00113282,
anrs,NCT00115609,Efficacy of Tenofovir-Emtricitabine and Efavirenz in HIV Infected Patients With Tuberculosis (ANRS129),,Completed,No Results Available,HIV Infections|Tuberculosis,Drug: efavirenz|Drug: tenofovir DF|Drug: emtricitabine,"treatment success rate at week 48 (W48)|course of plasma HIV-1 RNA between W0 and W48|tuberculosis cure rate|safety of trial treatments (number of events, description, time to onset, metabolic disorders, immune restoration syndrome)|frequency of treatment changes or discontinuations|clinical progression of HIV infection|course of CD4 and CD8 T lymphocytes|study of resistance in the case of virological failure|study of compliance and quality of life|pharmacokinetic study of tuberculostatic agents|effect of treatment on hepatitis B viral replication",French National Agency for Research on AIDS and Viral Hepatitis,All,"18 Years and older � (Adult, Older Adult)",Phase 3,70,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2005-002470-30|ANRS129 BKVIR,January 2006,November 2009,November 2009,"June 24, 2005",,"December 22, 2011","Service des maladies Infectieuses et tropicales Hopital Necker-Enfants Malades, Paris, France",,https://ClinicalTrials.gov/show/NCT00115609,NCT00115609,
anrs,NCT00116454,Trial for Hepatocellular Carcinoma Adjuvant Treatment by Lipiocis,Lipiocis,Completed,No Results Available,"Carcinoma, Hepatocellular|Hepatitis, Viral, Human",Drug: 131 I-lipiodol,"to determine if the Lipiocis treatment decreases the % of tumoral recurrence after 24 months, judged on the rise of alpha-fetoprotein and the reappearance of one or more tumours on the hepatic CT scan|overall survival|recurrence-free survival|treatment toxicity|Deterioration of the hepatocellular function","ANRS, Emerging Infectious Diseases",All,"18 Years to 75 Years � (Adult, Older Adult)",Phase 3,73,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2004-003883-31|ANRS HC06 LIPIOCIS,July 2005,August 2013,August 2013,"June 30, 2005",,"September 23, 2013","Service d'H�patologie H�pital Saint Antoine, Paris, France",,https://ClinicalTrials.gov/show/NCT00116454,NCT00116454,
anrs,NCT00117494,Rosuvastatin Versus Pravastatin in HIV Patients Treated With Boosted Protease Inhibitors (PI) (ANRS126),,Completed,No Results Available,Hyperlipidemia|HIV Infections,Drug: Pravastatin|Drug: Rosuvastatin,"Compare the change in LDL cholesterol between D0 and D45, in patients receiving rosuvastatin (10 mg/day) or pravastatin (40 mg/day) and treated by antiretroviral agents including a boosted protease inhibitor on D45.|Changes in triglycerides and HDL cholesterol on D45|Percentage of patients with a normal value of LDL cholesterol, HDL cholesterol and triglycerides on D45 Clinical and biological safety parameters of rosuvastatin and pravastatin|Distribution profile of the diameter of LDL cholesterol particles|Cmin of rosuvastatin and pravastatin on D15|Cmin of protease inhibitors on D15.",French National Agency for Research on AIDS and Viral Hepatitis,All,"18 Years and older � (Adult, Older Adult)",Phase 4,86,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2005-001451-38|ANRS 126,October 2005,March 2007,June 2007,"July 7, 2005",,"December 22, 2011","service de M�decine Interne Hopital Hotel Dieu, Paris, France",,https://ClinicalTrials.gov/show/NCT00117494,NCT00117494,22739396;22318219
anrs,NCT00118677,Long-Term Supervised Treatment Interruption in HIV-Infected Patients,,Completed,No Results Available,HIV Infections,Procedure: Treatment interruption,Proportion of patients who did not resume antiretroviral treatment at 12 months|Time to resume antiretroviral treatment with CD4 cell count equal or below 300/mm3|Proportion of patients who did not resume antiretroviral treatment at M 24 and M 36|Predictive factors associated with the time of restart of antiretroviral therapy: Proviral HIV DNA at baseline and during follow-up|Plasma HIV RNA at baseline and during follow-up|CD4 T cell and CD8 T cell HIV specific responses at baseline and after 12 months|Change in lipodystrophy clinical score and quality of life during the follow-up|Criteria to resume antiretroviral treatment: CD4T cell count below or equal to 300/mm3|The occurrence of an AIDS defining event,French National Agency for Research on AIDS and Viral Hepatitis,All,"18 Years and older � (Adult, Older Adult)",Phase 3,130,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ANRS 116 SALTO,February 2003,,May 2007,"July 12, 2005",,"August 30, 2007","Service d'immunologie Clinique, H�pital Europ�en Georges Pompidou, Paris, France",,https://ClinicalTrials.gov/show/NCT00118677,NCT00118677,20657770
anrs,NCT00120185,Efficacy of Using Interleukin-2 in Antiretroviral Na�ve HIV Patients (ANRS119),,Completed,No Results Available,HIV Infections,Drug: Interleukin-2,"Proportion of patients reaching an absolute CD4 count below 300/mm3 at W96|Group B or C events (1993 CDC classification of HIV infection)|Initiation of antiretroviral therapy|Evolution of the CD4 count during the study|Time to the first visit with a CD4 count below 300/mm3|Tolerance of IL-2|Evolution of the plasma HIV RNA load|Evolution of the HIV DNA level in PBMCs|Quality of life at W96|Assessment of lipodystrophy at W96|Immunological substudies (CD4 homeostasis, anti HIV cellular immune responses) at W96",French National Agency for Research on AIDS and Viral Hepatitis|Chiron Corporation,All,"18 Years and older � (Adult, Older Adult)",Phase 2,130,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2004-003897-27|ANRS119 Interstart,December 2003,November 2006,November 2006,"July 15, 2005",,"December 22, 2011","Service des Maladies Infectieuses, Paris, France",,https://ClinicalTrials.gov/show/NCT00120185,NCT00120185,19508157
anrs,NCT00120367,Early Intensification of Antiretroviral Therapy Including Enfuvirtide in HIV-1-Related Progressive Multifocal Leucoencephalopathy (ANRS125),,Completed,No Results Available,"Leukoencephalopathy, Progressive Multifocal|HIV Infections",Drug: Enfuvirtide|Drug: Tenofovir-Emtricitabine,Estimation by the method of Kaplan-Meier of the rate of survival at M12|Rate of survival and functional score (Modified Rankin Outcome Scale) at M12|Evolution of the JC viral load in the CSF and percentage of patients with JC virus clearance of the CSF to M3 and M6|Evolution of the CD4 and CD8 T cells sub-populations and of the antivirus JC specific T cell responses at M12|Dosage of the concentration of enfuvirtide in the CSF,French National Agency for Research on AIDS and Viral Hepatitis|Hoffmann-La Roche|Gilead Sciences,All,"18 Years and older � (Adult, Older Adult)",Phase 2,30,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2005-000424-16|ANRS 125,April 2005,December 2007,December 2007,"July 18, 2005",,"December 22, 2011","Service de Medecine interne et Maladies Infectieuses, Hopital Bicetre, Le Kremlin Bicetre, France",,https://ClinicalTrials.gov/show/NCT00120367,NCT00120367,21738597
anrs,NCT00120757,Efficacy of Alendronate Versus Placebo in the Treatment of HIV-associated Osteoporosis (ANRS120),,Completed,No Results Available,Osteoporosis|HIV Infections,Drug: Alendronate,Percentage of variation of lumbar BMD on DEXA scan at month 24 versus month 0 for patients included with lumbar osteoporosis (femoral for those included with only femoral osteoporosis)|Percentage of variation of femoral T-score between M0 and M24|Percentages of variation of lumbar and femoral T score between M0 and M12|Evolution of bone metabolism markers|Occurrence of fractures|Tolerance of alendronate|Measure of the prevalence of osteopenia and osteoporosis in HIV-infected men and women|Description of the evolution of osteoporosis in HIV-infected men and women receiving calcium and vitamin D to define risk factors for osteoporosis in HIV-infected persons,French National Agency for Research on AIDS and Viral Hepatitis,All,"18 Years and older � (Adult, Older Adult)",Phase 3,140,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,2004-002002-30|ANRS120 Fosivir,October 2004,November 2008,November 2008,"July 19, 2005",,"December 22, 2011","Service de Medecine Interne hopital Avicenne, Bobigny, France|Service de Rhumatologie hopital Pitie-Salpetriere, Paris, France|H�pital Necker service des Maladies Infectieuses, Paris, France",,https://ClinicalTrials.gov/show/NCT00120757,NCT00120757,22353022
