"annee_mois";"produit";"n"
"2019 02";"Dispositif médical";3
"2019 02";"Dispositif médical de diagnostic in vitro";1
"2019 02";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";9
"2019 02";"Médicament à usage humain";1
"2019 03";"Dispositif médical";5
"2019 03";"Dispositif médical de diagnostic in vitro";1
"2019 03";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";21
"2019 03";"Médicament à usage humain";1
"2019 03";"Organe, Tissus, Cellule";1
"2019 03";"Produit cosmétique";1
"2019 04";"Dispositif médical";5
"2019 04";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";56
"2019 04";"Médicament à usage humain";4
"2019 05";"Dispositif médical";9
"2019 05";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";57
"2019 05";"Médicament à usage humain";2
"2019 05";"Organe, Tissus, Cellule";2
"2019 06";"Dispositif médical";5
"2019 06";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";46
"2019 06";"Médicament à usage humain";7
"2019 06";"Produit sanguin labile";1
"2019 07";"Dispositif médical";14
"2019 07";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";61
"2019 07";"Médicament à usage humain";5
"2019 07";"Organe, Tissus, Cellule";1
"2019 07";"Produit sanguin labile";2
"2019 08";"Dispositif médical";6
"2019 08";"Dispositif médical de diagnostic in vitro";1
"2019 08";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";33
"2019 08";"Médicament à usage humain";2
"2019 08";"Organe, Tissus, Cellule";3
"2019 09";"Dispositif médical";10
"2019 09";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";59
"2019 09";"Médicament à usage humain";1
"2019 09";"Produit sanguin labile";1
"2019 10";"Dispositif médical";16
"2019 10";"Dispositif médical de diagnostic in vitro";1
"2019 10";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";66
"2019 10";"Médicament à usage humain";7
"2019 10";"Organe, Tissus, Cellule";1
"2019 11";"Dispositif médical";10
"2019 11";"Dispositif médical de diagnostic in vitro";1
"2019 11";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";46
"2019 11";"Médicament à usage humain";3
"2019 11";"Organe, Tissus, Cellule";1
"2019 12";"Dispositif médical";8
"2019 12";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";69
"2019 12";"Médicament à usage humain";2
"2019 12";"Organe, Tissus, Cellule";2
"2020 01";"Dispositif médical";10
"2020 01";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";59
"2020 01";"Médicament à usage humain";3
"2020 01";"Produit sanguin labile";1
"2020 02";"Dispositif médical";9
