ISRCTN;NCTId;WHO;acronym;all_sources;delay_first_results_completion;delay_start_completion;delay_submission_start;design_allocation;enrollment_count;enrollment_type;eudraCT;first_publication_date;first_results_or_publication_date;french_location_only;has_publication_oa;has_publications_result;has_results;has_results_or_publications;intervention_type;ipd_sharing;ipd_sharing_description;lead_sponsor;lead_sponsor_type;location_country;location_facility;other_ids;primary_purpose;publication_access;publications_result;references;results_first_submit_date;results_first_submit_qc_date;snapshot_date;status;status_simplified;study_completion_date;study_completion_date_type;study_completion_year;study_first_submit_date;study_first_submit_qc_date;study_start_date;study_start_date_type;study_start_year;study_type;submission_temporality;time_perspective;title
;NCT01865357;;SCI-COG;clinical_trials;;1560.0;273.0;Non-Randomized;117.0;Actual;;;;True;;True;False;True;Other;;;University Hospital, Bordeaux;academique;France;CHU de Bordeaux;;Diagnostic;;10.1136/jnnp-2016-313867;;;;2022-11-28;Completed;Completed;2016-12-01T00:00:00;Actual;2016.0;2013-05-24T00:00:00;2013-05-24T00:00:00;2012-08-24T00:00:00;Actual;2012.0;Interventional;during_study;;"Prospective Longitudinal 1-year Study of the Correlation Between Cognitive Functioning in Patients With Clinically Isolated Syndrome Suggestive of Multiple Sclerosis and Disconnection in the Brain Assessed by MRI:""SCI-COG"" Study"
;NCT01854970;;PHARO;clinical_trials;;791.0;-25.0;;30.0;Anticipated;;;;True;;False;False;False;Drug;;;University Hospital, Bordeaux;academique;France;CHU de Bordeaux;;Treatment;;;;;;2022-11-28;Completed;Completed;2015-07-28T00:00:00;Actual;2015.0;2013-05-03T00:00:00;2013-05-13T00:00:00;2013-05-28T00:00:00;;2013.0;Interventional;before_start;;Benefit of Pharyngeal and Oesophageal pH-impedance of Patients With High Suspicion of Laryngopharyngeal Reflux
;NCT01807884;;AMYLASPI;clinical_trials;;478.0;-651.0;Randomized;24.0;Actual;;;;True;;False;False;False;Other;No;;University Hospital, Bordeaux;academique;France;Hospital Pellegrin;;Prevention;;;;;;2022-11-28;Completed;Completed;2016-03-04T00:00:00;Actual;2016.0;2013-01-30T00:00:00;2013-03-06T00:00:00;2014-11-12T00:00:00;Actual;2014.0;Interventional;before_start;;Comparison of Two Strategies of Oropharyngeal and Tracheal Suctioning in Mechanically Ventilated Patients: a Pilot Trial
;NCT01270646;;CARTO-CRT;clinical_trials;;1400.0;-24.0;;18.0;Actual;;;;True;;True;False;True;Device;;;University Hospital, Bordeaux;academique;France;Hôpital cardiologique du Haut-Lévêque, Pr. Haïssaguerre's department, 3rd Floor;;Treatment;;10.1161/circep.117.005647;;;;2022-11-28;Completed;Completed;2014-11-28T00:00:00;Actual;2014.0;2011-01-04T00:00:00;2011-01-04T00:00:00;2011-01-28T00:00:00;;2011.0;Interventional;before_start;;Study of the Role of Intraventricular Electrical Activation in the Treatment of Congestive Heart Failure by Cardiac Resynchronization Therapy: Invasive Evaluation and Validation of Non-Invasive Strategy Using CardioInsight ®
;NCT01267565;;;clinical_trials;;639.0;86.0;Non-Randomized;40.0;Actual;;;;True;;False;False;False;Other;;;Université Victor Segalen Bordeaux 2;academique;France;CHU Bordeaux;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2012-06-28T00:00:00;Actual;2012.0;2010-12-23T00:00:00;2010-12-27T00:00:00;2010-09-28T00:00:00;;2010.0;Interventional;during_study;;
;NCT01266863;;;clinical_trials;;1187.0;85.0;;30.0;Actual;;;;True;;True;False;True;Other;;;Université Victor Segalen Bordeaux 2;academique;France;CHU Bordeaux;;Diagnostic;;10.4187/respcare.06255;;;;2022-11-28;Completed;Completed;2013-12-28T00:00:00;Actual;2013.0;2010-12-22T00:00:00;2010-12-23T00:00:00;2010-09-28T00:00:00;;2010.0;Interventional;during_study;;
;NCT01207856;;REACTIV;clinical_trials;;1737.0;-248.0;Randomized;65.0;Actual;;;;True;;True;False;True;Other;;;University Hospital, Bordeaux;academique;France;Service de Neurologie - Pôle des Neurosciences Cliniques, CHU de Bordeaux.;;Treatment;;10.1136/jnnp-2016-313867;;;;2022-11-28;Completed;Completed;2016-02-28T00:00:00;Actual;2016.0;2010-09-22T00:00:00;2010-09-22T00:00:00;2011-05-28T00:00:00;;2011.0;Interventional;before_start;;Randomised Controlled Clinical Trial of Cognitive Rehabilitation in Multiple Sclerosis and Assessment by Neuroimaging
;NCT01178164;;DOUFAB;clinical_trials;;731.0;-55.0;;137.0;Actual;;;;True;;False;False;False;Genetic;;;University Hospital, Bordeaux;academique;France;Centre Douleurs Chroniques, Hopital Pellegrin;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2012-09-28T00:00:00;Actual;2012.0;2010-08-04T00:00:00;2010-08-09T00:00:00;2010-09-28T00:00:00;;2010.0;Interventional;before_start;;Prevalence of Fabry's Disease in a Population of Patients With Chronic Pains
;NCT01170793;;CAM-ET;clinical_trials;;670.0;-33.0;Randomized;88.0;Actual;;;;True;;False;False;False;Behavioral;;;University Hospital, Bordeaux;academique;France;Centre Douleur Chronique - Groupe Hospitalier Pellegrin - Bât USN Tastet Girard;;Prevention;;;;;;2022-11-28;Completed;Completed;2012-06-28T00:00:00;Actual;2012.0;2010-07-26T00:00:00;2010-07-26T00:00:00;2010-08-28T00:00:00;;2010.0;Interventional;before_start;;Medication Overuse Headaches: the Impact of Educative Telephone Coaching Administered by Nurses Prior to the Medical Appointment in a Tertiary Consultation Center: a Comparative Randomized Trial
;NCT01167790;;FLUOK;clinical_trials;;609.0;-7.0;Randomized;180.0;Actual;;;;True;;False;False;False;Procedure;;;University Hospital, Bordeaux;academique;France;Hopital Saint André;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2012-03-28T00:00:00;Actual;2012.0;2010-07-21T00:00:00;2010-07-21T00:00:00;2010-07-28T00:00:00;;2010.0;Interventional;before_start;;Interest of Oral Tissue Autofluorescence for the Screening of Precancerous Lesions and Cancer in Population With Tobacco and Alcohol Abuse.
;NCT01082419;;NARFI;clinical_trials;;1096.0;-54.0;Non-Randomized;109.0;Actual;;;;True;;False;False;False;Device;;;University Hospital, Bordeaux;academique;France;University Hospital Bordeaux;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2013-04-28T00:00:00;Actual;2013.0;2010-03-05T00:00:00;2010-03-05T00:00:00;2010-04-28T00:00:00;;2010.0;Interventional;before_start;;Acoustic Radiation Force Impulse Imaging (ARFI) : a New Technique to Assess Liver Elasticity - Norms in ARFI: Distribution and Reproducibility of ARFI Values in Disease-free Livers or Pathological Livers.
