ISRCTN;NCTId;WHO;acronym;all_sources;delay_first_results_completion;delay_start_completion;delay_submission_start;design_allocation;enrollment_count;enrollment_type;eudraCT;first_publication_date;first_results_or_publication_date;french_location_only;has_publication_oa;has_publications_result;has_results;has_results_or_publications;intervention_type;ipd_sharing;ipd_sharing_description;lead_sponsor;lead_sponsor_type;location_country;location_facility;other_ids;primary_purpose;publication_access;publications_result;references;results_first_submit_date;results_first_submit_qc_date;snapshot_date;status;status_simplified;study_completion_date;study_completion_date_type;study_completion_year;study_first_submit_date;study_first_submit_qc_date;study_start_date;study_start_date_type;study_start_year;study_type;submission_temporality;time_perspective;title
;NCT01142739;;BIODYS (1);clinical_trials;;761.0;-27.0;;30.0;Actual;;;;True;;False;False;False;Other;;;University Hospital, Bordeaux;academique;France;CHU de Bordeaux Hôpital Haut Lévêque;;;;;;;;2022-11-28;Completed;Completed;2012-07-28T00:00:00;Actual;2012.0;2010-06-01T00:00:00;2010-06-10T00:00:00;2010-06-28T00:00:00;;2010.0;Observational;before_start;Cross-Sectional;A Descriptive Study of Lymphocytic Phosphorylation of ERK1/2 in Patients With Parkinson's Disease With Dyskinesias and in Controls
;NCT00951197;;AMIMAGE;clinical_trials;;699.0;-6.0;;318.0;Actual;;;;True;;False;False;False;Other;;;University Hospital, Bordeaux;academique;France;Groupe Hospitalier Pellegrin - C.H.U. de Bordeaux;;;;;;;;2022-11-28;Completed;Completed;2011-03-28T00:00:00;Actual;2011.0;2009-04-22T00:00:00;2009-08-03T00:00:00;2009-04-28T00:00:00;;2009.0;Observational;before_start;Prospective;Estimation of Microstructure Alteration by MRI in Dementia Among Elderly Subjects Retired From Agricultural Profession and Living in Rural Area in Gironde - Participants From the AMI Cohort.
;NCT01485549;;BIOAMS;clinical_trials;;2186.0;-363.0;;48.0;Actual;;;;True;;False;False;False;;;;University Hospital, Bordeaux;academique;France;Bordeaux University Hospital;;;;;;;;2022-11-28;Completed;Completed;2018-11-21T00:00:00;Actual;2018.0;2011-11-29T00:00:00;2011-12-01T00:00:00;2012-11-26T00:00:00;Actual;2012.0;Observational;before_start;Prospective;Oligomeric Alpha-synuclein Levels as a Biomarker for Multiple System Atrophy
;NCT00613522;;AVSAS;clinical_trials;;2587.0;63.0;;289.0;Actual;;;;True;;False;False;False;Other;;;University Hospital, Bordeaux;academique;France;Groupe Hospitalier Pellegrin - Place Amélie Raba Léon;;;;;;;;2022-11-28;Completed;Completed;2014-12-28T00:00:00;Actual;2014.0;2008-01-30T00:00:00;2008-01-30T00:00:00;2007-11-28T00:00:00;;2007.0;Observational;during_study;Prospective;Role of Nocturnal Respiratory Disorders on Ischemic Stroke Occurrence
;NCT02837406;;EvaTSN;clinical_trials;;1624.0;422.0;;150.0;Actual;;;;True;;False;False;False;;No;;University Hospital, Bordeaux;academique;France;"Agences Régionales de Santé Aquitaine;Agences Régionales de Santé Bourgogne;Agence Régionale Santé Océan Indien;Agence régionale de santé de Rhône Alpes;Agence Régionale de Santé (ARS) Ile-de-France";;;;;;;;2022-11-28;Completed;Completed;2019-10-30T00:00:00;Actual;2019.0;2016-07-15T00:00:00;2016-07-15T00:00:00;2015-05-20T00:00:00;Actual;2015.0;Observational;during_study;Prospective;Evaluation of the Implementation and Results of the Health Digital Territories Program in the Five Pilot Territories (EvaTSN Project )
;NCT03854123;;OLDMUS;clinical_trials;;733.0;-169.0;;159.0;Actual;;;;True;;False;False;False;;;;University Hospital, Bordeaux;academique;France;"CHU de Bordeaux - Pellegrin - service de neurologie;CHU de Rennes - service de neurologie;Hôpital neurologique - Pierre Wertheimer";;;;;;;;2022-11-28;Completed;Completed;2020-09-23T00:00:00;Actual;2020.0;2018-04-05T00:00:00;2019-02-22T00:00:00;2018-09-21T00:00:00;Actual;2018.0;Observational;before_start;Retrospective;Multiple Sclerosis in the Elderly: Epidemiology, Clinical and MRI Characteristics
;NCT01630525;;LYLO;clinical_trials;;1095.0;-190.0;;83.0;Actual;;;;True;;False;False;False;Other;;;University Hospital, Bordeaux;academique;France;"Lyon UniversityHospital;AP-HM;CHU de Bordeaux Hôpital Haut Lévêque";;;;;;;;2022-11-28;Completed;Completed;2015-12-28T00:00:00;Actual;2015.0;2012-06-21T00:00:00;2012-06-27T00:00:00;2012-12-28T00:00:00;;2012.0;Observational;before_start;Prospective;
;NCT04376775;;COWAIT;clinical_trials;;0.0;-7.0;;3602.0;Actual;;;;True;;False;False;False;Other;;;University Hospital, Bordeaux;academique;France;Hopital Pellegrin;;;;;;;;2022-11-28;Completed;Completed;2020-05-11T00:00:00;Actual;2020.0;2020-05-04T00:00:00;2020-05-05T00:00:00;2020-05-11T00:00:00;Actual;2020.0;Observational;before_start;Prospective;Assessment of the Impact of COVID-19 on Transplant Patients and on Patients Awaiting Transplantation
;NCT02850809;;RF-REIN;clinical_trials;;1887.0;2097.0;;310.0;Actual;;;;True;;False;False;False;;;;University Hospital, Bordeaux;academique;France;"Assistance Publique - Hôpitaux de Marseille;CHU de Toulouse, Hopital de Rangueil;CHU de Grenoble;CHU de Strasbourg;CHRU de Lille - Hôpital Claude HURIEZ;CHU de Bordeaux - Pellegrin;Hospices Civils de Lyon;Assistance Publique - Hôpitaux de Paris (AP-HP) - Hopital Necker";;;;;;;;2022-11-28;Completed;Completed;2015-12-28T00:00:00;Actual;2015.0;2016-07-25T00:00:00;2016-07-27T00:00:00;2010-10-28T00:00:00;;2010.0;Observational;after_completion;Retrospective;Evaluation of the Efficacy of Radiofrequency Ablation in the Treatment of Renal Tumors: Prospective Observational Study
;NCT02280902;;INFIM;clinical_trials;;2103.0;-515.0;;72.0;Actual;;;;True;;False;False;False;Biological;;;University Hospital, Bordeaux;academique;France;"service Médecine Interne - CHU de Toulouse - Hôpital Purpan (5);Service de Médecine Interne - CH d'Agen;Service de Médecine Interne et maladies Infectieuses - Hôpital Saint-André;service Médecine Interne - CHU de Toulouse - Hôpital Purpan (7);Service de Médecine Interne - CH de Pau;service de médecine interne - CH de Libourne;Service de Médecine Interne - CHU de Limoges";;;;;;;;2022-11-28;Completed;Completed;2021-11-19T00:00:00;Actual;2021.0;2014-09-19T00:00:00;2014-10-29T00:00:00;2016-02-16T00:00:00;Actual;2016.0;Observational;before_start;Prospective;Incidence and Risk Factors for Infections in Patient Treated With Corticosteroids, Immunosuppressive Drugs or Biotherapy for Immunologic and Inflammatory Diseases
