lead_sponsor,study_completion_year,NCTId,eudraCT,study_type,status_simplified,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y,sponsor,sponsor_normalized,ror,_merge,ror_simple
Assistance Publique - Hôpitaux de Paris,2021.0,NCT03343834,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2017.0,NCT02856165,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2019.0,NCT02229630,,Interventional,Completed,True,False,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2013.0,NCT01707602,2012-001967-55,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2013.0,NCT01602250,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2016.0,NCT01407640,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2016.0,NCT01312727,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2013.0,NCT01186666,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2012.0,NCT01160276,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2010.0,NCT01072734,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2012.0,NCT01044082,,Interventional,Completed,True,False,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2009.0,NCT00822666,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2009.0,NCT00531908,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2013.0,NCT00526383,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2009.0,NCT00347321,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2017.0,NCT01208818,,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2008.0,NCT00190268,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2014.0,NCT01000103,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2015.0,NCT02041767,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2017.0,NCT01724827,,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2019.0,NCT01648868,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2016.0,NCT02035046,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2013.0,NCT01574066,,Interventional,Completed,True,False,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2020.0,NCT04084691,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2020.0,NCT03033823,2016-002072-26,Interventional,Completed,True,False,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2021.0,NCT01626833,2010-018560-16,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2022.0,NCT02869971,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2020.0,NCT02025062,,Interventional,Completed,False,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2011.0,NCT01043588,,Interventional,Completed,True,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2022.0,NCT03018834,2016-003433-20,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2021.0,NCT03000946,2016-001673-32,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2020.0,NCT02869958,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2018.0,NCT02305264,,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2015.0,NCT02159417,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2015.0,NCT01719510,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2018.0,NCT01655017,,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2016.0,NCT01538446,,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2019.0,NCT01252875,,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2014.0,NCT01160263,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2011.0,NCT00873626,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2022.0,NCT04639037,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2020.0,NCT04527198,,Interventional,Completed,True,False,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2021.0,NCT04333368,2020-001287-28,Interventional,Completed,True,True,True,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2022.0,NCT03776656,2017-002155-28,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2022.0,NCT03776643,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2023.0,NCT05704387,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
Assistance Publique - Hôpitaux de Paris,2021.0,NCT04881227,,Interventional,Completed,False,False,False,Assistance Publique - Hôpitaux de Paris,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,both,00pg5jh14
