ISRCTN;NCTId;WHO;acronym;all_sources;delay_first_results_completion;delay_start_completion;delay_submission_start;design_allocation;enrollment_count;enrollment_type;eudraCT;first_publication_date;first_results_or_publication_date;french_location_only;has_publication_oa;has_publications_result;has_results;has_results_or_publications;intervention_type;ipd_sharing;ipd_sharing_description;lead_sponsor;lead_sponsor_type;location_country;location_facility;other_ids;primary_purpose;publication_access;publications_result;references;results_first_submit_date;results_first_submit_qc_date;snapshot_date;status;status_simplified;study_completion_date;study_completion_date_type;study_completion_year;study_first_submit_date;study_first_submit_qc_date;study_start_date;study_start_date_type;study_start_year;study_type;submission_temporality;time_perspective;title
;NCT02869126;;D-SPECT BIS;clinical_trials;;1156.0;1411.0;;118.0;Actual;;;;True;;False;False;False;Procedure;No;;Central Hospital, Nancy, France;academique;France;"Service de Médecine Nucléaire - CLCC Jean Perrin;Service de Médecine Nucléaire - Hôpital de Brabois";;Diagnostic;;;;;;2022-11-28;Completed;Completed;2015-11-28T00:00:00;Actual;2015.0;2016-08-09T00:00:00;2016-08-11T00:00:00;2012-09-28T00:00:00;;2012.0;Interventional;after_completion;;Study of the Concordance Between a Traditional Protocol of Stress and Rest Myocardial Tomoscintigraphy Using 99mTc-sestamibi and a Double Isotope Protocol Using Thallium-201 and 99mTc-sestamibi, With a Semiconductor Camera
;NCT02182908;;AAA;clinical_trials;;2253.0;2631.0;;51.0;Actual;;;;True;;False;False;False;Other;;;Central Hospital, Nancy, France;academique;France;"CHU de Nancy - Hôpital Brabois;Service de Médecine Nucléaire - CHU JEAN Minjoz";;Screening;;;;;;2022-11-28;Completed;Completed;2013-05-28T00:00:00;Actual;2013.0;2014-06-10T00:00:00;2014-07-02T00:00:00;2007-03-28T00:00:00;;2007.0;Interventional;after_completion;;ANALYSE EN MORPHO-TEP AU FDG DE L'EVOLUTIVITE DES ANEVRISMES ABDOMINAUX AORTIQUES NON CHIRURGICAUX UNE ETUDE MULTICENTRIQUE DE L'INTER-REGION NORD-EST
;NCT01570179;;SugReBaCh-1;clinical_trials;;61.0;-62.0;Randomized;34.0;Actual;;;;True;;False;False;False;Drug;;;Central Hospital, Nancy, France;academique;France;"CHU Nancy;CHU Strasbourg Hôpital Civil";;Treatment;;;;;;2022-11-28;Completed;Completed;2012-07-28T00:00:00;Actual;2012.0;2012-03-27T00:00:00;2012-04-02T00:00:00;2012-05-28T00:00:00;;2012.0;Interventional;before_start;;Sugammadex in Patients Undergoing Bariatric Surgery: An Equivalence Trial Comparing Real and Ideal Body Weight-based Dosing
;NCT03465098;;TEPEIR;clinical_trials;;1233.0;-122.0;;26.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;Chru Nancy Brabois;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2021-08-03T00:00:00;Actual;2021.0;2017-11-17T00:00:00;2018-03-13T00:00:00;2018-03-19T00:00:00;Actual;2018.0;Interventional;before_start;;Evaluation of a Low-Carbohydrate Diet to Highlight Easily Infective Endocarditis by 18F-FDG PET
;NCT03356301;;CoATri;clinical_trials;;462.0;-9.0;Non-Randomized;63.0;Actual;;;;True;;False;False;False;Device;;;Central Hospital, Nancy, France;academique;France;Central Hospital;;Basic Science;;;;;;2022-11-28;Completed;Completed;2019-03-08T00:00:00;Actual;2019.0;2017-11-22T00:00:00;2017-11-28T00:00:00;2017-12-01T00:00:00;Actual;2017.0;Interventional;before_start;;Study of the Remodeling of the Ascending Aorta During the Sports Season in Long Distance Triathletes Versus Controls
;NCT03240029;;QdV leucémie;clinical_trials;;1070.0;2491.0;Non-Randomized;100.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;CHRU de Nancy;;Other;;;;;;2022-11-28;Completed;Completed;2013-09-11T00:00:00;Actual;2013.0;2017-08-02T00:00:00;2017-08-02T00:00:00;2010-10-07T00:00:00;Actual;2010.0;Interventional;after_completion;;Life Quality of Children in Cancer Remission During School Reintegration
;NCT03234205;;ARTEMIS;clinical_trials;;476.0;2156.0;;9.0;Actual;;;;True;;False;False;False;Device;No;;Central Hospital, Nancy, France;academique;France;CHRU de Nancy Brabois;;Device Feasibility;;;;;;2022-11-28;Completed;Completed;2012-12-19T00:00:00;Actual;2012.0;2017-07-26T00:00:00;2017-07-28T00:00:00;2011-08-31T00:00:00;Actual;2011.0;Interventional;after_completion;;Measurements of Myocardial Relaxation Time by MRI During Respiration
;NCT03136315;;INFERNAL;clinical_trials;;3.0;-139.0;;54.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;Stade des Perrey;;Prevention;;;;;;2022-11-28;Completed;Completed;2017-09-10T00:00:00;Actual;2017.0;2017-04-21T00:00:00;2017-04-27T00:00:00;2017-09-07T00:00:00;Actual;2017.0;Interventional;before_start;;Renal Function Evaluation in an Ultra Endurance Race: On the Interest of Monitoring Specific Biomarkers to Asses Renal Risk.
;NCT02940847;;ECHO_NCMB;clinical_trials;;135.0;-28.0;Randomized;84.0;Actual;;;;True;;True;False;True;Procedure;No;;Central Hospital, Nancy, France;academique;France;Chru Nancy;;Supportive Care;;10.1097/aap.0000000000000823;;;;2022-11-28;Completed;Completed;2017-03-28T00:00:00;Actual;2017.0;2016-10-16T00:00:00;2016-10-19T00:00:00;2016-11-13T00:00:00;Actual;2016.0;Interventional;before_start;;The Effectiveness of Ultrasound-guided Technique Compared to Blind Technique in Medial Brachial Cutaneous Nerve Block and Intercostobrachial Nerve Block, in the Axilla
;NCT02894632;;MARMOT;clinical_trials;;1127.0;1123.0;;24.0;Actual;;;;True;;False;False;False;Device;No;;Central Hospital, Nancy, France;academique;France;Centre Hospitalier Régional Universitaire de Nancy Brabois;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2016-08-28T00:00:00;Actual;2016.0;2016-08-24T00:00:00;2016-09-05T00:00:00;2013-07-28T00:00:00;;2013.0;Interventional;during_study;;MR Compatible Accelerometer for Respiratory MOTion Measurement
;NCT02887131;;IDIS;clinical_trials;;366.0;93.0;Non-Randomized;60.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;Central Hospital;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2012-11-28T00:00:00;Actual;2012.0;2012-02-29T00:00:00;2016-08-29T00:00:00;2011-11-28T00:00:00;;2011.0;Interventional;during_study;;Evaluation of Dynamic Computed Tomography Anatomy of Ankle in Inversion / Eversion Mouvement in Subtalar Instability.
;NCT02879786;;EQUIDYS;clinical_trials;;1431.0;1853.0;Non-Randomized;68.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;Centre de Référence pour les Troubles des Apprentissages - Hôpital d'Enfants - CHU de Nancy;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2015-06-28T00:00:00;Actual;2015.0;2016-08-23T00:00:00;2016-08-23T00:00:00;2011-07-28T00:00:00;;2011.0;Interventional;after_completion;;Study of Hierarchy of Afferents in Postural Control of Children With Dyslexia
;NCT02877537;;SALBUTAMOL;clinical_trials;;1278.0;2852.0;Non-Randomized;177.0;Actual;;;;True;;False;False;False;Procedure;No;;Central Hospital, Nancy, France;academique;France;CHU de Nancy - Hôpital BRABOIS Enfants - Explorations fonctionnelles pédiatriques;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2012-04-28T00:00:00;Actual;2012.0;2016-08-19T00:00:00;2016-08-19T00:00:00;2008-10-28T00:00:00;;2008.0;Interventional;after_completion;;Measurements of Change of Respiratory Admittance Induced by Salbutamol for Pediatric Asthma Diagnosis
;NCT02873949;;TREM;clinical_trials;;609.0;111.0;Non-Randomized;60.0;Actual;;;;True;;False;False;False;Biological;No;;Central Hospital, Nancy, France;academique;France;Service Odontologie - Site Heydenreich - CHRU Nancy;;Basic Science;;;;;;2022-11-28;Completed;Completed;2017-12-28T00:00:00;Actual;2017.0;2016-08-17T00:00:00;2016-08-19T00:00:00;2016-04-28T00:00:00;;2016.0;Interventional;during_study;;Analysis of Soluble TREM (Triggering Receptor Expressed on Myeloid Cells)-1 and -2 in Crevicular Fluid and Associated Bacterial Flora in Patients Affected by Periodontitis
;NCT02869100;;FNa;clinical_trials;;789.0;1289.0;;26.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;CHU de Nancy, Hôpitaux de Brabois;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2015-03-28T00:00:00;Actual;2015.0;2016-08-09T00:00:00;2016-08-11T00:00:00;2013-01-28T00:00:00;;2013.0;Interventional;after_completion;;Comparison of Sodium Fluoride Positron Emission Tomography and Magnetic Resonance Imaging of Spine and Sacroiliac Joints for Detection of Inflammatory Lesions in Patients Affected by Spondyloarthritis
;NCT02634099;;Hemoped;clinical_trials;;323.0;-28.0;;50.0;Actual;;;;True;;False;False;False;Device;;;Central Hospital, Nancy, France;academique;France;Chru Nancy;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2016-11-23T00:00:00;Actual;2016.0;2015-12-08T00:00:00;2015-12-15T00:00:00;2016-01-05T00:00:00;Actual;2016.0;Interventional;before_start;;Hemoglobin Monitoring During High Bleeding Risk Surgery in Pediatric Patients: Equivalence Study of Hemoglobin Transcutaneous Saturation and Hemocue With Total Serum Hemoglobin
;NCT02556502;;MAF;clinical_trials;;731.0;-68.0;;40.0;Actual;;;;True;;False;False;False;Device;;;Central Hospital, Nancy, France;academique;France;CHRU Nancy;;Diagnostic;;;;;;2022-11-28;Completed;Completed;2017-11-28T00:00:00;Actual;2017.0;2015-09-21T00:00:00;2015-09-21T00:00:00;2015-11-28T00:00:00;;2015.0;Interventional;before_start;;18F-Florbetaben PET Amyloid Imaging in Case of Intermediate CSF Biology for the Diagnosis of Alzheimer's Disease : a Pilot Study
;NCT02285712;;IDECHO;clinical_trials;;672.0;-143.0;Randomized;114.0;Actual;;;;True;;True;False;True;Device;;;Central Hospital, Nancy, France;academique;France;CHU Nancy - Service de Réanimation Médicale Brabois;;Supportive Care;;10.1136/bmjopen-2017-020220;;;;2022-11-28;Completed;Completed;2017-01-28T00:00:00;Actual;2017.0;2014-11-05T00:00:00;2014-11-06T00:00:00;2015-03-28T00:00:00;;2015.0;Interventional;before_start;;Contribution of Ultrasound for Peripheral Intravenous Catheter Placement by Intensive Care Nurses
;NCT01716819;;R2C2-II;clinical_trials;;850.0;-33.0;;101.0;Actual;;;;True;;True;False;True;Other;;;Central Hospital, Nancy, France;academique;France;CIC-P - INSERM - Institut Lorrain du Cœur et des vaisseaux;;;;10.3389/fcvm.2021.803567;;;;2022-11-28;Completed;Completed;2015-03-28T00:00:00;Actual;2015.0;2012-10-26T00:00:00;2012-10-26T00:00:00;2012-11-28T00:00:00;;2012.0;Interventional;before_start;;Role of the Renin Angiotensin Aldosterone System and Remodeling of the Matrix Cardiac Extra Cellular in the Mechanisms of Transition to Heart Failure in Abdominal Obesity: Prospective Longitudinal Study R2C2 II
;NCT01544647;;Nancythermal;clinical_trials;;700.0;-12.0;Randomized;283.0;Actual;;;;True;;False;False;False;Other;;;Central Hospital, Nancy, France;academique;France;Nancy university hospital center;;Treatment;;;;;;2022-11-28;Completed;Completed;2014-01-28T00:00:00;Actual;2014.0;2012-02-16T00:00:00;2012-02-29T00:00:00;2012-02-28T00:00:00;;2012.0;Interventional;before_start;;Comparison of 2 Spa Therapy Protocols in Symptomatic Knee Osteoarthritis : a Randomised Trial
;NCT01351961;;ADELAHYDE2;clinical_trials;;945.0;-6.0;;131.0;Actual;;;;True;;False;False;False;Biological;;;Central Hospital, Nancy, France;academique;France;Chu Nancy;;Prevention;;;;;;2022-11-28;Completed;Completed;2013-11-28T00:00:00;Actual;2013.0;2011-04-22T00:00:00;2011-05-10T00:00:00;2011-04-28T00:00:00;;2011.0;Interventional;before_start;;Arterial Function and Structure and Evolution of Cognitive Impairment in Elderly Hypertensive Subjects With Subjective Memory Complaints
;NCT01109225;;REMI;clinical_trials;;3570.0;-5.0;;145.0;Actual;;;;True;;True;False;True;Biological;No;;Central Hospital, Nancy, France;academique;France;Nancy Brabois university hospital;;Diagnostic;;10.1186/s12968-016-0314-6;;;;2022-11-28;Completed;Completed;2020-02-04T00:00:00;Actual;2020.0;2010-04-22T00:00:00;2010-04-22T00:00:00;2010-04-27T00:00:00;Actual;2010.0;Interventional;before_start;;Multiparametric Study of Cardiac Remodeling After Myocardial Infarction Revascularized in Acute Phase : Relation With the Serum Concentrations in Aldosterone
;NCT01722617;;FLARE;clinical_trials;;822.0;212.0;Randomized;207.0;Actual;;;;True;;True;False;True;Other;;;Central Hospital, Nancy, France;academique;France;"Service de Rhumatologie, Hôpitaux de Rouen;Service de Rhumatologie, Hôpital Larey;Service de Rhumatologie, CHU Conception;Service de Rhumatologie, APHP - GH Pitié Salpêtrière;Service de Rhumatologie, CHU Jean Minjoz;Service de Rhumatologie, CHU - Hôpital Sud A. Michallon;Service de Rhumatologie, CHRU Hôtel Dieu;Service de Rhumatologie, APHP - CHU Bichat;Fédération de Rhumatologie, CHU Lapeyronie;Service de Rhumatologie, CHU La Cavale Blanche;Service de Rhumatologie, CHU Fort de France;Service de Rhumatologie, CHU de Poitiers;Service de Rhumatologie, CHU Hôpital Général";;;;10.1002/art.39850;;;;2022-11-28;Completed;Completed;2014-06-28T00:00:00;Actual;2014.0;2012-10-26T00:00:00;2012-11-05T00:00:00;2012-03-28T00:00:00;;2012.0;Interventional;during_study;;A Study to Validate Questionnaires FLARE and OM-RA-FLARE Measuring Disease Flares in Patients With Rheumatoid Arthritis.
;NCT02893449;;;clinical_trials;;2405.0;283.0;Randomized;73.0;Actual;;;;True;;False;False;False;Procedure;;;Central Hospital, Nancy, France;academique;France;"CHU Clermont Ferrand;CHRU Strasbourg;CHU de Nancy";;;;;;;;2022-11-28;Completed;Completed;2015-11-28T00:00:00;Actual;2015.0;2010-02-05T00:00:00;2016-09-02T00:00:00;2009-04-28T00:00:00;;2009.0;Interventional;during_study;;Improvement of Social Adaptation After Pre-operative Cognitive Remediation in Parkinson's Patients Profiting From a Bilateral Subthalamic Stimulation
;NCT02129621;;;clinical_trials;;915.0;1433.0;;42.0;Actual;;;;True;;False;False;False;Procedure;;;Central Hospital, Nancy, France;academique;France;"Brabois Hospital;Georges Pompidou Hospital;Unit of arterial high blood pressure of the Georges Pompidou Hospital";;Diagnostic;;;;;;2022-11-28;Completed;Completed;2012-11-28T00:00:00;Actual;2012.0;2014-04-30T00:00:00;2014-05-01T00:00:00;2010-05-28T00:00:00;;2010.0;Interventional;after_completion;;Prospective Study of Neutrophil Gelatinase Associated Lipocalin (NGAL)as a Biomarker of Mineralocorticoid Receiver Activity in Human: Proof of Concept.
;NCT02754193;;HYPO-ECMO;clinical_trials;;1129.0;-181.0;Randomized;334.0;Actual;;;;True;;True;False;True;Other;No;;Central Hospital, Nancy, France;academique;France;"CHU Bordeaux - Groupe Hospitalier SaintAndré;APHP-Pitié;CHU Clermont-Ferrand -Hopital G. Montpied;CHRU Nancy;CHU Toulouse Hôpital - Pierre Paul Riquet;CHU Montpellier;CHU Amiens - Picardie -Site sud;CHU Strasbourg/ NHC;CHU Besançon Hôpital Jean Minjoz;CHU Lyon - Hôpital Louis Pradel;CHU Grenoble;APHP- la Pitié Sapêtrière;APHM-Hôpital, de la Timone;APHP- Hôpital Bichat;CHU Rennes Hôpital Pontchaillou;Chu Rouen;CHRU Strasbourg;Aphp-Hegp;CHU Nantes/ Hôpital Nord Laennec;CH Annecy Centre Hospitalier";;Treatment;;10.1001/jama.2021.24776;;;;2022-11-28;Completed;Completed;2019-11-13T00:00:00;Actual;2019.0;2016-04-12T00:00:00;2016-04-25T00:00:00;2016-10-10T00:00:00;Actual;2016.0;Interventional;before_start;;Effects of Induced Moderate HYPOthermia on Mortality in Cardiogenic Shock Patients Rescued by Veno-arterial ExtraCorporeal Membrane Oxygenation (ECMO)
;NCT01367743;;OptimaCC;"clinical_trials;euctr";2069.0;1796.0;-141.0;Randomized;58.0;Actual;2009-017081-23;;2022-04-28T00:00:00;True;;True;True;True;Drug;;;Central Hospital, Nancy, France;academique;France;"CH de MULHOUSE;CHU de DIJON;Nancy Brabois university hospital;CHU de STRASBOURG / NHC;CHU Toulouse;CHU de BESANCON / Hôpital Jean Minjoz;AP-HP-Hôpital Cochin;CHU de LIMOGES Hôpital Dupuytren;APHM Hôpital NORD;Chr Metz Thionville;Chru Tours";;Treatment;;10.1002/ejhf.1600;;2022-04-28T00:00:00;;2022-11-28;Completed;Completed;2016-08-28T00:00:00;Actual;2016.0;2011-05-10T00:00:00;2011-06-06T00:00:00;2011-09-28T00:00:00;;2011.0;Interventional;before_start;;Optimizing the Use of Vasopressor After Coronary Reperfusion in Cardiogenic Shock Secondary to Myocardial Infarction. Pathophysiological Study Comparing the Efficacy and Cardio-circulatory Tolerability of Epinephrine and Norepinephrine
;NCT02885090;;RETT;clinical_trials;;454.0;2368.0;Non-Randomized;17.0;Actual;;;;True;;False;False;False;Procedure;No;;Central Hospital, Nancy, France;academique;France;"Centre de Génétique Hôpital d'Enfants, CHU de Dijon;Laboratoire de Génétique, Hôpitaux de Brabois, CHU de Nancy;Service de Neuropédiatrie, Hôpital St Jacques, CHU de Besançon;Service de neuropédiatrie, CHU Hôpital Gui de Chauliac;Laboratoire de Génétique chromosomique, CHU Hôpital l'Archet 2;Handicaps de l'Enfant - Pavillon Ste Marie, CHU St Jacques;Service de génétique médicale, CHU Hôpital Purpan;Service de génétique médicale, CHU Hôpital Purpan, CHU de Toulouse;Unité de génétique, Groupe hospitalier Hôpital Flaubert";;Basic Science;;;;;;2022-11-28;Completed;Completed;2011-05-28T00:00:00;Actual;2011.0;2016-08-23T00:00:00;2016-08-26T00:00:00;2010-02-28T00:00:00;;2010.0;Interventional;after_completion;;Search for New Genes Involved in Molecular Etiology of Rett Syndrome Through Comparative Genomic Hybridization on DNA Microarrays
