ISRCTN;NCTId;WHO;acronym;all_sources;delay_first_results_completion;delay_start_completion;delay_submission_start;design_allocation;enrollment_count;enrollment_type;eudraCT;first_publication_date;first_results_or_publication_date;french_location_only;has_publication_oa;has_publications_result;has_results;has_results_or_publications;intervention_type;ipd_sharing;ipd_sharing_description;lead_sponsor;lead_sponsor_type;location_country;location_facility;other_ids;primary_purpose;publication_access;publications_result;references;results_first_submit_date;results_first_submit_qc_date;snapshot_date;status;status_simplified;study_completion_date;study_completion_date_type;study_completion_year;study_first_submit_date;study_first_submit_qc_date;study_start_date;study_start_date_type;study_start_year;study_type;submission_temporality;time_perspective;title
;NCT04376879;;;clinical_trials;;380.0;-12.0;;301.0;Actual;;;;True;;False;False;False;Other;;;Central Hospital, Nancy, France;academique;France;"Brabois Hospital (CHRU de Nancy);Louis Mourier hospital (AP-HP)";;;;;;;;2022-11-28;Completed;Completed;2021-05-31T00:00:00;Actual;2021.0;2020-05-04T00:00:00;2020-05-05T00:00:00;2020-05-16T00:00:00;Actual;2020.0;Observational;before_start;Prospective;Predicting the Need for Intubation in Hospitalised COVID-19 Patients (PRED ICU COVID19)
;NCT04290507;;ANAPHYLASHOCK;clinical_trials;;1094.0;1152.0;;339.0;Actual;;;;True;;True;False;True;;No;;Central Hospital, Nancy, France;academique;France;"University Hospital of Nancy;University Hospital of Strasbourg";;;;10.1016/j.bja.2020.08.024;;;;2022-11-28;Completed;Completed;2019-12-31T00:00:00;Actual;2019.0;2020-02-27T00:00:00;2020-02-27T00:00:00;2017-01-01T00:00:00;Actual;2017.0;Observational;after_completion;Retrospective;Epidemiology and Outcome of Anaphylactic Shocks Admitted to Intensive Care Unit: a French Retrospective Multicenter Study
;NCT03831529;;ANGIOCHOLREA;clinical_trials;;211.0;214.0;;204.0;Actual;;;;True;;True;False;True;;No;;Central Hospital, Nancy, France;academique;France;"CHR Mercy;Emmanuel NOVY";;;;10.1016/j.hpb.2020.08.003;;;;2022-11-28;Completed;Completed;2019-01-15T00:00:00;Actual;2019.0;2019-01-18T00:00:00;2019-02-04T00:00:00;2018-06-18T00:00:00;Actual;2018.0;Observational;after_completion;Retrospective;Prognostic Factors Associated With Mortality Within 6 Months Among Critically Ill Elderly Patients Admitted to the Intensive Care Unit With Severe Acute Cholangitis
;NCT03296046;;LPLB;clinical_trials;;1143.0;1774.0;;100.0;Actual;;;;True;;False;False;False;Biological;No;;Central Hospital, Nancy, France;academique;France;"CHRU de Nancy - Hopitaux de Brabois;group GFHC and intergroup LLC (GCFLL-MW / GOELAMS)";;;;;;;;2022-11-28;Completed;Completed;2015-12-31T00:00:00;Actual;2015.0;2017-09-22T00:00:00;2017-09-27T00:00:00;2012-11-13T00:00:00;Actual;2012.0;Observational;after_completion;Cross-Sectional;Epidemiologic Study of Persistent Polyclonal B-cell Lymphocytosis (PPBL) - Observatory 1990-2012
;NCT02887105;;MEMOIRE ET EMO;clinical_trials;;486.0;1335.0;;76.0;Actual;;;;True;;False;False;False;Other;;;Central Hospital, Nancy, France;academique;France;"Service de Neurologie - Hôpital Central - CHU de Nancy;Service de Neurologie - Hôpital Bon Secours - CHR de Metz-Thionville";;;;;;;;2022-11-28;Completed;Completed;2014-04-28T00:00:00;Actual;2014.0;2016-08-24T00:00:00;2016-08-29T00:00:00;2012-12-28T00:00:00;;2012.0;Observational;after_completion;Prospective;Memory and Emotion in Acute and Chronic Phases of Cerebrovascular Accident
;NCT05115526;;;clinical_trials;;61.0;228.0;;17.0;Actual;;;;True;;False;False;False;Other;No;;Central Hospital, Nancy, France;academique;France;Service de Réanimation Médicale, Hôpital Central;;;;;;;;2022-11-28;Completed;Completed;2021-05-01T00:00:00;Actual;2021.0;2021-10-15T00:00:00;2021-11-09T00:00:00;2021-03-01T00:00:00;Actual;2021.0;Observational;after_completion;Prospective;Positive End-expiratory Pressure Setting in COVID-19 Related ARDS : Comparison Between Electrical Impedance Tomography, PEEP/ Fraction of Inspired Oxygen Tables, and Transpulmonary Pressure.
;NCT04949594;;TENDYS;clinical_trials;;283.0;613.0;;40.0;Actual;;;;True;;False;False;False;Device;No;;Central Hospital, Nancy, France;academique;France;Frismand-Kryloff;;;;;;;;2022-11-28;Completed;Completed;2020-07-30T00:00:00;Actual;2020.0;2021-06-25T00:00:00;2021-07-01T00:00:00;2019-10-21T00:00:00;Actual;2019.0;Observational;after_completion;Prospective;Relief of Pain in Patients With Cervical Dystonia Through the Use of Sensory Threshold TENS
;NCT04647266;;;clinical_trials;;1618.0;1621.0;;168.0;Actual;;;;True;;False;False;False;Procedure;;;Central Hospital, Nancy, France;academique;France;CHRU Brabois;;;;;;;;2022-11-28;Completed;Completed;2020-11-20T00:00:00;Actual;2020.0;2020-11-23T00:00:00;2020-11-27T00:00:00;2016-06-16T00:00:00;Actual;2016.0;Observational;after_completion;Retrospective;Proof of Concept for the Development of Clinical or Mixed Prognostic Score of Morbidity After Endoscopic Subcostal Dissection for Colorectal Lesions in Nancy's Hospital Since 2016 to Nowadays
;NCT04573894;;;clinical_trials;;96.0;119.0;;147.0;Actual;;;;True;;True;False;True;Diagnostic Test;No;;Central Hospital, Nancy, France;academique;France;CHRU of Nancy;;;;10.1007/s15010-021-01697-4;;;;2022-11-28;Completed;Completed;2020-09-05T00:00:00;Actual;2020.0;2020-09-28T00:00:00;2020-10-01T00:00:00;2020-06-01T00:00:00;Actual;2020.0;Observational;after_completion;Retrospective;Diagnostic Performance of Plasma Procalcitonin in Screening for Contamination When Detecting Potential Contaminants in Blood Cultures
;NCT04555252;;;clinical_trials;;485.0;191.0;;70.0;Actual;;;;True;;False;False;False;;;;Central Hospital, Nancy, France;academique;France;Chru Nancy;;;;;;;;2022-11-28;Completed;Completed;2021-05-31T00:00:00;Actual;2021.0;2020-08-10T00:00:00;2020-09-14T00:00:00;2020-02-01T00:00:00;Actual;2020.0;Observational;during_study;Prospective;Colonization of Bile Ducts and Post-operative Infectious Complications of Cephalic Duodenopancreatectomy : A Prospective Observational Study
