ISRCTN;NCTId;WHO;acronym;all_sources;delay_first_results_completion;delay_start_completion;delay_submission_start;design_allocation;enrollment_count;enrollment_type;eudraCT;first_publication_date;first_results_or_publication_date;french_location_only;has_publication_oa;has_publications_result;has_results;has_results_or_publications;intervention_type;ipd_sharing;ipd_sharing_description;lead_sponsor;lead_sponsor_type;location_country;location_facility;other_ids;primary_purpose;publication_access;publications_result;references;results_first_submit_date;results_first_submit_qc_date;snapshot_date;status;status_simplified;study_completion_date;study_completion_date_type;study_completion_year;study_first_submit_date;study_first_submit_qc_date;study_start_date;study_start_date_type;study_start_year;study_type;submission_temporality;time_perspective;title
;NCT02073604;;MOMIC2;clinical_trials;;702.0;-71.0;Non-Randomized;47.0;Actual;;;;True;;False;False;False;Other;;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Fédération des Maladies du Système Nerveux, Hôpital Pitié Salpétrière Paris, France 75013;;Basic Science;;;;;;2022-11-28;Completed;Completed;2016-02-28T00:00:00;Actual;2016.0;2014-01-16T00:00:00;2014-02-25T00:00:00;2014-03-28T00:00:00;;2014.0;Interventional;before_start;;Rôle de la SMA Dans la préparation Des Mouvements Uni et Bi-manuels: le Paradigme Des Mouvements en Miroir
;NCT05090956;;(MISAP);clinical_trials;;2791.0;91.0;;230.0;Actual;;;;True;;False;False;False;Other;;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Inserm U825;;Basic Science;;;;;;2022-11-28;Completed;Completed;2020-01-29T00:00:00;Actual;2020.0;2012-09-07T00:00:00;2021-10-11T00:00:00;2012-06-08T00:00:00;Actual;2012.0;Interventional;during_study;;Mise au Point de Protocoles RMN Sur l'Imageur Philips 3T installé Sur le Site du Pavillon Baudot du CHU Purpan à Toulouse
;NCT04780191;;SPAST;clinical_trials;;915.0;-6.0;Randomized;44.0;Actual;;;;True;;False;False;False;Device;;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Centre d'investigation clinique, Institut du Cerveau et de la Moelle;;Treatment;;;;;;2022-11-28;Completed;Completed;2021-01-19T00:00:00;Actual;2021.0;2018-07-13T00:00:00;2021-03-01T00:00:00;2018-07-19T00:00:00;Actual;2018.0;Interventional;before_start;;Investigation of Treatment Using the MyoRegulator® Device in Patients With Spasticity in the Lower Limb Due to Stroke
;NCT03446430;;CARDIS-PWV;clinical_trials;;166.0;-122.0;;100.0;Actual;;;;True;;False;False;False;Device;No;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Hopital Européen Georges Pompidou / Service de Pharmacologie;;Other;;;;;;2022-11-28;Completed;Completed;2018-12-04T00:00:00;Actual;2018.0;2018-02-19T00:00:00;2018-02-23T00:00:00;2018-06-21T00:00:00;Actual;2018.0;Interventional;before_start;;Validation of Laser Doppler Vibrometer (LDV) for Measurement of Arterial Stiffness in Hypertensive Patients
;NCT03150290;;BATALS;clinical_trials;;522.0;-170.0;Non-Randomized;10.0;Actual;;;;True;;False;False;False;Other;No;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Paris Als Center, Salpetriere Hospital;;Other;;;;;;2022-11-28;Completed;Completed;2019-04-01T00:00:00;Actual;2019.0;2017-05-09T00:00:00;2017-05-11T00:00:00;2017-10-26T00:00:00;Actual;2017.0;Interventional;before_start;;Energy Expenditure and Brown Adipose Tissue in Amyotrophic Lateral Sclerosis
;NCT02978924;;STOP;clinical_trials;;315.0;-56.0;Randomized;18.0;Actual;;;;True;;False;False;False;Device;No;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Centre investigation clinique;;Other;;;;;;2022-11-28;Completed;Completed;2017-11-28T00:00:00;Actual;2017.0;2016-11-22T00:00:00;2016-11-28T00:00:00;2017-01-17T00:00:00;Actual;2017.0;Interventional;before_start;;Trans-spinal Direct Current Stimulation in Primary Orthostatic Tremor
;NCT02931097;;GAITPARK;clinical_trials;;1461.0;-21.0;Randomized;6.0;Actual;;;;True;;False;False;False;Device;No;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Centre d'Investigation Clinique-Institut du Cerveau et de la Moelle Epiniere;;Treatment;;;;;;2022-11-28;Completed;Completed;2020-10-28T00:00:00;Actual;2020.0;2016-10-07T00:00:00;2016-10-11T00:00:00;2016-10-28T00:00:00;Actual;2016.0;Interventional;before_start;;Effects of Deep Brain Stimulation of the Mesencephalic Locomotor Region on Gait and Balance Disorders in Parkinson's Disease Patients : a Randomized, Double-blind, Cross-over Study
;NCT02833961;;ISIS;clinical_trials;;1184.0;-43.0;Non-Randomized;47.0;Actual;;;;True;;False;False;False;Device;No;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Institut du cerveau et de la moelle, Hôpital Pitié-Salpétrière;;Other;;;;;;2022-11-28;Completed;Completed;2019-10-25T00:00:00;Actual;2019.0;2016-06-15T00:00:00;2016-07-13T00:00:00;2016-07-28T00:00:00;Actual;2016.0;Interventional;before_start;;DIFFUSION SPECTROSCOPY AND IMAGING IN ACUTE STROKE
;NCT02721745;;Fatstim;clinical_trials;;1680.0;-81.0;Randomized;216.0;Actual;;;;True;;False;False;False;Device;No;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;ICM;;Other;;;;;;2022-11-28;Completed;Completed;2020-12-28T00:00:00;Actual;2020.0;2016-03-03T00:00:00;2016-03-22T00:00:00;2016-05-23T00:00:00;Actual;2016.0;Interventional;before_start;;Cause and Consequence of Neural Fatigue
;NCT02567071;;RESTORE;clinical_trials;;1117.0;-204.0;Randomized;33.0;Actual;;;;True;;False;False;False;Other;;;Institut National de la Santé Et de la Recherche Médicale, France;academique;France;Service de Gynécologie-Obstétrique, Groupe Hospitalier Pitié-Salpêtrière;;Other;;;;;;2022-11-28;Completed;Completed;2019-04-28T00:00:00;Actual;2019.0;2015-09-15T00:00:00;2015-09-30T00:00:00;2016-04-06T00:00:00;Actual;2016.0;Interventional;before_start;;Retablissement Du Microbiote Naturel Apres Naissance Par Cesarienne
