all_sources;has_results;NCTId;other_ids;title;acronym;summary;study_start_date;study_start_date_type;status;study_completion_date;study_completion_date_type;study_first_submit_date;study_first_submit_qc_date;study_type;time_perspective;enrollment_count;enrollment_type;references;has_publications_result;has_results_or_publications;ipd_sharing;lead_sponsor;location_country;location_facility;snapshot_date;study_start_year;study_completion_year;delay_submission_start;submission_temporality;delay_start_completion;lead_sponsor_type;french_location_only;status_simplified;bso_country;has_publication_oa;publication_access;intervention_type;design_allocation;primary_purpose;eudraCT;publications_result;results_first_submit_date;results_first_submit_qc_date;first_results_or_publication_date;delay_first_results_completion;ipd_sharing_description;WHO;ISRCTN
['clinical_trials'];False;NCT01883024;[{'type': 'org_study_id', 'id': '2013-A00495-40', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': 'LOC 1308', 'source': 'clinical_trials'}];Prospective Study, Insulin Pump-RT Advisor (IPRA©): a Decision Support Software for Diabetic Patients Treated by Insulin Pump and Using Continuous Glucose Monitoring. Experimental Study. Evaluation by an Expert Patient Panel.;IPRA;The purpose of the study is to assess the relevance of the advices provided by the IPRA© smartphone application for guiding the responses of insulin pump treated type 1 diabetes patients using real-time continuous glucose monitoring.;2013-06-28T00:00:00;;Completed;2013-09-28T00:00:00;Actual;2013-06-14T00:00:00;2013-06-20T00:00:00;Interventional;;6.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];"[""Service d'Endocrinologie-Diabétologie - CHU de Rennes - Hôpital Sud""]";2022-11-28;2013.0;2013.0;-14.0;before_start;92.0;academique;True;Completed;['fr'];;[];Other;N/A;;;;;;;;;;
['clinical_trials'];False;NCT01789008;[{'type': 'org_study_id', 'id': 'PHRC/12-01', 'source': 'clinical_trials'}, {'type': None, 'id': '2012-A01171-42', 'source': 'clinical_trials'}];Interest of Transient Elastography in the Determination of Advanced Fibrosis in Alcoholic Liver Didease in Alcoholic Patients in Weaning.;FIBR-OH;"Alcoholic liver disease is the most frequent complication of excessive alcohol consumption. Early diagnosis of alcoholic liver disease is essential to avoid its complications that could be fatal. To date, the reference diagnostic tool is an invasive procedure: the liver biopsy. The transient elastography is a useful tool for early diagnosis of liver fibrosis. This tool is validated in the diagnosis of liver fibrosis due to C chronic hepatitis. Because it is non-invasive, fast, given immediate results; transient elastography could be repeated in alcoholic patients for liver fibrosis follow-up. In the present study, the investigators propose to realize liver biopsy and transient elastography in 300 alcoholic patients in weaning to evaluate the transient elastography accuracy in the exclusion of sever liver fibrosis (Metavir 3 and 4). The reference liver fibrosis diagnosis tool will be the liver biopsy.";2013-02-28T00:00:00;Actual;Completed;2017-08-18T00:00:00;Actual;2013-02-07T00:00:00;2013-02-08T00:00:00;Interventional;;300.0;Actual;"[{'ReferencePMID': '33588101', 'ReferenceType': 'derived', 'ReferenceCitation': 'Legros L, Bardou-Jacquet E, Turlin B, Michalak S, Hamonic S, Le Gruyer A, Aziz K, Lemoine C, Bouvard N, Chavagnat JJ, Silvain C, Kerjean J, Le Dréau G, Lacave-Oberti N, Oberti F, Le Lan C, Guyader D, Moirand R. Transient Elastography Accurately Screens for Compensated Advanced Chronic Liver Disease in Patients With Ongoing or Recent Alcohol Withdrawal. Clin Gastroenterol Hepatol. 2022 Jul;20(7):1542-1552.e6. doi: 10.1016/j.cgh.2021.02.021. Epub 2021 Feb 12.', 'doi': '10.1016/j.cgh.2021.02.021', 'source': 'clinical_trials'}]";1.0;True;;Rennes University Hospital;['France'];['Rennes university hospital'];2022-11-28;2013.0;2017.0;-21.0;before_start;1632.0;academique;True;Completed;['fr'];;[];Other;Non-Randomized;Diagnostic;;10.1016/j.cgh.2021.02.021;;;;;;;
['clinical_trials'];False;NCT01743703;[{'type': 'org_study_id', 'id': '2011-A00393-38', 'source': 'clinical_trials'}];Utility of Whole-body MRI (STIR and Diffusion Weighted) in the Detection of Traumatic Injuries of Undetermined Origin in Children;PEDIMA;The diagnosis of abuse in children relies heavily on the presence of skeletal and extraskeletal injuries. However, some lesions are not seen by initial skeletal survey. And the investigators have to complete the skeletal survey with either bone-scan or CT scan or whole-body MRI. whole-body MRI has proved its worth in the pediatric population for the evaluation of skeletal and extraskeletal lesions in children with cancer or infectious diseases. Thus, whole-body MRI would allowed to have total picture of children without ionising radiation exposure.;2011-08-01T00:00:00;Actual;Completed;2016-02-13T00:00:00;Actual;2011-11-04T00:00:00;2012-12-04T00:00:00;Interventional;;199.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['CHU Rennes'];2022-11-28;2011.0;2016.0;95.0;during_study;1657.0;academique;True;Completed;['fr'];;[];Other;N/A;Diagnostic;;;;;;;;;
['clinical_trials'];False;NCT01388387;[{'type': 'org_study_id', 'id': '2010-022488-36', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': 'CIC0203/129', 'source': 'clinical_trials'}];Impact of Donor and Recipient CYP3A5 Genetic Polymorphism on Tacrolimus Exposure in Patients With Hepatic Transplant;;"The choice of an immunosuppressant after hepatic transplant is now more difficult than before because of the increasing number of drugs available.

Pharmacokinetic, pharmacodynamic and pharmacogenetic information can help to choose the best treatment and the best dose for each patient. The genetic polymorphism of enzymes metabolizing treatments can affect their efficacy and safety. Concerning tacrolimus, CYP3A5 activity is a major determinant of the dose needed to reach target concentrations. This study is aimed at evaluating the impact of both donor and recipient CYP3A5 genetic polymorphisms on tacrolimus exposure in patients with hepatic transplant.";2012-02-22T00:00:00;Actual;Completed;2018-07-31T00:00:00;Actual;2011-07-01T00:00:00;2011-07-05T00:00:00;Interventional;;154.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Service des Maladies du Foie - Hôpital de Pontchaillou'];2022-11-28;2012.0;2018.0;-236.0;before_start;2351.0;academique;True;Completed;['fr'];;[];Other;N/A;Treatment;;;;;;;;;
['clinical_trials'];False;NCT01282567;[{'type': 'org_study_id', 'id': '2010-A01455-34', 'source': 'clinical_trials'}, {'type': None, 'id': 'LOC/10-18', 'source': 'clinical_trials'}];Preliminary Study for the Artificial Pancreas Project : Determination of a Tuning Strategy of Metabolic Profiles;;"The Artificial Pancreas Project developed by SUPELEC and the University Hospital of Rennes is focused on the evaluation of an original control algorithm that computes appropriate subcutaneous insulin infusion in response to continuous glucose measurements The results during a 24-hour closed-loop period will be compared with those of the open-loop. The implementation of this algorithm named Error Dynamics Shaping (EDS) requires as a preliminary a phase of identification of the parameters of the model (insulin pharmacokinetics and effect on glucose metabolism) followed by a phase of optimization i.e. a personalized adjustment of the damping parameters of EDS.

The present study aims to formalize this procedure of identification/optimization of the parameters of the model and controller EDS. They will be determined in type -1 diabetic patients using insulin therapy and under conditions free from disturbances such as those generated by the glucidic meals, i.e. during a period of glucidic fast. Three variables will determine this procedure: blood glucose, insulin concentration and insulin doses.";2011-05-28T00:00:00;;Completed;2011-09-28T00:00:00;Actual;2011-01-20T00:00:00;2011-01-24T00:00:00;Interventional;;3.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Rennes University Hospital'];2022-11-28;2011.0;2011.0;-128.0;before_start;123.0;academique;True;Completed;['fr'];;[];Other;N/A;;;;;;;;;;
['clinical_trials'];False;NCT01039090;[{'type': 'org_study_id', 'id': '2008-006045-10', 'source': 'clinical_trials'}, {'type': None, 'id': 'LOC/08-08', 'source': 'clinical_trials'}];Prospective, Randomised, Comparative Study Comparing Efficacy of Continuous Apomorphine Infusion Versus Usual Dopaminergic Per os Treatment on Cognitive and Neuropsychological Functions in Parkinson's Disease: a Clinical and PET-scan Study;APO-TEP;"In Parkinson's disease, treatment mainly aims to improve motor functions. However, other dysfunctions are often observed in Parkinson's patients, and may have important consequences on the quality of life of patients.

Cognitive and neuropsychological troubles may be observed, as memory impairment or anxiety for example. As this kind of troubles is worrying for the patient himself (herself) and his/her family, treatment needs to take into account those troubles in addition to motor difficulties. In our centre, we have already used continuous Apomorphine infusions among Parkinson's patients and it seems to have good results. The present study aims to objectively assess the efficacy of continuous Apomorphine infusions on cognitive and neuropsychological functions in Parkinson's disease using clinical and positron emission tomography (PET)-scan measures.";2009-02-28T00:00:00;Actual;Completed;2015-02-28T00:00:00;Actual;2009-12-22T00:00:00;2009-12-23T00:00:00;Interventional;;21.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Rennes University Hospital'];2022-11-28;2009.0;2015.0;297.0;during_study;2191.0;academique;True;Completed;['fr'];;[];Drug;Randomized;Treatment;;;;;;;;;
['clinical_trials'];False;NCT01437917;[{'type': 'org_study_id', 'id': 'LOC/11-05 - NOMAC', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '2011-A00517-34', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '11/19-808', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': 'B110607-50', 'source': 'clinical_trials'}];NOMAC : New Tools for Managing the Fate of Cereal Nutrients in the Gut : Effects of Amylose Content on Glycemic Index.;NOMAC;The consumption of cereals-based foods with low glycemic indexes, high micronutrients and fibers contents are highly recommended. The target of this work is to provide new solutions for cereal based foods: the knowledge and understanding on the in vivo fate will be used to define structural features to gain in foods.;2011-09-28T00:00:00;;Completed;2012-04-28T00:00:00;Actual;2011-09-20T00:00:00;2011-09-20T00:00:00;Interventional;;10.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Rennes University Hospital'];2022-11-28;2011.0;2012.0;-8.0;before_start;213.0;academique;True;Completed;['fr'];;[];Dietary Supplement;Randomized;;;;;;;;;;
['clinical_trials'];False;NCT02990195;[{'type': 'org_study_id', 'id': '35RC16_8914_RESCUE', 'source': 'clinical_trials'}];Restoring the Beneficial Effects of Enterohepatic Bile Salt Signalling by Chyme Reinfusion in Patients With a Double Enterostomy;RESCUE;Multicentre prospective human experimental study to determine the effect of chyme reinfusion in patients with a double enterostomy on plasma levels of Fibroblast Growth Factor (FGF19);2016-12-01T00:00:00;Actual;Completed;2018-07-02T00:00:00;Actual;2016-12-06T00:00:00;2016-12-12T00:00:00;Interventional;;13.0;Actual;[];0.0;False;No;Rennes University Hospital;['Netherlands', 'France'];['Maastricht University, Research Laboratories at the Department of General Surgery', 'Clinique Saint Yves', 'CHU de Rennes'];2022-11-28;2016.0;2018.0;5.0;during_study;578.0;academique;False;Completed;['fr'];;[];Other;N/A;Other;;;;;;;;;
['clinical_trials'];False;NCT02662322;[{'type': 'org_study_id', 'id': '35RC15_9868', 'source': 'clinical_trials'}];Effect of Language and Confusion on Pain During Peripheral Intravenous;KTHYPE;The purpose of this study is to compare three communications during peripheral intravenous catheterization and measure pain patient: one hypnotic, confusion (HYPNOSIS), an other with negative connotation (NOCEBO) and at least with neutral connotation (NEUTRAL).;2016-03-10T00:00:00;Actual;Completed;2017-09-06T00:00:00;Actual;2016-01-12T00:00:00;2016-01-21T00:00:00;Interventional;;294.0;Actual;"[{'ReferencePMID': '31862159', 'ReferenceType': 'derived', 'ReferenceCitation': 'Fusco N, Bernard F, Roelants F, Watremez C, Musellec H, Laviolle B, Beloeil H; Effect of Language and Confusion on Pain During Peripheral Intravenous Catheterization (KTHYPE) group. Hypnosis and communication reduce pain and anxiety in peripheral intravenous cannulation: Effect of Language and Confusion on Pain During Peripheral Intravenous Catheterization (KTHYPE), a multicentre randomised trial. Br J Anaesth. 2020 Mar;124(3):292-298. doi: 10.1016/j.bja.2019.11.020. Epub 2019 Dec 18.', 'doi': '10.1016/j.bja.2019.11.020', 'source': 'clinical_trials'}]";1.0;True;No;Rennes University Hospital;['France', 'Belgium'];['CHU', 'Centre Hospitalier Privé Saint Grégoire', 'Cliniques Universitaires Saint-Luc'];2022-11-28;2016.0;2017.0;-58.0;before_start;545.0;academique;False;Completed;['fr'];;[];Other;Randomized;Other;;10.1016/j.bja.2019.11.020;;;;;;;
['clinical_trials'];False;NCT01543113;[{'type': 'org_study_id', 'id': 'LOC/10-16 - KitMel', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '2010-A01310-39', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '10/43-785', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '11.272', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '911305', 'source': 'clinical_trials'}];cKIT, BRAF/NRAS Mutations in Advanced Melanoma : Clinical Outcome in Response to Tyrosine-kinase Inhibitors - KitMel Project;KitMel;"Background: Metastatic melanoma has a devastating prognosis and is one of the top causes of cancer death in young patients. Until now, available therapies were few and unreliable, but recent understanding of melanomas' molecular pathways has improve their classification and new clinical strategies have been proposed.

Initial studies showed that B-Raf/N-Ras mutations (respectively V600E and Q61) are the most frequent alteration being present in 70 to 80% of melanomas, characterizing non Chronic Sun-induced Damage skins (CSD). These include Superficial Spreading Melanomas (SSM) and Nodular Melanomas (NM). Other studies showed that c-Kit mutations are presently the predominant activating mutation (20 - 40 %) in Acro-Lentiginous Melanomas (ALM), Mucous Melanomas (MM) and in melanomas arising on CSD skin. c-Kit mutation pattern is more complex with four exons being affected leading to different mutations, which incidence and biological impact are less documented.

BRAF/NRAS genetics alterations drive constantly cell growth, being thus attractive targets. Spectacular results have indeed been obtained with the BRAF inhibitor that targets the V600E BRAF-mutated form. Data from GIST disease revealed that the different c-Kit mutations modulate differently c-Kit function and the response to targeted therapies.

Because c-Kit targeted therapy is a critical clinical issue, the investigators aimed to identify the most frequent mutations present in our population to propose appropriate screening test and adapt the therapy.

Methods: 250 melanoma samples corresponding to an homogeneous white-Caucasian population (Brittany, France) will be screened. c-Kit exons 11, 13, 17 and 18 will be sequenced (direct sequencing and pyrosequencing when possible). c-Kit copy number will be quantified by q-PCR and level of c-Kit determined by immunohistochemistry (IHC, CD117). Samples will also be analyzed for B-Raf mutations in codon 464, 466, 469 and 600, and for N-Ras mutations in codon 12, 13 and 61 (Pyrosequencing).

Expected Results:

Taken together, the investigators anticipate that the present genetic analysis of the tumours from patients with advanced melanoma will first document the type and frequency of cKit mutations, will confirm or not that BRAF, NRAS and cKit mutations are mutually exclusive and document their repartition in the melanomas sub-types. Finally this study will clue researchers in to how well patients will respond to a therapy that targets the growth-promoting proteins BRAF/NRAS and cKIT.";2011-01-28T00:00:00;;Completed;2014-02-28T00:00:00;Actual;2012-02-21T00:00:00;2012-03-01T00:00:00;Interventional;;288.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Centre Eugène Marquis', 'Rennes University Hospital'];2022-11-28;2011.0;2014.0;389.0;during_study;1127.0;academique;True;Completed;['fr'];;[];Other;N/A;Diagnostic;;;;;;;;;
