all_sources;has_results;NCTId;other_ids;title;acronym;summary;study_start_date;study_start_date_type;status;study_completion_date;study_completion_date_type;study_first_submit_date;study_first_submit_qc_date;study_type;time_perspective;enrollment_count;enrollment_type;references;has_publications_result;has_results_or_publications;ipd_sharing;lead_sponsor;location_country;location_facility;snapshot_date;study_start_year;study_completion_year;delay_submission_start;submission_temporality;delay_start_completion;lead_sponsor_type;french_location_only;status_simplified;bso_country;has_publication_oa;publication_access;intervention_type;design_allocation;primary_purpose;eudraCT;publications_result;results_first_submit_date;results_first_submit_qc_date;first_results_or_publication_date;delay_first_results_completion;ipd_sharing_description;WHO;ISRCTN
['clinical_trials'];False;NCT01865461;[{'type': 'org_study_id', 'id': '2013-A00197-38', 'source': 'clinical_trials'}];Evaluation of MRI Sequences in Hepatic Overload.;HEPAT_MR;MRI, without any contrast injection, allows a non-invasive evaluation and quantification of hepatic overloads, especially iron (liver iron content LIC) and fat (steatosis) overloads, but in certain clinical circumstances, cases require to improve performances. The aim of the study is to add to MRI scans which currently must be performed innovative sequences appropriate for the clinical question to overall appreciate on a varied range of patients their quality, their robustness, their relative performance and, for patients having a biopsy, their accuracy.;2013-03-04T00:00:00;Actual;Completed;2018-12-19T00:00:00;Actual;2013-05-27T00:00:00;2013-05-30T00:00:00;Observational;Prospective;706.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Rennes University Hospital'];2022-11-28;2013.0;2018.0;84.0;during_study;2116.0;academique;True;Completed;['fr'];;[];;;;;;;;;;;;
['clinical_trials'];False;NCT01793714;[{'type': 'org_study_id', 'id': '2012-A00903-40', 'source': 'clinical_trials'}];Presurgical Language Mapping With fMRI: Comparison of BOLD and fASL Techniques;MALTA;One of the aim of the neurosurgical treatment of brain tumor is to offer the maximal resection with the minimal neurological risk. The presurgical mapping of eloquent areas with functional magnetic resonance imaging (fMRI) is helpful to plan the surgery. BOLD fMRI is now the gold standard to map language areas. However, BOLD signal is diminished near the brain tumor. It is now possible to detect cortical activation with arterial spin labeling (ASL) techniques, detecting variations of perfusion during an activation paradigm (fASL), fASL could be interesting to detect eloquent areas near a brain tumor.;2014-01-21T00:00:00;Actual;Completed;2017-12-21T00:00:00;Actual;2013-02-14T00:00:00;2013-02-14T00:00:00;Observational;Prospective;34.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Rennes University Hospital'];2022-11-28;2014.0;2017.0;-341.0;before_start;1430.0;academique;True;Completed;['fr'];;[];;;;;;;;;;;;
['clinical_trials'];False;NCT01784939;[{'type': 'org_study_id', 'id': '2012-A01170-43', 'source': 'clinical_trials'}];HEPFER-Evaluation of a New Phenotypic Biological Marker in Genetic Type 1 Hemochromatosis;HEPFER;"HFE(High iron FE)-related hereditary hemochromatosis has a highly variable penetrance. No phenotypic or genetic markers can predict the disease. The Iron Reabsorption Index (IRI), recently described by our group, correspond to the daily reabsorbed iron for a subject whose iron stock is stable and less than 50 µg / L.

The IRI is constant over time, reflecting the importance of the underlying functional deficit.

Hepcidin / ferritin (H / F) ratio may be an independent and constant over time marker of disease stage.No data are available on the validated values of this ratio.

The goal of this project is to determine the intra-individual variations of the H / F ratio over time during maintenance therapy and to assess the correlation with the IRI.";2013-02-28T00:00:00;;Completed;2014-07-28T00:00:00;Actual;2013-01-22T00:00:00;2013-02-04T00:00:00;Observational;Prospective;31.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['CHU'];2022-11-28;2013.0;2014.0;-37.0;before_start;515.0;academique;True;Completed;['fr'];;[];;;;;;;;;;;;
['clinical_trials'];False;NCT01295554;[{'type': 'org_study_id', 'id': 'LOC/10-03 - AngioIRM-Native', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '2010-A00342-37', 'source': 'clinical_trials'}];Comparative Study of Non-enhanced Versus Contrast Enhanced MR Angiography in Peripheral Arterial Disease on a 3T MR Scanner.;AngioIRMNative;"Magnetic Resonance Angiography (MRA) of the peripheral arteries has become essential in the diagnosis and follow-up of peripheral arterial disease.

In clinical routine, the acquisition uses intravenous injection of a Gadolinium based contrast agent (gadolinium chelates).

Initially, contrast enhanced MR angiography (CE-MRA) was recommended for diabetic patients, elderly patients and\or patients with chronic renal insufficiency presenting a contraindication to CT angiography using iodized contrast agent injection.

However, the increase in nephrogenic systematic fibrosis clinical cases, which would be secondary to gadolinium chelates injection, in patients with chronic renal insufficiency has restricted the use of CE-MRA. More than 500 cases were described to date in the world.

Its occurrence is currently estimated around 4 % for patients in terminal chronic renal insufficiency and its mortality around 30 %.

According to the recommendations of AFSSAPS from August, 2007, two gadolinium contrast agents (Gadodiamide-OMNISCAN *, General Electric HealthCare and Gadopentetate Dimeglumine-MAGNEVIST *, Bayer HealthCare) are contraindicated if the glomerular filtration rate is lower than 30 ml/mn.

Non-contrast enhanced MR angiography (NCE MRA) techniques have been proposed to provide complete and non-invasive investigation of the peripheral vasculature, from the abdominal aorta to the calf, thus offering patients with chronic renal insufficiency a surrogate with no side effects.

Moreover, the use of high field (3T) MR imaging and phased array coils offers high quality images and good signal to noise ratio for peripheral vasculature analysis.

Besides, the acquisition can be repeated if required as it does not require any contrast injection.

The main objective is to evaluate the quality of the NCE images obtained for every investigated station from the abdominal aorta to the calf.

The secondary objective is to compare the diagnostic performances of NCE images with those of CE MRA.

The third objective is to estimate the contribution of automated and dedicated post-processing tools in optimizing the diagnostic quality of the images.";2011-02-28T00:00:00;;Completed;2012-01-28T00:00:00;Actual;2011-02-11T00:00:00;2011-02-11T00:00:00;Observational;Prospective;22.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Rennes University Hospital'];2022-11-28;2011.0;2012.0;-17.0;before_start;334.0;academique;True;Completed;['fr'];;[];Other;;;;;;;;;;;
['clinical_trials'];False;NCT03555461;[{'type': 'org_study_id', 'id': '35RC17_3087-GEN-EPA', 'source': 'clinical_trials'}];Analysis of EPA® (a Food Intake Assessment Tool) as a Screening Test for Malnutrition in General Medicine;GEN-EPA;The main objective is to evaluate the sensitivity of the EPA® for screening for malnutrition in general medicine in adults.;2018-01-22T00:00:00;Actual;Completed;2018-04-13T00:00:00;Actual;2018-06-01T00:00:00;2018-06-12T00:00:00;Observational;Prospective;563.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Cabinet médical du Dr Berthier,', 'Cabinet médical des Docteurs Le Vagueres et Godard,', 'Cabinet médical des Rosiers'];2022-11-28;2018.0;2018.0;130.0;after_completion;81.0;academique;True;Completed;['fr'];;[];;;;;;;;;;;;
['clinical_trials'];False;NCT01611740;[{'type': 'org_study_id', 'id': '2011-A00324-37', 'source': 'clinical_trials'}];Contribution of Computerized Real Time Analyses of Cardio-respiratory Signals to the Diagnosis of Infection in Preterm Infants;CARESS_PREMI;"Hospital-acquired infections are common complications in preterm infants. The diagnosis has to be fast and accurate. Indeed, the early identification of a suspected infection is very important, since the early administration of antibiotics lowers the risk of septic shock and improves long term outcome in the infected newborns who survive. Besides, a high specificity in the diagnosis of infection allows for the reduction of inappropriate treatment and thus prevents the emergence of antibiotic resistance.

The aim of this study is to develop a computer-assisted diagnosis tool, based on the real time analysis of cardio-respiratory signals, to aid the neonatologist in the diagnosis of infection of the preterm infant, at the bedside.";2012-05-28T00:00:00;;Completed;2018-12-24T00:00:00;Actual;2012-05-25T00:00:00;2012-06-01T00:00:00;Observational;Prospective;525.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['CHU de Lille', 'CHU Angers', 'CHU de Rennes'];2022-11-28;2012.0;2018.0;-3.0;before_start;2401.0;academique;True;Completed;['fr'];;[];Procedure;;;;;;;;;;;
['clinical_trials'];False;NCT04018781;[{'type': 'org_study_id', 'id': '35RC19_30022', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '2019-A00455-52', 'source': 'clinical_trials'}];Eval CONPARMED Haute-Bretagne : Guaranteeing the Continuity of the Care Pathway for the Elderly Patient: Evaluation of a Territorial Approach of Clinical Pharmacy;CONPARMED;"In the context of the ageing of the French population, drug iatrogeny in the elderly is a major public health issue, responsible for approximately 7,500 deaths per year and 3.4% of hospitalizations among patients aged 65 and over.

The interest of the Medication Reconciliation (MR) in reducing medication errors and unintentional discrepancies in prescriptions at transition points in patients' medication care pathways no longer seems to be in doubt both in France and abroad.

On the other hand, the literature on the clinical impact of these drug errors (i. e. occurrence of an adverse drug event (ADE) or readmission rates) is currently limited in France and presents variable results abroad.";2019-06-13T00:00:00;Actual;Completed;2020-02-13T00:00:00;Actual;2019-07-09T00:00:00;2019-07-09T00:00:00;Observational;Prospective;443.0;Actual;"[{'ReferencePMID': '35831783', 'ReferenceType': 'derived', 'ReferenceCitation': 'Bajeux E, Alix L, Cornée L, Barbazan C, Mercerolle M, Howlett J, Cruveilhier V, Liné-Iehl C, Cador B, Jego P, Gicquel V, Schweyer FX, Marie V, Hamonic S, Josselin JM, Somme D, Hue B. Pharmacist-led medication reconciliation at patient discharge: a tool to reduce healthcare utilization? an observational study in patients 65 years or older. BMC Geriatr. 2022 Jul 13;22(1):576. doi: 10.1186/s12877-022-03192-3.', 'doi': '10.1186/s12877-022-03192-3', 'source': 'clinical_trials'}]";1.0;True;No;Rennes University Hospital;['France'];['General Hospital', 'Hopital des Marches de Bretagne', 'University Hospital'];2022-11-28;2019.0;2020.0;26.0;during_study;245.0;academique;True;Completed;['fr'];;[];Other;;;;10.1186/s12877-022-03192-3;;;;;;;
['clinical_trials'];False;NCT04700670;[{'type': 'org_study_id', 'id': '35RC19_3001_DEXHEP', 'source': 'clinical_trials'}];Evaluation of the Effect of Dextran Sulphate on Anti-Xa Activities Measured in Patients Treated With Unfractionated Heparin in Different Indications-DEXHEP;DEXHEP;The measurement of anti-Xa activity is classically used for the dose adjustement of unfractionated heparin (UFH) treatment and to monitor reversal of UFH by protamine during cardiac surgery with cardiopulmonary bypass (CPB). Three categories of reagents are currently available in France for the measurement of anti-Xa activity: antithrombin-containing reagents (very little used), antithrombin-free reagents and antithrombin-free reagents with dextran sulphate. Significant differences in anti-Xa results based on the reagents used were described, particularly after protamine neutralization in CPB. Indeed, dextran sulphate, contained in some reagents, could dissociate the heparin/protamine complex contributing to the higher levels of anti-Xa with these reagents. The differences observed in these patients are likely related to the presence of platelet factor 4 (PF4) in the samples from either PF4 present in vivo in patients or released in vitro after blood collection. These differences may lead to different therapeutic attitudes, including the re-administration of protamine to neutralize heparin at the end of CBP;2020-01-16T00:00:00;Actual;Completed;2021-01-16T00:00:00;Actual;2021-01-05T00:00:00;2021-01-05T00:00:00;Observational;Prospective;164.0;Actual;[];0.0;False;Undecided;Rennes University Hospital;['France'];['CHU Bordeaux', 'CH de Versailles', 'CHU de Dijon', 'Rennes University Hospital', 'APHP, HOPITAL Necker enfants malades', 'CHU de Lille', 'APHP, CHU Lariboisière', 'CHU de Nancy'];2022-11-28;2020.0;2021.0;355.0;during_study;366.0;academique;True;Completed;['fr'];;[];Biological;;;;;;;;;;;
['clinical_trials'];False;NCT03044834;[{'type': 'org_study_id', 'id': '35RC15_3009_PPB', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '15.18', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '15.468', 'source': 'clinical_trials'}, {'type': 'Other Identifier', 'id': '915465', 'source': 'clinical_trials'}];Review of the Paediatric Pleuropulmonary Blastoma French Series;PPB;"Pleuropulmonary blastoma is a rare embryonic malignant tumour that remains the most frequent malignant tumour of the lung in childhood. The International Pleuro pulmonary Blastoma Registry (IPPB) found only 220 cases in 2009 and 350 in 2015. In France, 20 cases were identified in 2009.

Three histologies are described: type 1 purely cystic, type 2 combined and type 3 solid. Median age at diagnostic is 12 months, 35 months and 41 months respectively. Evolution is possible from type 1 to type 2 or 3 in 10% of the cases.

Since 2009, DICER 1 mutations research is proposed systematically to all families.

PPB symptoms are usually non-specific. Diagnostic is evoked when imaging work up shows bubbles or solid lesions, and confirmed by pathological analysis. However the diagnosis can be difficult because of the proximity with congenital cystic adenomatoid malformation.

The French society of paediatric oncology recommends surgery at first instance. PPB type 1 remains a problem because some are still misdiagnosed as CCAM, a benign lesion. Chemotherapy depends on the PPB type and the quality of the resection. There is a real interest to analyse the French series.

The prognosis of type 2 and 3 is low with a 5 years survival rate of 45-60%, whereas type 1 survival rate is 91%. The French experience reports a 100% survival rate in type 1 and 48% in type 2 and 3. Other prognostic factors are initial size of the tumour, extra pulmonary invasion and quality of surgery.

Early local relapses are possible and late ones concern more often type 2 and 3 with more cerebral metastasis.

In 2009, the french cases were collected, but no update has been performed since. The aim of this retrospective review of the cases since 2000, is to audit the care of PPB patients in France and update the French rare tumour database.

Evoking PPB diagnosis is difficult when imaging shows a neonatal cystic lesion. There are no radiologic criteria in the literature that differentiate congenital pulmonary cystic lesion and PPB type 1. Radiological presentation is however overlapping. Another aim of this study will be to look for a predictive sign of type 1 PPB.";2017-01-09T00:00:00;Actual;Completed;2018-07-09T00:00:00;Actual;2017-01-16T00:00:00;2017-02-03T00:00:00;Observational;Retrospective;41.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Lille University Hospital', 'Montpellier University Hospital', 'Poitiers University Hospital', 'Nantes University Hospital', 'Curie Institute', 'Necher Hospital', 'Réunion University Hospital', 'Tours University Hospital', 'Toulouse University Hospital', 'Lyon Universty Hospital', 'Marseille University Hospital', 'Angers University Hospital', 'Nice University Hospital', 'Bordeaux University Hospital', 'Gustave Roussy Institute', 'Caen University Hospital', 'Grenoble University Hospital', 'Kremlin-Bicêtre Hospital'];2022-11-28;2017.0;2018.0;7.0;during_study;546.0;academique;True;Completed;['fr'];;[];Other;;;;;;;;;;;
['clinical_trials'];False;NCT04579289;[{'type': 'org_study_id', 'id': '35RC20_8898_REMPAR-EHPAD', 'source': 'clinical_trials'}];Managerial and Environmental Risk for COVID 19 in French Long Term Care Institutions_COVID-19;REMPAR-EHPAD;REMPAR EHPAD study addresses environmental and managerial factors associated with an outbreak of COVID 19 in French Long Term Care Institutions in the spring of 2020. The survey used a mixed methodology, combining qualitative and quantitative approaches, with a questionnaire send to all identified institutions (n=501) and qualitative interviews with facility directors (n=21).;2020-06-15T00:00:00;Actual;Completed;2020-09-01T00:00:00;Actual;2020-10-01T00:00:00;2020-10-01T00:00:00;Observational;Retrospective;230.0;Actual;[];0.0;False;;Rennes University Hospital;['France'];['Centre Hospitalier Universitaire de Rennes'];2022-11-28;2020.0;2020.0;108.0;after_completion;78.0;academique;True;Completed;['fr'];;[];Other;;;;;;;;;;;
