statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
🟥,rouge,NCT00299650,,2008,Systematic Early Use of Neuromuscular Blocking Agents in ARDS Patients,,False,False,True,DRUG
🟥,rouge,NCT00769912,,2009,Evaluation of of a Prefixed 50% N2O- 50%O2 Mixture in Legal Abortion Under Local Analgesia,,False,False,False,DRUG
🟥,rouge,NCT04755023,,2010,Primary Chemotherapy by BCNU-TMZ Combination in Newly Diagnosed Anaplastic Oligodendrocytic Tumors: Phase II Trial With Translational Molecular Analysis,TEMOBIC,False,False,False,DRUG
🟥,rouge,NCT00702429,,2010,Immunoregulation of Periodontal Disease,,False,False,False,OTHER
🟥,rouge,NCT03405948,,2010,Efficiency of Botulinum Toxin Injection for Spastic Equinovarus Foot in Post Stroke Hemiparetic Patients Randomized Controlled Trial Versus Placebo,,False,False,True,DRUG
🟥,rouge,NCT00683566,,2010,State Dependent Resonance in the BG-cortical Loops,,False,False,False,PROCEDURE
🟥,rouge,NCT00725868,,2010,Blood Endothelium Biomarkers to Predict Major Adverse Cardiovascular Events After Percutaneous Coronary Intervention.,,False,False,False,OTHER
🟥,rouge,NCT00623272,,2010,"Left Ventricular Function Assessment After Acute Myocardial Infarction: Comparison Between bi-, Three-dimensional and Cardiac Magnetic Resonance",,False,False,False,OTHER
🟥,rouge,NCT00726206,,2010,"Correlation Between the Analysis of the Rapid Cortical Oscillations, the General Movements of the Preterm's and the Cerebral Palsy",,False,False,False,OTHER
🟥,rouge,NCT00947817,,2010,Impact of Endothelial Cell Activation and Modifications of Haemostasis Induced by Infective Endocarditis on the Risk of Embolism.,,False,False,False,OTHER
🟥,rouge,NCT00769236,,2010,Evaluation of Intestinal Secretion of Antibodies and Auto-antibodies Associated With Crohn's Disease,,False,False,False,OTHER
🟥,rouge,NCT00947778,,2010,Analysis of Language and Auditory Abilities in Cochlear Implanted Children: Assessment by an Auditory Learning Programmed Method,,False,False,False,OTHER
🟧,orange,NCT00697398,,2011,Repetitive Trans-cranial Magnetic Stimulation of the Motor Cortex in Fibromyalgia: A Prospective Randomized Blinded Placebo-controlled Study Evaluating the Clinical Efficiency and the Metabolic Correlate in 18FDG-PET,,False,True,True,OTHER
🟥,rouge,NCT01177436,,2011,PCA-3 Gene Project,,False,False,False,BIOLOGICAL
🟥,rouge,NCT00950209,,2011,Acute Effect of Intensive Insulin Infusion on Intestinal Triglyceride-rich-lipoprotein-apoB48 Metabolism in Type 2 Diabetic Patients,,False,False,True,DIETARY_SUPPLEMENT
🟧,orange,NCT00699868,,2011,"Cellular Immunity, Cytomegalovirus Infection and Septic Shock in ICU Patients",2006/25,False,True,True,OTHER
🟥,rouge,NCT00684281,,2011,"Early Diagnosis of Alzheimer's Disease: Clinical, Neuropsychological and Neuroimaging Follow-up of a Cohort of Patients With an Isolated Memory Impairment",,False,False,False,OTHER
🟥,rouge,NCT00824889,,2011,Exploratory Study of Natural Killer Cells in Human Skin,,False,False,False,OTHER
🟥,rouge,NCT00769574,,2011,Assessment of New Biomarkers in the Management and Triage of Patients With Chest Pain and Suspicion of Non ST Elevation Acute Coronary Syndrome.,,False,False,False,OTHER
🟥,rouge,NCT01118364,,2011,Effect of Cannabis on Simulated and Actual Driving in Healthy Subjects,,False,False,False,OTHER
🟥,rouge,NCT00682903,,2011,Use of a Bearable Continuous Interstitial Glucose Monitoring Device (GuardianR) During Teaching Sessions to Functional Insulin Therapy Concept in Patients Suffering From Type 1 Diabetes: Evaluation at 6 and 12 Months,,False,False,False,DEVICE
🟥,rouge,NCT00842166,,2011,,,False,False,False,OTHER
🟥,rouge,NCT00682409,,2011,,,False,False,False,OTHER
🟧,orange,NCT00920114,,2012,,LU-PUCE,False,True,True,BIOLOGICAL
🟥,rouge,NCT01505790,,2012,Impact of Clopidogrel Dose Adjustment According to Platelet Reactivity Monitoring in Patients With High on Treatment Platelet Reactivity Undergoing Percutaneous Coronary Intervention,,False,False,False,DRUG
🟥,rouge,NCT00684034,,2012,Redox State in the Course of Chronic Renal Insufficiency and Hemodialysis: Implications in Morbimortality,,False,False,False,OTHER
🟥,rouge,NCT01177475,,2012,Effect of Intake in Bioactive Molecules From Natural or Pasteurised Milk on Gut Maturation in Very Premature Newborns,,False,False,False,OTHER
🟥,rouge,NCT00823589,,2012,Immune Status of Elderly Population Admitted in an Acute Geriatric Unit,,False,False,False,OTHER
🟥,rouge,NCT01687452,,2012,"Microparticles, Vector of Genetic Information During HIV Infection ?",,False,False,False,BIOLOGICAL
🟥,rouge,NCT00920673,,2012,"Age Influence on the Modifications of the Oral, Pharyngeal and Laryngeal Axis Alignment in Children Induced by Head Extension: an MRI Study",,False,False,False,PROCEDURE
🟥,rouge,NCT01090232,,2012,Host Responses in Kidney-transplant Recipients With Chronic Hepatitis E Virus Infection,,False,False,True,OTHER
🟧,orange,NCT00875407,,2012,,,False,True,True,OTHER
🟥,rouge,NCT01177423,,2013,Efficiency Evaluation of Intradiploic Intra-osseus Anesthesia Versus Inferior Alveolar Nerve Block,,False,False,False,PROCEDURE
🟥,rouge,NCT00920335,,2013,Adult Intracranial Ependydomas : Prognostic and Diagnostic Factors Assessment and Molecular Characterization,,False,False,False,OTHER
🟧,orange,NCT01032564,,2013,,,False,True,True,OTHER
🟥,rouge,NCT01626612,,2013,De-escalation of Empirical Antimicrobial Therapy Study in Severe Sepsis: A Randomized Clinical Trial (DEA Study),,False,False,False,PROCEDURE
🟥,rouge,NCT01900457,,2013,Vestibular and Multisensory Influence on Bodily and Spatial Representations. Behavioral and Electrophysiological Investigations in Vestibular-defective Patients and Healthy Volunteers,,False,False,False,OTHER
🟥,rouge,NCT01058161,,2013,High-Field MRI Characterization of Wrist and Hand Cartilage Abnormalities in Inflammatory and Chronic Rheumatisms,,False,False,False,OTHER
🟥,rouge,NCT01286714,,2013,Assessment of Fistula Closure by OTSC Clip After Bariatric Surgery,,False,False,False,DEVICE
🟧,orange,NCT00484653,,2013,Identification and Impact of Vaginal Flora Anomalies Among Pregnant Woman,,False,True,True,PROCEDURE
🟥,rouge,NCT00731016,,2013,Treatment of the Hutchinson-Gilford Progeria Syndrome With a Combination of Pravastatin and Zoledronic Acid,,False,False,False,DRUG
🟥,rouge,NCT01172015,,2014,NK-ITP STUDY : NATURAL KILLER CELLS IN IMMUNOLOGIC THROMBOCYTOPENIC PURPURA OF ADULTS.,,False,False,False,OTHER
🟥,rouge,NCT01125319,,2014,Secondary Adult's Hemophagocytic Lymphohistiocytosis and Innate Immunity,,False,False,False,OTHER
🟥,rouge,NCT01865422,,2014,French Linguistic and Metric Validations of Parent-proxy QOL Chronic Cough Specific Questionnaire (PC-QOL),PC-QOL,False,False,False,OTHER
🟥,rouge,NCT01946334,,2014,Does Body Position Influence Pressure Recording by High-resolution Manometry ?,,False,False,False,DEVICE
🟩,vert,NCT01813279,,2014,Assessment of the Subcutaneous Reinjection of Human Autologous Adipose-derived Stromal Vascular Fraction (Celution® System) in the Hands of Patients Suffering From Systemic Sclerosis,,True,True,True,OTHER
🟥,rouge,NCT01687361,,2014,Can Branched Chain Amino Acids Supplementation Reduce Muscle Damage Induced by Neuromuscular Electrical Stimulation ? A Combined Functional and Metabolic Non-invasive Investigation in Healthy Humans.,,False,False,False,DIETARY_SUPPLEMENT
🟥,rouge,NCT01295333,,2014,"Assessing the Impact of the Early and Systematic Hormonal Replacement After Radio-isotopic Ablation of Graves'hyperthyroïdism on Quality of Life, Efficiency and Tolerance",,False,False,False,DRUG
🟩,vert,NCT01901003,,2014,SEDATIVE PREMEDICATION: EFFICACY ON PATIENT EXPERIENCE,PremedX,True,True,True,DRUG
🟥,rouge,NCT01626534,,2014,Evaluation of Ticagrelor Anti Platelet and Pleiotropic Effects in Patients Undergoing Percutaneous Coronary Intervention for an Acute Coronary Syndrome.,,False,False,False,DRUG
🟥,rouge,NCT00767962,,2014,"A Prospective Randomised Study of Efficacy, Safety and Costs of Talc Pleurodesis Under Medical Thoracoscopy and Pleurodesis Under Video-assisted Thoracoscopy Surgery for Recurrent Primary Spontaneous Pneumothorax",,False,False,False,OTHER
🟥,rouge,NCT01284803,,2014,Feasibility and Acceptability of an Educational Intervention to Improve the Management of Depression in Primary Care,,False,False,False,BEHAVIORAL
🟥,rouge,NCT02042664,,2015,Effect of GLP-1 Receptor (GLP-1R) Agonists on Cardiac Function and on Epicardial Adipose Tissue (EAT) Volume and on Myocardial TG Content in Obese Diabetics,,False,False,False,DRUG
🟥,rouge,NCT01687348,,2015,Lidocaine Pharmacokinetics During Tumescent Infiltrative Anaesthesia for Mastectomy.,,False,False,False,DRUG
🟥,rouge,NCT02585739,,2015,Cluster Headache and SPINK-1 Gene,,False,False,False,GENETIC
🟥,rouge,NCT01964742,,2015,Analysis of Host Genetic Factors in the Occurrence of Anemia and on the Virological Response to a Peg-interferon/Ribavirin Therapy in HIV-HCV Co-infected Patients,,False,False,False,GENETIC
🟥,rouge,NCT01954381,,2015,Impact of Adalimumab Therapy on Brachial Endothelial Function and Large Artery Stiffness in Patients With Rheumatoid Arthritis,,False,False,False,BIOLOGICAL
🟥,rouge,NCT01865435,,2015,IN UTERO SMOKING AND PREMATURE CELLULAR SENESCENCE,,False,False,False,GENETIC
🟥,rouge,NCT01693796,,2015,Evaluation of Thyroid Exposure to Radiation Doses During Paediatric Cardiac Catheterisations Performed for Diagnosis or the Treatment of Congenital Heart Disease,,False,False,False,OTHER
🟧,orange,NCT01613365,,2015,"Oropharyngeal and Nasopharyngeal Decontamination With Chlorhexidine Gluconate in the Reduction of the Postoperative Morbidity and Mortality After Major Pulmonary Resections: a Multicentric, Prospective, Randomized, Double-blind, Placebo-controlled Clinical Trial",CHLORHEX,False,True,True,DRUG
🟥,rouge,NCT02038426,,2015,"Ultrasonography Assessment of Peripheral Entheses in Axial Spondyloarthritis and in Healthy Subjects, Athletes or Not.",,False,False,False,BIOLOGICAL
🟥,rouge,NCT01284686,,2015,Pathophysiology of Neuronal Oscillations Within Subthalamo-cortical Loops in Parkinson's Disease,,False,False,False,OTHER
🟩,vert,NCT02164214,,2015,DOES ETANERCEPT INFLUENCE TWEAK MODULATION OF INFLAMMATION DURING INFLAMMATORY RHEUMATISMS (PSORIATIC ARTHRITIS AND RHEUMATOID ARTHRITIS)?,,True,True,True,DRUG
🟧,orange,NCT01999829,,2016,"Prevention of Atrial Fibrillation Following Valvular Replacement With Cardiopulmonary Bypass: a Prospective, Randomized Clinical Study Comparing Oral Caffeine With Placebo",,False,True,True,DRUG
🟥,rouge,NCT01287728,,2016,The Value of Bacterial Loads by Real Time PCR in Predicting Recurrence of Abnormal Vaginal Flora After Oral Metronidazole Therapy,,False,False,False,DRUG
🟥,rouge,NCT02885883,,2016,Non-invasive Quantification of Atrial Fibrosis by MRI in Atrial Fibrillation,QUAFI,False,False,False,DEVICE
🟥,rouge,NCT02899039,,2016,Follicular Helper T Cells: Biological Marker and Involvement in the Physiopathology of the IgG4-related Disease,G4-FH,False,False,False,BIOLOGICAL
🟥,rouge,NCT01284673,,2016,Characterization of the Cord Blood Stem Cell in Situation of Neonatal Asphyxia,NEOCORD,False,False,False,OTHER
🟥,rouge,NCT02727868,,2017,Assessment of the Mutation of Pig-A Gene as Biomarker of Genotoxic Exposure in Humans,PIG-A,False,False,False,GENETIC
🟩,vert,NCT02471924,,2017,Predicting Hypotension Related to Spinal Anesthesia for Caesarean Section With Ultrasonography,,True,True,True,OTHER
🟩,vert,NCT01675726,,2017,QUALITY OF LIFE OF CHILDREN BORN VERY PRETERM AT SCHOOL-AGE,,True,True,True,OTHER
🟥,rouge,NCT02352129,,2017,Prognostic Value of Myocardial Fibrosis Quantified Using CMR in Patient With Dilated Cardiomyopathy,,False,False,False,OTHER
🟥,rouge,NCT02879344,,2017,,,False,False,False,OTHER
🟥,rouge,NCT02608255,,2017,A Prospective Pilot Study to Evaluate a New Marker of Ischemia in Chest Pain Triage,,False,False,False,OTHER
🟥,rouge,NCT01697423,,2017,Comparative Assessment of Intra-articular Knee Injections of Platelet-rich Plasma (PRP) and Hyaluronic Acid in the Treatment of Knee Osteoarthritis,,False,False,False,DRUG
🟥,rouge,NCT02866513,,2017,Incidence of High Levels of Transpulmonary Pressure During the Use of Airway Pressure Release Ventilation.,,False,False,False,OTHER
🟩,vert,NCT00990691,2007-006739-30,2017,Pilot Study of the Effects of the Desipramine on the Neurovegetative Parameters of the Child With Rett Syndrome,,True,True,True,DRUG
🟩,vert,NCT02866578,,2018,Open Lung Protective Ventilation During Cardiac Surgery With Cardiopulmonary Bypass : a Randomized Controlled Trial,PROVECS,True,True,True,PROCEDURE
🟥,rouge,NCT03164122,,2018,EVALUATION OF AN INNOVATIVE TREATMENT FOR RADIOCARPAL OSTEOARTHRITIS USING INTRA-ARTICULAR INJECTION OF A MIXTURE OF AUTOLOGOUS MICROFAT AND AUTOLOGOUS PLATELET-RICH PLASMA,AMIPREP,False,False,False,DEVICE
🟥,rouge,NCT02117037,,2018,Prognostic Value of Biomarkers Associated With Endothelial Progenitor Cells Mobilization in Acute Coronary Syndromes,,False,False,False,OTHER
🟧,orange,NCT02622464,,2018,Innovative Treatment for Scarred Vocal Cords by Local Injection of Autologous Stromal Vascular Fraction,,False,True,True,OTHER
🟥,rouge,NCT01599533,,2018,"Screening for Thoracic Aortic Aneurysm Among a Cohort of Patients With a Degenerative Abdominal Aortic Aneurysm : Prevalence, Description of the Different Thoracic Aortic Phenotypes by Aortic Volumetric Numerized Imaging and Their Relationship With Epidemiologic, Clinical, Biological and Genetic Factors",,False,False,False,OTHER
🟥,rouge,NCT02636127,,2018,Role of Circulating Cytotoxic Lymphocytes in Endothelial Cell Injury in Systemic Sclerosis,,False,False,False,OTHER
🟩,vert,NCT02750579,,2018,Early or Delayed Revascularization for Intermediate and High-risk Non ST-elevation Acute Coronary Syndromes?,,True,True,True,PROCEDURE
🟥,rouge,NCT02732769,,2018,Clinical Evaluation of the Treatment of Intellectual Metastases by Radiosurgery Gamma Knife by Means of a Support System by Mask.,Mask,False,False,False,DEVICE
🟩,vert,NCT02428725,,2018,Platelet Reactivity Inhibition Following Ticagrelor Loading Dose and One Year Outcome in Patients Undergoing Percutaneous Coronary Intervention for an Acute Coronary Syndrome,,True,True,True,OTHER
🟥,rouge,NCT02303925,,2018,Feasibility of Superior Rectal Artery Embolization for the Treatment of Hemorrhoidal Disease,EMBORRHOID,False,False,False,DEVICE
🟩,vert,NCT02520843,,2018,An Innovative Treatment for Fistula-in-ano in Crohn Disease : Local Micro Reinjection of Autologous Fat and Stromal Vascular Fraction,,True,True,True,DRUG
🟥,rouge,NCT02875964,,2019,Definition of Links Between Non-invasives Methods and Intracerebral EEG With Simultaneous Recordings.,MEG-SEEG,False,False,False,DEVICE
🟥,rouge,NCT03322618,,2019,Evaluation of the Expression and Functions of the KIR3DL2 Receptor and the Anti-inflammatory Activity of IPH4102 (Monoclonal Antibody IPH4102 Targeting KIR3DL2) in Blood Samples Taken From Patients With Axial Spondyloarthritis and Healthy Volunteers,KIR3DL2,False,False,False,BIOLOGICAL
