statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,NCT00701792,,2006,Randomized Trial Comparing Liver Transplantation to Alternative Therapies for Patients With Pugh B Alcoholic Cirrhosis,TRANSCIAL,False,False,True
🟥,NCT01487850,,2007,Study of Wind Reed Instruments' Fungal Contamination and Its Immunological and Clinical Consequences for Musicians.,,False,False,True
🟥,NCT02841124,,2011,Decision to Limit or Withdraw Specific Therapies for Advanced Cancer and Hematological Malignancies : Physicians and Patients Points of View and Interactions.,WHATELSE,False,False,False
🟥,NCT00243477,,2012,MOTIV Study. Effect of Antidepressive Treatment by Escitalopram Started Preoperatively in Patients Undergoing Coronary Artery Bypass Grafting,,False,False,False
🟥,NCT01742845,,2012,Ultrasound-guided Intermediate Cervical Block Versus Superficial Cervical Block for Carotid : a Randomised Controlled Trial,CERVECHO,False,False,False
🟥,NCT01835951,,2013,Individual Versus Grouped Debriefing Approaches in Anaesthesia Crisis Simulation-Based Training. What Impact On The Technical Score ?,DEBRIEF-SIM,False,False,False
🟧,NCT02851836,,2013,Validation of an Attachment Picture Set in School-adolescent,MONRADO1,False,True,True
🟧,NCT01428804,,2013,Pilot Study of Feasibility of the Effect of Treatment With tDCS in Patients Suffering From Resistant Depression,DEPRESCO,False,True,True
🟥,NCT02093143,,2013,Evaluation of the Impact of Adding Remifentanil to Propofol on the Conditions of the Diagnostic Panendoscopy of the Upper Airway Under General Anesthesia With Tubeless Spontaneous Ventilation.,ENDOTANIL,False,False,False
🟥,NCT01360658,,2013,Phase 2 Multicentric Study Evaluating the Efficacy of Polyvalent Intravenous Immunoglobulins in Idiopathic Severe and Refractory Solar Urticaria,IGUS,False,False,False
🟥,NCT02879565,,2013,Families Expectations and Hope Raised by an Evaluation of Consciousness in Patients With an Unresponsive Wakefulness Syndrome,REVE,False,False,False
🟧,NCT00498589,,2014,"A Controlled, Randomized, Double-blind, Multicenter Study, Comparing Methotrexate vs Placebo in Corticosteroid-dependent Ulcerative Colitis",METEOR,False,True,True
🟥,NCT02235025,,2014,Ventilatory Constraints During Exercise in Asymptomatic Versus Symptomatic Patients With Mild COPD,,False,False,False
🟥,NCT02845817,,2015,"Requests for Euthanasia and Assisted Suicide: a Prospective, Multicenter and Qualitative Study of Their Frequency and Characteristics, of Patients' Motivations and Their Evolution",DESA,False,False,False
🟥,NCT01008228,,2015,Comparison of Efficacity of Simple Aspiration Versus Standard Drainage in the Management of Large Size Primary Spontaneous Pneumothorax,EXPRED,False,False,False
🟧,NCT02262130,,2015,Phase 2 Multicentric Study Evaluating the Efficacy of Omalizumab in Idiopathic Severe and Refractory Solar Urticaria,XOLUS,False,True,True
🟥,NCT02862288,,2015,"Preliminary Study of Microwave Tumoral Ablation Performances for the Treatment of Pulmonary, Renal and Bone Neoplasia.",TherMO,False,False,False
🟥,NCT02362568,,2015,Human Study of Interest on Cervical Ultrasound Exploration for Association With Criteria of Difficult Intubation in General Surgery,TUBECHO,False,False,False
🟥,NCT02862795,,2016,Human PapillomaVirus (HPV) Anal Infection: Study of Prevalence and Risk Factors Among 1000 Patients Benefiting From a Colonoscopy,PAPILLAN,False,False,False
🟥,NCT02834897,,2016,,PELVI-EOS,False,False,False
🟧,NCT02588469,,2016,Effects of Exercise and Venous Compression on Upper Airway Resistance in Obese Teenagers With Obstructive Sleep Apnea Syndrome,OBESOMAC,False,True,True
🟧,NCT01969149,,2016,Intravenous Exenatide (Byetta®) Versus Insulin for Perioperative Glycemic Control in Cardiac Surgery: the Open-labeled Randomized Phase II/III ExStress Study,ExSTRESS,False,True,True
🟥,NCT02902458,,2016,Psychological Intervention modifiEs Outcome of Patients With implAntable Cardioverter dEfibrillator: The PEACE Study,PEACE,False,False,False
🟩,NCT01743274,,2016,Does Optical Coherence Tomography Optimise Results of Stenting: The DOCTORS Study,DOCTORS,True,True,True
🟧,NCT03056404,,2016,Research for Specific Proteins of Interest for the Serological Diagnosis of Bird Fancier's Lung,HYPERSENS,False,True,True
🟧,NCT02862327,,2017,"Intravenous Dexamethasone Versus Placebo for Ultrasound Guided Axillary Brachial Plexus Block With Ropivacaine: Randomised, Controlled, Clinical Trial",ADEXA,False,True,True
🟥,,2013-000029-29,2017,"Study of the effect of oxytocin on emotion regulation in adolescents with insecure attachment 
 
 
 Etude de l'effet de l'ocytocine sur la régulation émotionnelle chez des adolescents à l’attachement insécure","ELOREA 
 
 
 ELOREA",False,False,False
🟥,NCT02849795,,2017,Evaluation of Adipokines and Fat Tissue in Psoriasis and Psoriatic Arthritis and Assessment of Their Relations With the Risk of Cardiovascular Disease,ADIPSO,False,False,True
🟩,NCT02573298,,2017,Cryotherapy and Doppler in Inflammatory Rheumatic Diseases,CDRI,True,True,True
