NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT00004584,,2002.0,True,False,False
NCT00005918,,2002.0,True,False,False
NCT00013897,,2003.0,True,False,False
NCT00028301,,2003.0,True,False,False
NCT00162240,,2004.0,False,False,False
NCT00095550,,2005.0,True,False,False
NCT00116298,,2005.0,True,False,False
NCT00095290,,2005.0,True,False,False
NCT00095394,,2005.0,True,False,False
NCT00162175,,2005.0,True,False,False
NCT00240383,,2006.0,True,False,False
NCT00252005,,2007.0,True,False,False
NCT00101595,,2007.0,True,False,False
NCT00110422,,2007.0,True,False,False
NCT00289640,,2007.0,True,False,False
NCT00101608,,2007.0,True,False,False
NCT00124449,,2008.0,True,False,True
NCT00272779,,2008.0,True,False,True
NCT00119678,,2008.0,True,False,True
,2007-000416-91,2008.0,True,False,False
,2006-002045-36,2008.0,True,False,False
NCT00389155,,2008.0,True,False,False
NCT00493779,,2008.0,True,False,True
NCT00207142,,2008.0,True,False,True
NCT00101647,,2008.0,True,False,True
NCT00371254,,2008.0,True,False,True
NCT00095238,,2008.0,True,False,True
NCT00135356,,2008.0,True,False,True
NCT00103844,,2008.0,True,False,True
,2007-000713-11,2008.0,True,False,False
NCT00101816,,2008.0,True,False,True
,2005-003733-40,2008.0,True,False,False
NCT00313300,,2008.0,True,False,False
NCT00101660,,2008.0,True,False,True
NCT00124982,,2009.0,True,False,True
NCT00455533,,2009.0,True,False,True
NCT00371345,,2009.0,True,False,True
NCT00162266,,2009.0,True,False,True
NCT00605735,,2009.0,True,False,False
NCT00329004,,2009.0,True,False,False
NCT00612664,,2009.0,True,False,False
,2006-001921-25,2009.0,True,False,False
NCT00410410,,2009.0,True,True,True
,2007-001217-42,2009.0,True,False,False
,2006-006896-19,2009.0,True,False,False
,2008-000170-20,2009.0,True,False,False
,2006-003371-13,2009.0,False,False,False
,2006-005351-14,2009.0,True,False,False
,2006-003604-19,2009.0,True,False,False
,2006-003047-24,2009.0,True,False,False
NCT00094653,,2009.0,True,False,True
NCT00122382,,2009.0,True,False,True
NCT00452530,,2009.0,True,False,False
,2007-003993-24,2009.0,True,False,False
NCT00423319,,2009.0,True,False,False
,2008-001089-10,2009.0,True,False,False
,2006-002178-23,2009.0,True,False,False
,2007-001256-39,2010.0,True,False,False
NCT00355238,,2010.0,True,False,False
NCT00385580,,2010.0,True,True,True
,2006-001012-68,2010.0,True,False,False
,2009-010572-20,2010.0,True,False,False
,2008-003364-19,2010.0,True,False,False
NCT00479583,,2010.0,False,False,False
NCT00410072,,2010.0,True,False,True
,2006-002205-31,2010.0,True,False,False
NCT00095173,,2011.0,True,False,False
NCT00395018,,2011.0,True,False,True
,2008-001523-57,2011.0,True,False,False
,2007-005959-42,2011.0,True,False,False
,2007-004241-15,2011.0,False,False,False
,2006-002147-91,2011.0,True,False,False
,2008-005084-34,2011.0,True,False,False
