S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00285142,,2004,Assessment of the Effect of Rosiglitazone on Insulin Secretion in Healthy Volunteers,,False,False
🟥,NCT00285155,,2006,Assessment of Bupropion on Cognitive Function and Behaviour in Healthy Volunteers,,False,False
🟥,NCT00285181,,2007,"Effects of Statins on Pro- and Antioxidant Status : Link With Statin-Associated Myopathy. A Randomized, Placebo-Controlled, Double-Blind Study.",,False,False
🟥,NCT00513890,,2010,Interest of Non Invasive Ventilation Versus Oxygen During the Intial Managment of Infant With Bronchiolitis Who Didn't Require Mechanical Ventilation,,False,False
🟥,NCT01073072,,2011,Multicentric Prospective Randomized Study Comparing Technique of Tension-free Repair With Placement of a Bovine Pericardium Bioprosthesis (Tutopatch® and Tutomesh®) to Current Conventional Surgical Techniques in Potentially Contaminated Hernia Repair and Abdominal Wall Reconstruction,Tutomesh,False,False
🟥,NCT01554436,,2011,Neuropsychological and Psychopathological Prognosis Factors of Smoking Cessation,,False,False
🟧,NCT01043991,,2011,Intracoronary Injection of Epo During Reperfusion in Patients Hospitalized for First Acute Myocardial Infarct STEMI,,False,True
🟥,NCT02094144,,2011,Health Benefits of a 6-month Brisk Walking Program in Sedentary Postmenopausal Women : a Randomized Controlled Trial,ACTIMARCH,False,False
🟧,NCT01610960,,2012,"Comparison of Helmet NEXT, Helmet Standard and Facemask for Noninvasive Ventilation: a Physiological Study in Healthy Volunteers",,False,True
🟥,NCT01818206,,2012,Bacteriophages Effects on Pseudomonas Aeruginosa Presents in Sputum of Cystic Fibrosis (CF) Patients,MUCOPHAGES,False,False
🟧,NCT01532063,,2012,Risk Factors of Difficult Intubation and Related Complications in Adults in Intensive Care Units(ICU),FRIDA-Rea,False,True
🟧,NCT01478841,,2012,INFLUENCE OF POLYPHENOLS ON OXIDATIVE STRESS IN HEALTHY INDIVIDUALS WITH HIGH METABOLISM RISK: RELATIONSHIP WITH THE MECHANISMS OF INSULIN RESISTANCE,POLYOXRESIST,False,True
🟥,NCT01580956,,2012,"Evaluation a New Ventilatory Modes: VARIABLE-PSV: a Randomized Controlled Cross-over Study: the "" VARIABLE-PSV"" Study",,False,False
🟥,NCT01512654,,2012,Assessment of an Enhanced Version of a Personalized Glucose Predictive and Therapy Advisory System (DIAdvisor-2) for Diabetic Patients Treated by Basal-Bolus Insulin Regimens,,False,False
