statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT00410020,,2003,Secondary Prevention of Atrial Fibrillation With an Alpha-Linolenic Enriched Diet : a Randomized Study,,False,False
🟥,NCT00226720,,2004,Comparison of Efficacy of an Outpatient vs Inpatient Detoxification Program for Alcohol Dependent Patients Seeking Abstinence. A Prospective Randomized Clinical Trial.,,False,False
🟥,NCT00224627,,2005,Efficiency of Capsule Endoscopy and Push Enteroscopy in Obscure Gastrointestinal Bleeding. A Prospective Randomized Study.,,False,False
🟥,NCT00224588,,2005,Effects of Peri Operative Administration of Ketamine on Long Term Post Thoracotomy Pain,,False,False
🟥,NCT00428636,,2005,Study of Early Closure of Temporary Loop Ileostomy After Elective Rectal Resection With Low Pelvic Anastomoses,,False,False
🟥,NCT00122707,,2005,Randomized Controlled Trial of Mechanical and Infectious Complications of Central Versus Peripheral Venous Catheters in ICU Patients,,False,False
🟥,NCT00224653,,2005,,,False,False
🟥,NCT00190294,,2006,Comparison Expectant With Immediate Medical Management for the Evacuation of the no Evolutionary Pregnancies Before 13 GW,,False,False
🟥,NCT00122733,,2006,Facilitation of Weaning From Ventilator by Loxapine,,False,False
🟥,NCT00236262,,2006,Effect of the Positive Expiratory Pressure on the Right Ventricular Function in Patient With Adult Respiratory Distress Syndrome Ventilated With Limited Plateau Pressure,,False,False
🟥,NCT00190437,,2006,ANTEAB: a Study of Early Antibiotherapy in the ICU Management of Acute Exacerbations of COPD,,False,False
🟥,NCT00487292,,2006,The Effects of a Combination of Napping and Bright Light Pulses on Shift Workers Sleepiness at the Wheel A Pilot Study,,False,False
🟥,NCT00162539,,2006,Relation Between Maternal Iodine Status and Prenatal Foetal Thyroid Dimension,,False,False
🟥,NCT00470080,,2007,Randomised Trial of Eutectic Mixture of Local Anaesthetics Cream and Oral Sucrose Solution for Venepuncture in Preterm Infants,VIEP,False,False
🟥,NCT00296621,,2007,Efficacy Study of Oral Glutamine Supplementation in Duchenne Muscular Dystrophy,MDB-GLN,False,False
🟥,NCT00711633,,2007,Evaluation of a Fermented Formula Without Live Bacteria for Preterm Infants: Effects on Microbiota Species and Intestinal Inflammatory Markers,,False,False
🟥,NCT01022775,,2007,Assessment of Dynamic Humeral Centering in Impingement Syndrome: a Randomized Clinical Trial,ADHCIS,False,False
🟥,NCT00235313,,2007,Does Dose Adjustment of Nicotine Replacement Therapies According to Saliva Cotinine Increase Efficacy of These Treatments of Assistance To the Nicotinic Weaning Of the High-Risk Patients?,ADONIS,False,False
🟥,NCT00162552,,2007,Clinical Trial of Pentoxifylline Administration Versus Placebo on Survival in Patients With Cirrhosis and Severe Liver Failure,PENTOCIR,False,False
🟥,NCT00236249,,2007,Evaluation of Lidocaine Continuous Intravenous Administration for Postoperative Recovery After Colorectal Surgery,,False,False
🟥,NCT00135590,,2007,Evaluation of the Effectiveness of a Protein Pulse-Feeding Pattern in Elderly Patients,PRO-PULSé,False,False
🟥,NCT00305552,,2007,Randomized Controlled Trial of Thalidomide vs Placebo in Skin Sarcoidosis,,False,False
🟥,NCT00236275,,2007,PET and MRI in the Follow-up of Neoadjuvant Chemotherapy of Breast Cancer,,False,False
🟥,NCT00307593,,2007,Infliximab Versus Rituximab in Systemic Necrotizing Vasculitides With Positive ANCA After Relapse or Resistant Immunosuppressant Therapies,,False,False
🟥,NCT00310778,,2007,"Effects of Sodium Intake on Pharmacokinetic/Pharmacodynamic Relationship of a Single Dose of a Renin Angiotensin System-Blocker, or a Beta-Blocker in Normotensive Sodium-Depleted or Replated Volunteers in a Cross-Over Study",,False,False
🟥,NCT00440102,,2008,Ketamine Versus Etomidate During Rapid Sequence Intubation: Consequences on Hospital Morbidity,KETASED,False,False
🟥,NCT00259220,,2008,In Urgency Hight Digestive Haemorrhage : Gastric Preparation for Endoscopy,,False,False
🟥,NCT01043692,,2008,Acceptability of a Strategy Including Acupuncture in the Treatment of MusculoSkeletal Pain in Hospitalised Elderly,ACUPUNCTURE,False,False
🟥,NCT00190333,,2008,"Evaluation of the Therapeutic Effects of Escitalopram in Pulmonary Hypertension, Either Primary or Associated",,False,False
🟥,NCT00224640,,2008,Effect of Iron-Chelating Therapy in Friedreich Ataxia. Study Phase I/II,,False,False
🟥,NCT00144885,,2008,Resonance Magnetic Imaging at the Acute Phase of Endocarditis: Diagnostic and Therapeutic Impact,IMAGE,False,False
🟥,NCT00135603,,2008,A Prospective Randomized Multicentric Trial Comparing Amoxicillin/Clavulanate Potassium Therapy to Appendectomy for Acute Non Complicated Appendicitis,,False,False
🟥,NCT00242892,,2008,Prospective Study Randomized Multicentric On the Optimization Of the Installation Of Stent By Measurement Of the Intra-Coronary Pressure,,False,False
🟥,NCT00190190,,2008,"Comparison of the Success Rate of a Procedure With Peeling of Limiting the Intern of the Retina Versus a Traditional Procedure Without Peeling of Limiting, at Patients Presenting a Macular Hole.",,False,False
🟥,NCT00267033,,2008,Randomized Trial of Vertebroplasty and Radiotherapy Versus Radiotherapy Alone for Osseous Spine Metastases,,False,False
🟥,NCT00248443,,2008,Severe Acute Respiratory Failure in Hematology and Cancer Patients Without Bronchoalveolar Lavage. A Multicentric Randomized Controlled Trial,,False,False
🟥,NCT00339196,,2008,"Multi Centers, Open-trial Phase II Study Evaluating 5-azacytidine (Vidaza®) + Valproic Acid (Depakine ®) Before Administration of Retinoic Acid (Vesanoid®) in Patients With Acute Myelogenous Leukemia and High Risk Myelodysplasia.",,False,False
🟥,NCT00125450,,2008,Efficacy and Safety of Chest Physiotherapy With Forced Expiratory Technique for Acute Bronchiolitis in Toddlers,BRONKINOU,False,False
🟥,NCT00298428,,2008,Biological Efficacy of Clopidogrel 600 mg Loading Dose Followed by 75 mg Maintenance Dose After Implantation of Drug-eluting Stents in Patients With Diabetes Mellitus or Metabolic Syndrome (SPACE),SPACE,False,False
