statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT01673412,,2008,Research of Prognostic Factors Associated With Healing of Venous Leg Ulcers,,False,False
🟥,NCT00567450,,2008,Ropivacaine 0.75% vs Ropivacaine 0.75% Plus Mepivacaine 1.5% for Subgluteal Sciatic Bloc: a Prospective Double Blind Randomized Controlled Study,,False,False
🟥,NCT00552201,,2008,Randomized Therapeutic Study of a Treatment by Tacrolimus Adapted or Not According to the Genotype of the Cytochrome P450 3A5 After Renal Transplantation,,False,False
🟥,NCT01815775,,2009,Predictive Value of Flow MRI in Normal Pressure Hydrocephalus Surgery,,False,False
🟥,NCT00863785,,2009,Treatment of Acute Severe Alcoholic Hepatitis With Corticoids Plus N Acetyl Cysteine Versus Corticoids Alone: a French Multicentre Randomized Controlled Study.,HAA-NAC,False,False
🟥,NCT00815867,,2009,Effect of Epoetin Beta on Renal Function Within 30 Days Following a Kidney Transplant,Neo-PDGF,False,False
🟥,NCT00396435,,2010,"Multicenter, Prospective, Randomised, Open-label Study, Evaluating the Effect of Two Levels of Haemoglobin on Quality of Life and Speed of Progression of Renal Insufficiency on Renal Transplanted Patients With Chronic Graft Dysfunction (CGD)",,False,False
🟧,NCT01219985,,2010,Benefits Study of a Respiratory Gating Protocol for 18F-FDG PET: Application on the Liver,RespiTEP,False,True
🟥,NCT01502657,,2011,Ultrasound Guided Percutaneous Tracheostomy in the ICU,,False,False
🟥,NCT01539967,,2011,Is the Residual Gastric Volume After Sleeve Gastrectomy an Objective Criterion to Adapt the Treatment Strategy After Failure?,GASTROMANCH,False,False
🟧,NCT01015417,,2012,Antibiotic Treatment Versus no Antibiotics in the Postoperative Acute Cholecystitis Low and Moderately Severe,ABCAL,False,True
🟥,NCT00769587,,2012,Phase II Study of Thalidomide in Mastocytosis,,False,False
🟥,NCT01441557,,2012,"Pilot Study on the Usefulness of 3,4-diaminopyridine in the Treatment of Botulism",,False,False
🟩,NCT01339130,,2013,"Assessment of Social-emotional Functioning in Stroke, Frontotemporal Dementia, Alzheimer and Parkinson Diseases",Emotion,True,True
🟥,NCT01513005,,2013,Feasibility of Day Case Management by Laparoscopic Sleeve Gastrectomy for Obesity: a Pilot Study,GASTRAMBU,False,False
🟥,NCT01879384,,2013,Feasibility of Monitoring of Bone Free Flaps With Microdialysis Catheter Directly Positioned in Bone Tissue,MTM,False,False
🟧,NCT01727388,,2013,Prospective Randomized Study Comparing the Results of Digital Rectal Examination in the Supine and Lateral Decubitus,RIFIONA,False,True
🟥,NCT01220843,,2013,"Randomized Placebo Controlled Double-blind Trial in CKD Patients Not on Dialysis to Evaluate the Effect of Sevelamer Carbonate in the Control of FGF-23 Serum Levels and Its Consequences in the Evolution of PTH, Calcitriol and Mineral Metabolism Parameters Levels",FRENCH,False,False
🟥,NCT01786694,,2014,Feasibility of Microdialysis by Laparoscopy,MTM-COLON-I,False,False
🟥,NCT01774682,,2014,Does the Sleeve Gastrectomy Improve the Kinematics of Obese Patients Perambulation ?,MARCHOBESE,False,False
🟥,NCT01935596,,2014,Comparative Study of the Effects of Two Local Anesthetics Administered Intrathecally: 0.5% Levobupivacaine and Ropivacaine 0.5%,ROPI-LEVO,False,False
🟥,NCT01628822,,2014,"Pilot Study, Prospective, Single Center,Randomized, Single Blind, Evaluating the Efficacy of Relaxation to 12 Weeks Against Placebo, in the Overall Care Chronic Pain in Patients With Fibromyalgia",Sophrodol-1,False,False
🟧,NCT02167334,,2014,"Non Invasive Ventilation (NIV) Versus Spontaneous Breathing for Preoxygenation During Ear, Nose, and Throat (ENT) Panendoscopy. A Controlled, Prospective, Randomized Study.",PANNIV,False,True
🟥,NCT02798965,,2014,Prevalence of Circulating Parvovirus Genome in Recently Diagnosed Graves' Disease: a Case-control Study,GPCBasedow,False,False
🟥,NCT02421003,,2015,"Exploratory Study, Prospective, of Volume, Composition and Bacteriology of the Recovered Blood of Multi-perforated Catheter Inserted in the Drapes Thickness of Incisional Sternal Area During Heart Surgery",Blood-in-drape,False,False
🟥,NCT01815541,,2015,Administration of Subcutaneous Teicoplanin in the Treatment of Osteoarticular Infections: Tolerance Study,TEICOPLANIN,False,False
🟥,NCT02899819,,2015,MecoExpo Study Protocol,MecoExpo,False,False
🟥,NCT02799173,,2015,Determination of the RANKL/Osteoprotegerin Ratio in Patients With Systemic Lupus Erythematosus. Role in Osteoporosis and Cardiovascular Calcification,CALCILUP,False,False
🟥,NCT01573481,,2015,Pressure Controlled Ventilation Versus Pressure Support Ventilation During the Night: New Strategy of Mechanical Ventilation Weaning?,REVENTIL,False,False
🟩,NCT01812031,,2015,Benefits Study of a Respiratory Gating Protocol for Positron Emission Tomography: Application on the Lungs,PneumoTEP,True,True
🟥,NCT01651676,,2015,"Evaluation of the VQ11 Auto-questionnaire of Quality of Life in Pneumology Investigation, During the Implementation of a Long-acting Bronchodilator Treatment of Patients With COPD.",EPIC,False,False
🟥,NCT02710448,,2015,May Metformin be Used in Renal Failure?,,False,False
🟥,NCT01368094,,2016,Early (4 Days) Versus Standard Drainage Removal of the Abdominal Cavity After Pancreaticoduodenectomy- - A Randomized Multicenter Study,,False,False
🟥,NCT01819792,,2016,Incidence of Respiratory Viral Infections During AML Induction and Consolidation Chemotherapy,LAMVIRE,False,False
🟩,NCT01339195,,2016,Post-stroke Cognitive Impairment and Dementia: Frequency and Anatomical Correlates With the French Version of the National Institute of Neurological Disorders and Stroke (NINDS)-Canadian Stroke Network Battery,GRECogVASC,True,True
🟥,NCT02858999,,2016,Treatment of Primary Plasma Cell Leukaemia in Subjects Under the Age of 70: Phase II Multicentre Study,LPP,False,False
🟥,NCT02894060,,2016,A Study of Immunological Biomarkers as Predictors of Cardiovascular Events,BIOKID,False,False
🟥,NCT02803645,,2016,"Clinical Significance of Antiphospholipid Antibodies in Healthy Subjects: Study of Their Association With Cardiovascular Risk Factors, Markers of Arterial Inflammation and Markers of Oxidative Stress",SAPL,False,False
🟥,NCT01839435,,2016,PROSPECTIVE EVALUATION OF OUTPATIENT APPENDECTOMY FOR NON COMPLICATED ACUTE APPENDICITIS: Intention-to-treat Study,APPENDAMBU,False,False
🟥,NCT02887378,,2016,Protocol for Anatomopathologic Analysis of Biopsies Using Hot Clamps,PincesChaude,False,False
🟩,NCT02479529,,2016,Weaning of Norepinephrine Guided by the Dynamic Arterial Compliance in Cardiac Surgery Post Operative.,SNEAD,True,True
