statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
🟥,rouge,NCT01161212,,2006,"Physical Activity, Health-related Quality of Life and Corpulence Among French Schoolchildren",REGUL'APS,False,False,False,OTHER
🟥,rouge,NCT00301470,,2008,Interest of MR Urography in the Evaluation of Functional Consequences of Urinary Tract in Children and Adults,,False,False,False,DEVICE
🟥,rouge,NCT00814554,,2009,PRALIMAP: Effectiveness Evaluation of Three Strategies of Prevention of Overweight and Obesity in Adolescents; a Cluster Randomised Controlled Trial,PRALIMAP,False,False,True,BEHAVIORAL
🟥,rouge,NCT01242007,,2010,Lung Function Impairment and Postural Spirometry Changes in Ambulatory Myotonic Dystrophy Patients,,False,False,False,OTHER
🟥,rouge,NCT02861235,,2010,"Comparison Between Myocardial Tomoscintigraphies Using a Semiconductor Camera or a Conventional Camera According to Conditions of Examination Execution: Assessment of Infarction or Ischemia, Injected Dye and Sequence of Injections",DSPECT,False,False,False,OTHER
🟥,rouge,NCT02885090,,2011,Search for New Genes Involved in Molecular Etiology of Rett Syndrome Through Comparative Genomic Hybridization on DNA Microarrays,RETT,False,False,False,PROCEDURE
🟥,rouge,NCT01570179,,2012,Sugammadex in Patients Undergoing Bariatric Surgery: An Equivalence Trial Comparing Real and Ideal Body Weight-based Dosing,SugReBaCh-1,False,False,False,DRUG
🟥,rouge,NCT02887131,,2012,Evaluation of Dynamic Computed Tomography Anatomy of Ankle in Inversion / Eversion Mouvement in Subtalar Instability.,IDIS,False,False,False,OTHER
🟥,rouge,NCT02129621,,2012,Prospective Study of Neutrophil Gelatinase Associated Lipocalin (NGAL)as a Biomarker of Mineralocorticoid Receiver Activity in Human: Proof of Concept.,,False,False,False,PROCEDURE
🟥,rouge,NCT02877537,,2012,Measurements of Change of Respiratory Admittance Induced by Salbutamol for Pediatric Asthma Diagnosis,SALBUTAMOL,False,False,False,PROCEDURE
🟥,rouge,NCT03234205,,2012,Measurements of Myocardial Relaxation Time by MRI During Respiration,ARTEMIS,False,False,False,DEVICE
🟥,rouge,NCT01090934,,2013,Etude de la Performance Diagnostique de l'EEG-Haute Résolution Sur la Localisation de la Zone épileptogène Pour le Traitement Chirurgical Des épilepsies Partielles Pharmaco-résistantes,EEG-HR,False,False,True,DEVICE
🟥,rouge,NCT01351961,,2013,Arterial Function and Structure and Evolution of Cognitive Impairment in Elderly Hypertensive Subjects With Subjective Memory Complaints,ADELAHYDE2,False,False,False,BIOLOGICAL
🟥,rouge,NCT02182908,,2013,ANALYSE EN MORPHO-TEP AU FDG DE L'EVOLUTIVITE DES ANEVRISMES ABDOMINAUX AORTIQUES NON CHIRURGICAUX UNE ETUDE MULTICENTRIQUE DE L'INTER-REGION NORD-EST,AAA,False,False,False,OTHER
🟥,rouge,NCT02858167,,2013,Creation of a Normal Database for FluoroDeoxyGlucose-Positron Emission Tomography (FDG-PET) Neurological Examinations: Study of Principal Inter-individual Variation Factors,BDD TEP FDG,False,False,False,DEVICE
🟧,orange,NCT01963221,,2013,RELATIONSHIP BETWEEN THORACIC AORTIC STRUCTURE ASSESSED BY PET/CT SCAN AND ARTERIAL STIFFNESS IN ELDERLY PATIENTS: FICTEP STUDY,FICTEP,False,True,True,RADIATION
🟥,rouge,NCT03240029,,2013,Life Quality of Children in Cancer Remission During School Reintegration,QdV leucémie,False,False,False,OTHER
🟥,rouge,NCT02861222,,2013,Myocet® in Children With Relapsed or Refractory Non-brainstem Malignant Glioma,MYOCET,False,False,False,DRUG
🟧,orange,NCT01722617,,2014,A Study to Validate Questionnaires FLARE and OM-RA-FLARE Measuring Disease Flares in Patients With Rheumatoid Arthritis.,FLARE,False,True,True,OTHER
🟥,rouge,NCT01692977,,2014,Orienting Oneself in a Healing Garden: What Elements of the Design Are Used as Landmarks by Patients With Alzheimer's Disease ?,JAZ-TOP,False,False,False,OTHER
