NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT00237731,,2006.0,True,False,False
NCT01044992,,2006.0,False,False,False
NCT00430807,,2006.0,False,False,False
NCT00966290,,2006.0,False,False,False
NCT00480220,,2007.0,True,False,False
NCT00714298,,2007.0,True,False,False
NCT00259623,,2007.0,True,False,False
NCT00235560,,2008.0,False,False,False
NCT00222027,,2008.0,True,False,False
NCT00524914,,2008.0,False,False,False
NCT00465608,,2008.0,False,False,False
NCT00439075,,2008.0,True,False,False
NCT00656773,,2008.0,True,False,False
NCT00374036,,2009.0,True,False,False
NCT01038570,,2009.0,True,False,False
NCT00222053,,2009.0,False,False,False
NCT00657163,,2010.0,True,False,False
NCT00701337,,2010.0,True,False,False
NCT00940914,,2010.0,True,False,False
NCT01356732,,2010.0,True,False,False
NCT00820469,,2010.0,True,False,False
NCT01717144,,2011.0,True,False,True
NCT01326507,,2011.0,True,False,True
NCT01146548,,2011.0,False,False,False
NCT00942214,,2011.0,False,False,False
NCT01356745,,2011.0,True,False,True
NCT00538265,,2011.0,False,False,False
NCT01776801,,2011.0,False,False,False
NCT00632762,,2011.0,False,False,False
NCT00642395,,2011.0,True,False,False
NCT02829398,,2011.0,True,False,False
NCT00641498,,2011.0,True,False,False
NCT01083329,,2012.0,True,False,True
NCT01548521,,2012.0,False,False,False
NCT01080144,,2012.0,True,False,True
NCT01211028,,2012.0,False,False,False
NCT00703144,,2012.0,False,False,False
NCT01076933,,2012.0,True,False,True
NCT01206205,,2012.0,True,False,True
NCT02833090,,2012.0,True,False,True
NCT01275573,,2012.0,False,False,False
NCT02829476,,2012.0,True,False,False
NCT02839187,,2012.0,True,True,True
NCT01274455,,2013.0,False,False,False
NCT00222014,,2013.0,True,False,False
NCT00570570,,2013.0,False,False,False
NCT01577992,,2013.0,False,False,False
NCT02393729,,2013.0,True,False,True
NCT01533662,,2013.0,False,False,False
NCT01569997,,2013.0,True,False,False
NCT02601547,,2013.0,False,False,False
NCT01452113,,2013.0,False,False,False
NCT02655328,,2013.0,False,False,False
NCT01780649,,2013.0,False,False,False
NCT02829580,,2013.0,True,False,True
NCT01895192,,2013.0,False,False,False
NCT01298180,,2013.0,True,True,True
NCT00942318,,2013.0,False,False,False
NCT02205034,2012-005325-67,2014.0,True,False,True
NCT02018081,,2014.0,False,False,False
NCT02565680,,2014.0,True,False,False
NCT02286531,,2014.0,False,False,False
NCT02310204,,2014.0,True,False,False
,2011-002177-34,2014.0,False,False,False
NCT01076920,,2014.0,True,False,True
NCT01930422,,2014.0,False,False,False
NCT02033473,,2014.0,True,False,True
NCT01548508,,2014.0,True,True,True
NCT00961194,,2014.0,False,False,False
NCT02583620,,2014.0,False,False,False
NCT01151696,2009-015529-35,2014.0,False,False,False
NCT02397967,,2014.0,True,False,False
NCT00672685,,2014.0,True,False,False
NCT01861262,,2014.0,False,False,False
NCT02203708,,2014.0,False,False,False
NCT01620164,,2014.0,True,False,True
NCT01888276,,2014.0,False,False,False
NCT01100008,,2014.0,False,False,False
NCT01862172,,2014.0,False,False,False
NCT02422732,,2015.0,False,False,False
NCT01190501,,2015.0,False,False,False
NCT02779205,,2015.0,True,False,True
NCT02566837,,2015.0,False,False,False
NCT02016352,,2015.0,False,False,False
NCT02504632,,2015.0,False,False,False
NCT01504178,,2015.0,False,False,False
NCT02572154,,2015.0,False,False,False
NCT01765881,2011-000933-35,2015.0,True,False,False
NCT02010853,,2015.0,False,False,False
NCT02563457,,2015.0,False,False,False
NCT01910285,,2015.0,False,False,False
,2010-018650-12,2015.0,False,False,False
NCT01990716,,2015.0,True,False,False
NCT02690597,,2016.0,False,False,False
NCT02682160,,2016.0,True,False,True
NCT02397148,,2016.0,False,False,False
NCT01393366,,2016.0,True,False,True
NCT02779179,,2016.0,False,False,False
NCT02828852,,2016.0,True,True,True
NCT02672826,,2016.0,True,False,False
NCT02534298,,2016.0,False,False,False
NCT02229097,2014-000969-47,2016.0,False,False,False
NCT02383316,,2016.0,False,False,False
NCT02529085,,2017.0,True,True,True
NCT02656576,,2017.0,False,False,False
,2015-004875-61,2017.0,False,False,False
NCT02708797,,2017.0,True,False,True
NCT03093337,,2017.0,True,False,False
NCT02604329,,2017.0,False,False,False
NCT02198378,,2017.0,True,False,False
NCT02635854,,2017.0,False,False,False
NCT02531945,,2017.0,False,False,False
NCT02724566,,2017.0,False,False,False
NCT02472015,,2017.0,True,False,True
NCT02444078,,2017.0,False,False,False
NCT02485171,,2017.0,False,False,False
NCT01957345,,2017.0,False,False,False
NCT02035735,,2017.0,True,False,False
NCT02529111,,2017.0,False,False,False
NCT02161926,,2017.0,False,False,False
NCT02391493,,2017.0,False,False,False
NCT01796314,,2017.0,True,True,True
