S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00291369,,2005,"PERCY QUATTRO: Medroxyprogesterone, Interferon Alpha-2a, Interleukin 2 or Combination of Both Cytokines in Patients With Metastatic Renal Carcinoma of Intermediate Prognosis",,False,False
🟥,NCT00409071,,2008,Placebo-controlled Evaluation of Homeopathic Remedy (Cocculine®) Efficacy in the Management of Nausea After Adjuvant Chemotherapy in Non Metastatic Breast Cancer.,,False,False
🟥,NCT01070537,,2009,INVIBO: Evaluation of the Feasibility and Tolerance of an Intubation Procedure Performed by Means of the Bonfils Fiberscope in Awake Patients With Predicted Difficult Intubation in the Context of ENT Cancer Surgery,INVIBO,False,False
🟥,NCT00973882,,2010,Phase II Multicenter Study Evaluating the Efficacy of Carboplatin-Etoposide Combination in Hormone-resistant Prostate Cancers With Neuroendocrine Differentiation.,,False,False
🟥,NCT00794261,,2010,"Assessment of the Efficacy and Tolerance, and Health Economic Study of a Single Administration of Pegfilgrastim in Lymphoma or Myeloma Patients Treated With Intensive Chemotherapy and Autologous Peripheral Stem Cell Transplantation",PALM,False,False
🟥,NCT00636467,,2011,Evaluation of the Technique of Axillary Sentinel Lymph Node (SLN) Detection in Breast Cancers > 2 cm,GAS2PLUS,False,False
🟥,NCT00619268,,2012,"Open Label, Randomized, Multicenter Phase II Study of a Combination of Torisel® (Temsirolimus) and Avastin® (Bevacizumab) Versus Sutent® (Sunitinib) and Versus a Combination of Avastin® (Bevacizumab) and Roféron® (Interferon Alpha-2a) in First-line Treatment of Patients With Metastatic Renal Cell Carcinoma.",TORAVA,False,False
🟥,,2009-011280-37,2012,"Efficacy and safety assessment of oral LBH589 in adult patients with advanced soft tissue sarcoma after doxorubicin failure: an open-label, multi-centric phase II study",ESTIM,False,False
🟩,NCT01136499,,2013,"Efficacy and Safety Assessment of Oral LBH589 in Adult Patients With Advanced Soft Tissue Sarcoma After Pre-treatment Failure: an Open-label, Multicenter Phase II Study",ESTIM-LBH,True,True
🟧,NCT00367861,,2013,A Prospective Multicentric Randomized Study of Glivec® in Patients With Advanced Gastrointestinal Stromal Tumors Expressing C-kit Comparing Treatment Interruption After 5 Years vs Treatment Maintenance,,False,True
🟧,NCT01202032,,2013,Bevacizumab in Patients With Metastatic Renal Cell Carcinoma or Others Advanced Solid Tumors,PARASOL,False,True
🟥,NCT01261429,2010-018869-29,2013,Phase II Study of Nilotinib Efficacy in Pigmented Villo-Nodular Synovitis/ Tenosynovial Giant Cell Tumour (PVNS/TGCT),PVNS,False,False
🟥,NCT01314300,2010-023461-22,2014,"VERSATIS - Efficacy and Safety of Lidocaine 5% Plasters (Versatis® 5%) in Child, Adolescents and Young Adults With Neuropathic Pains or Vasoocclusive Sickle Cell Crisis Pains",VERSATIS,False,False
🟥,NCT00905281,,2014,"Randomized Controlled Trial Assessing the Impact of Routine ""Oncologist-supportive Care Team"" Consultation on the Use of an Additional Line of Chemotherapy in Metastatic Breast Cancer Patients",,False,False
🟥,NCT01405430,,2014,"Exploration of New Biologic Factors' Predictive Value , Especially Circulating VE-cadherin in Metastatic Colorectal Adenocarcinoma Patients Treated With Bevacizumab",AVECC,False,False
🟥,NCT01246427,2009-009867-70,2014,Placebo-controlled Evaluation of the Homeopathic Drug BRN01 for the Treatment of Hot Flashes in Women With Non Metastatic Breast Cancer Treated by Adjuvant Hormonal Therapy,HBC,False,False
🟥,NCT01368107,,2014,"A Randomised, Multicentric, Phase 2a Study Evaluating the Impact of an Immunotherapy by IL-7 on CD4 Lymphopenia, Risks of Severe Haematological Toxicity and Tumor Progression in Metastatic Breast Cancer Patients",,False,False
🟥,NCT00349102,,2014,Evaluation of the Interest of Breath Holding for the Prevention of Radiation Pneumonitis Following Conformal Radiation Therapy,,False,False
🟥,NCT01331772,,2014,Randomized Controlled Study Assessing the Feasibility and the Medico-economic Impact of Nutritional Intervention in Women With Breast Cancer Under Adjuvant Chemotherapy,PASAPAS,False,False
🟥,NCT01696630,,2014,"Phase II Study, Randomized, Monocentric, Single-blind, Comparing the Efficacy of Xenon and Desflurane, in Association With a Thoracic Epidural Analgesia in the Maintenance Phase of a Colorectal Oncologic Surgery",,False,False
🟥,NCT01194843,,2015,A Double-blind Placebo-controlled Evaluation of Ropivacaine Efficacy by Local Per and Post Hepatectomy Infiltrations for Adult Pain Management,DPO,False,False
🟥,NCT01738217,,2015,"Evaluation, for Patients Requiring a Liver Cancer Surgery, of the Use of Fluorescence Imaging Device: Faisability and Efficiency of Lesional and/or Anatomical Marking",HEPATOFLUO,False,False
🟩,NCT01323400,,2016,"A Phase II Randomized Multicentre Study Evaluating the Efficacy of Pazopanib+Best Supportive Care (BSC) Versus BSC Alone in Metastatic and/or Locally Advanced Unresectable GIST, Resistant to Imatinib and Sunitinib",PAZOGIST,True,True
🟥,NCT01308034,,2016,Phase I Study of Continuous Dosing of Sunitinib in Non GIST Sarcomas With Concomitant Radiotherapy,,False,False
🟥,NCT01460186,,2017,Evaluation of the Predictive and Prognostic Value of Germ-line Polymorphisms in Patients With Metastatic Breast Cancer : a Multicenter Non-randomized Prospective Cohort Study,StoRM,False,False
🟩,NCT03148886,,2018,Advanced Breast Cancer and Lifestyle Exercise Study,ABLE,True,True
🟥,NCT03418597,,2018,"Randomized, Monocentric, Controlled, Superiority Phase II Trial Evaluating Clinical Hypnosis Using Virtural Reality vs Standard Pain Management Procedure During a Musculoskelettal Biopsy",REVENRI,False,False
🟧,NCT00978471,2009-009899-12,2018,Efficacy and Tolerance Adjuvant High-Dose Thiotepa With Peripheral Stem Cell Rescue Associated With Conventional Chemotherapy in Children and Adults With Relapsed Osteosarcoma,OSII-TTP,False,True
🟥,NCT03336905,,2019,Implementation of a Program Based on Adapted Physical Activity and Recommendations for Second Cancers Prevention for Teenagers and Young Adults With Cancer,PREVAPAJA,False,False
🟧,NCT03139851,2016-002736-33,2019,CHEMOIMMUNE - A Phase II Study Evaluating an Anti-PD1 Monoclonal Antibody (Pembrolizumab) in Lymphopenic Metastatic Breast Cancer Patients Treated With Metronomic Cyclophosphamide,CHEMOIMMUNE,False,True
🟥,NCT03330730,,2019,"A Randomized, Controlled, Multicenter, Prospective, Open Study Evaluating the Efficiency of the IsereADOM Home-care Service Package in the Prevention of Unplanned Hospitalizations of Patients With Cancer",IsereADOM,False,False
🟥,NCT02777710,,2019,A Dose Escalation Phase I Study With an Extension Part Evaluating the Safety and Activity of an Anti-PDL1 Antibody (DURVALUMAB) Combined With a Small Molecule CSF-1R Tyrosine Kinase Inhibitor (PEXIDARTINIB) in Patients With Metastatic/Advanced Pancreatic or Colorectal Cancers,MEDIPLEX,False,False
🟧,NCT01813136,2012-003162-41,2019,"A Randomized, Multicenter, Open-label, Phase II Study of the Optimal Scheme of Administration of Pazopanib in Thyroid Carcinoma","PAZOTHYR 
 
 
 PAZOTHYR",False,True
🟧,NCT01737450,2012-002403-18,2019,"A Phase II, Multicenter Trial Aiming to Evaluate the Clinical Interest of a Monotherapy With BKM120 , a Phosphoinositide 3-kinase (PI3K) Inhibitor in Patient With Metastatic Head and Neck Cancer Recurrent or Progressive Under Platin and Cetuximab-based Chemotherapy",PIK-ORL,False,True
🟥,NCT02489695,,2019,Multicenter Phase II Study of Axitinib in First Line Treatment for Patients With Locally Advanced or Metastatic Papillary Renal Cell Carcinoma (PRCC),AXIPAP,False,False
🟥,NCT02576106,,2020,Evaluation of Percutaneous Treatment by Cryoablation of Unifocal Invasive Breast Carcinoma in Menopausal Women With Indication of Lumpectomy,CRYOSE01,False,False
