statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT02837835,,2008,Comparison of Lung Concentrations of Ceftazidime Administered by Continuous Versus Intermittent Infusion in Patients With Ventilator-associated Pneumonia,CEFTALC,False,False
🟥,NCT00533104,,2009,Critical Limb Ischemia Treatment by Local Intra-Muscular Injection of Autologous Mononuclear Cells,,False,False
🟥,NCT03668925,,2015,Association Between Hidradenitis Suppurativa and Spondyloarthritis,VESPA,False,False
🟥,NCT02833870,,2015,Non-drug Taken Charge of Alzheimer's Disease: Profit Musical Activities,MusicAlzheimer,False,False
🟥,NCT01566071,,2015,,DRIVE COG,False,False
🟥,NCT01565434,,2015,,,False,False
🟥,NCT00904501,,2015,Cell Therapy in Critical Limb Ischemia,BALI,False,False
🟥,NCT02862639,,2015,Efficacy of Viscosupplementation Associated With Intra-articular Corticosteroid Injection Versus Intra-articular Injection of Corticosteroids Alone in Osteoarthritis of Hip,VISCOSUPP-HIP,False,False
🟥,NCT02784769,,2016,Role of Molecular Aging of Matrix Proteins of the Vessel Wall in the Aneurysm Pathology,VIMANE,False,False
🟥,NCT02404142,,2016,,GICAC,False,False
🟥,,2010-021265-80,2016,Injections intradétrusoriennes de toxine botulique A chez l'enfant présentant un syndrome d'hyperactivité vésicale neurogène : essai thérapeutique contrôlé multicentrique de non infériorité entre deux doses rapportées au poids.,TBIDE,False,False
🟥,NCT02816151,,2016,Children Toxine Botulinum Detrusor Injection in Neurogenic Vesical Hyperactivity Syndrom: Non Inferiority Multicenter Controlled Therapeutic Study Between Two Reported Weight's Doses,TBIDE,False,False
🟥,NCT02793453,,2016,Antimicrobial Peptides in Periodontitis : a Pilot Study,PAROPAM,False,False
🟥,NCT02833909,,2016,ex Vivo Study of the Inflammatory Response Associated With Hidradenitis Suppurativa,,False,False
🟥,NCT02808663,,2017,Assessment of the Predictive Value of Fecal Calprotectin for the Outcome of Severe Alcoholic Hepatitis,CALPRO-HAA,False,False
🟥,NCT02868944,,2017,"Interest of the Injection of Morphine, in Addition to a Local Anesthetic When Performing a Combined Spinal-epidural for Labor Analgesia",MASEA,False,False
🟥,NCT02862652,,2017,Role of the Microparticles and of Tissue Factor in the Pro-thrombotic Phenotype and the Thromboembolic Complications During the Acute Lymphoblastic Leukemia in Children,THROMBLEUKEMIA,False,False
🟥,NCT02792283,,2017,Evaluation of the Bleeding Risk in Patient Undergoing Hemodialysis by the Analysis of Platelet Function by PFA-100®,,False,False
