statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT00121121,,2005,A Phase Ib Vaccine Trial Evaluating the Safety and Immunogenicity of HIV Lipopeptides by Two Administration Routes (Intramuscular And Intradermal) in Healthy Adult Volunteers. ANRS VAC16 Trial,,False,False
🟥,NCT00196586,,2006,Pilot Study of Addition of IL-2 to Pegylated Interferon Alpha 2a and Ribavirin for the Treatment of Chronic Hepatitis C in HIV-HCV Coinfected Patients Non Responders to Three Months of Therapy With Pegylated Interferon Alpha 2a and Ribavirin. ANRS HC09 SECOIIA,,False,False
🟥,NCT00120185,,2006,Study of the Immunological Efficacy of Using Subcutaneous Interleukin-2 (IL-2) in Antiretroviral Naïve HIV-1-Infected Subjects With a CD4 Cell Count Above 300/mm3. ANRS 119 Trial INTERSTART,,False,False
🟥,NCT00148863,,2007,Pilot Study on Interferon Gamma in Association With Peg-Interferon Alpha 2a and Ribavirin Among Patients With a Chronic Hepatitis C and Non Responders to the Association of Peg-Interferon Alpha 2b or 2a and Ribavirin ANRS HC16 Gammatri,,False,False
🟥,NCT00117494,,2007,Randomised Comparative Study of the Efficacy and Safety of Rosuvastatin and Pravastatin in Dyslipidemic Patients Treated With Antiretroviral Agents. Anrs 126,,False,False
🟥,NCT00120367,,2007,Early Intensification of Combination Antiretroviral Therapy Including FUZEON® in the Treatment of Progressive Multifocal Leucoencephalopathy During HIV-1 Infection ANRS 125 Trial,,False,False
🟥,NCT00121758,,2007,Randomised Double Blinded Phase II AIDS Vaccine Study Comparing Immunogenicity and Safety of 3 Doses of Lipopeptide (LIPO-5) Versus Placebo in Non Infected HIV Volunteers (ANRS VAC 18),,False,False
🟥,NCT00122603,,2007,Efficacy and Safety of Regimens Restricted to a Combination of Two Boosted Protease Inhibitors as Potent Antiretroviral Therapy in HIV-1 Infected Patients. ANRS 127 2IP,,False,False
🟥,NCT00118677,,2007,Long-Term Supervised Treatment Interruption in HIV-Infected Patients Who Started Antiretroviral Treatment With CD4 Over 350/mm3 and Plasma HIV RNA Below 50 000/mL ANRS 116 Trial SALTO,,False,False
🟥,NCT00454337,,2008,Randomized Non-inferiority Study Comparing a Strategy Maintaining Current Enfuvirtide-based Antiretroviral Therapy to a Strategy Replacing Enfuvirtide by an Integrase Inhibitor (Raltegravir) in HIV-1 Infected Subjects With Plasma Hiv-1 RNA Levels Below 400 Copies Per ml.ANRS 138 EASIER,EASIER,False,False
🟥,NCT00528060,,2008,"Pilot Study to Measure Exposure to Atazanavir, as a Component of Pharmacokinetic Parameters and Adherence Measured With MEMS in Naive HIV-infected Patients Treated Once Daily With Atazanavir Combined to Ritonavir and to Tenofovir/Emtricitabine. ANRS 134 Cophar 3",ANRS134COPHAR3,False,False
