NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT01388959,,2004.0,False,False,False
NCT00048061,,2004.0,True,False,False
NCT00048945,,2004.0,False,False,False
NCT00321919,,2004.0,True,False,False
NCT00048074,,2005.0,True,False,False
NCT00090766,,2005.0,True,False,False
NCT00077766,,2005.0,True,False,False
NCT00077610,,2005.0,True,False,False
NCT00077623,,2005.0,True,False,False
NCT01392716,,2006.0,False,False,False
NCT00069108,,2006.0,True,False,False
NCT00077636,,2006.0,True,False,False
NCT00048152,,2006.0,False,False,False
NCT00081484,,2006.0,False,False,False
NCT00081471,,2006.0,False,False,False
,2006-006273-25,2007.0,True,False,False
NCT02864199,,2007.0,False,False,False
NCT00327535,,2007.0,False,False,False
NCT00408213,,2007.0,False,False,False
NCT00683969,,2007.0,True,False,False
NCT00106522,,2007.0,True,False,False
NCT00303563,,2007.0,False,False,False
NCT02806505,,2007.0,True,False,False
NCT00109408,,2007.0,True,False,False
NCT00106548,,2007.0,True,False,False
NCT00106574,,2007.0,True,False,False
,2007-003955-35,2008.0,False,False,False
,2008-002298-11,2008.0,True,False,False
NCT02748213,,2008.0,True,False,False
NCT00738530,2004-000282-35,2008.0,True,False,False
NCT00551174,,2008.0,True,True,True
NCT01214720,,2008.0,True,False,False
NCT00460941,,2008.0,True,False,False
NCT00081653,,2008.0,True,True,True
NCT00412737,2006-002473-47,2008.0,True,False,True
NCT00105079,,2008.0,True,False,True
NCT00087646,,2008.0,True,False,False
NCT02723071,2004-004110-17,2008.0,False,False,False
NCT00487188,,2008.0,True,False,True
NCT00394953,,2008.0,True,False,False
NCT02716792,,2008.0,False,False,False
NCT02827266,,2008.0,False,False,False
NCT02733419,,2008.0,False,False,False
NCT00493623,,2009.0,False,False,False
NCT02005562,,2009.0,True,False,False
NCT00451906,,2009.0,True,False,False
NCT00022672,,2009.0,True,False,False
NCT00394277,,2009.0,True,False,True
NCT00559273,,2009.0,True,False,False
NCT02774278,2004-005096-42,2009.0,True,False,False
NCT00666016,,2009.0,False,False,False
NCT01613040,2008-001127-57,2009.0,True,False,False
NCT00294515,,2009.0,True,True,True
,2006-006604-11,2009.0,True,False,False
,2007-002960-85,2009.0,True,False,False
,2006-001434-41,2009.0,True,False,False
NCT00090753,,2009.0,True,False,True
,2006-006359-11,2009.0,True,False,False
NCT00069095,,2009.0,True,False,False
,2005-005507-41,2009.0,True,False,False
NCT00545480,,2009.0,True,False,False
NCT00876538,,2010.0,False,False,False
NCT01196065,,2010.0,False,False,False
NCT01183585,,2010.0,False,False,False
NCT01044017,,2010.0,False,False,False
NCT01181609,,2010.0,True,False,False
NCT00435825,,2010.0,True,False,True
NCT00377637,,2010.0,True,False,True
NCT00556712,,2010.0,True,False,False
NCT00755287,,2010.0,True,False,False
NCT00655538,,2010.0,True,False,False
NCT00531934,,2010.0,True,False,False
,2007-002403-41,2010.0,True,False,False
NCT00412334,,2010.0,True,False,False
NCT00616798,,2010.0,True,False,False
NCT02013206,,2010.0,True,False,False
,2007-003406-10,2010.0,True,False,False
,2008-004012-13,2010.0,True,False,False
,2006-000870-63,2010.0,True,False,False
NCT00909597,,2010.0,True,False,False
NCT00642967,2007-005757-28,2010.0,False,False,False
NCT00442702,,2010.0,True,False,True
NCT00545207,,2010.0,False,False,False
NCT01077726,,2010.0,False,False,False
NCT00517439,,2010.0,True,False,False
