S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00199576,,2002,"Prevention of Post-Extubation Laryngeal Edema With Intravenous Corticosteroids: a Prospective, Double-Blind, Placebo-Controlled Trial.",,False,False
🟥,NCT00455676,,2006,Chevron Osteotomy Versus SCARF Osteotomy in the Treatment of Hallux Valgus,,False,False
🟥,NCT00199719,,2006,"Study of the Pharmacokinetic Action of Amantadine and Ribavirin in Chronic Hepatitis C Non 2 -3 Genotype naïve Patients Treated With a 12 Weeks Bitherapy of Peginterferon Alpha 2a-Ribavirin, and Followed by a Tritherapy of Peginterferon Alpha 2a-Ribavirin-Amantadine for 36 Weeks",CINAM,False,False
🟥,NCT00199615,,2006,Follow-up of Patients With Curative-Intent Surgical Resection for NSCLC : CT Scanning Versus 18 FDG Imaging.,,False,False
🟥,NCT00344526,,2006,Autologous Stem Cell Transplantation (ASCT) Versus Oral Melphalan and High-Dose Dexamethasone in Patients With AL (Primary)Amyloidosis. A Prospective Randomized Trial .,,False,False
🟥,NCT00199758,,2007,A Randomized Phase II Trial of Early Change of a Chemotherapeutic Doublet Versus Four Cycles of Chemotherapy in Advanced Non Small Cell Lung Cancer.,,False,False
🟥,NCT00199589,,2007,Treatment of Spastic Equinovarus Foot After Stroke. Efficacy: Association Between Ankle Foot Orthosis and Botulinum Toxin A (BTA) Injection,,False,False
🟥,NCT00492492,,2008,Treatement of Extension Fractures of the Distal Radius : Prospective Randomized Postoperative Comparison Between Trans-styloid and Intrafical Pinning on the One Side and Volar Fixed-angle Plating on the Other Side.,fradius,False,False
🟥,NCT00820937,,2008,Interest of the Combination of the DaTSCAN Scintigraphy and MRI Scan in the Differential Diagnosis of Lewy Body Dementia From Alzheimer Disease in Patients With Hallucinations,DatScan,False,False
🟥,NCT00820326,,2008,"A Randomized, Double-Blind, Placebo-Controlled, Study of Efficacy of DOLASETRON in Patients With Fibromyalgia",Dolastron,False,False
🟥,NCT00284778,,2009,A Randomized Cost-minimization Trial Comparing Pemetrexed (Alimta®) Versus Docetaxel (Taxotere®) as Second Line Treatment in Advanced Non Small Cell Lung Cancer (NSCLC): Study 05-06 of Groupe Français de Pneumo-Cancérologie (GFPC).,,False,False
🟥,NCT00827463,,2009,The Early Detection of Anaemia During the Maternity Decreases the Anaemia at the End of the Maternity.,anémie,False,False
🟧,NCT00199602,,2010,Prophylaxis of Thrombosis With Implantable Devices for Central Venous Access in Cancer Patients : Phase III Randomised Study,,False,True
🟥,NCT00797537,,2010,Concordance Entre l'échographie du Genou et la Radiographie Standard Dans la détection Des Calcifications Dans le Cadre de la Chondrocalcinose Articulaire,chondro,False,False
🟥,NCT00805402,,2010,"Interest of Flow Cytometry for the Diagnosis, the Follow up and SIT Arrest of Hymenoptera Venom Allergy",Cytoven,False,False
