statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,rouge,NCT00188071,,2003,Postoperative Pain After Medical Abortion Under Local Anesthesia : a Prospective and Randomized Trial Comparing Several Analgesic Regimen,,False,False,False
🟥,rouge,NCT00188058,,2006,Comparison of Two Strategies for Setting Positive End-Expiratory Pressure in Acute Lung Injury/ Acute Respiratory Distress Syndrome (ExPress Study).,ExPress,False,False,True
🟥,rouge,NCT00188032,,2006,Strategies for Suspected Pulmonary Embolism in Emergency Departments - SPEED Study,,False,False,True
🟥,rouge,NCT00262379,,2009,"Multicenter Study, Randomized and Pragmatic, Comparing Two Therapeutic Strategies : Use or Non-use of Epoetin Beta in Patients Infected by Chronic Hepatitis C and Treated by Combination Therapy Peginterferon Alfa-2a Plus Ribavirin",,False,False,False
🟥,rouge,NCT01068886,,2009,External Pancreatic Duct Stent After Pancreaticoduodenectomy: a Prospective Randomized Multicenter Trial,,False,False,True
🟥,rouge,NCT01052974,,2010,Perioperative Analgesia by Femoral Perineural Catheter for Femoral Neck Fracture - Study KTcol -,KTcol,False,False,True
🟥,rouge,NCT00485147,,2010,Study of Human Locomotion With Global Positioning System. Application to Patients With Peripheral Arterial Disease,Starter-GPS,False,False,True
🟥,rouge,NCT00648089,,2010,ErythroPOietin in Myocardial Infarction,EPOMI,False,False,True
🟥,rouge,NCT01390129,,2012,Remote Ischemic Preconditioning in Aortic Valve Surgery (RIP-Valve),RIP-Valve,False,False,True
🟩,vert,NCT01592812,,2012,Investigation of the Arterial Effects of the Veinoplus(r) Stimlator Device.,,True,True,True
🟧,orange,NCT01149278,,2012,,SEPSISPAM,False,True,True
🟥,rouge,NCT00188019,,2013,Evaluation Des méthodes de dépistage du Paragangliome héréditaire Chez Les Sujets prédisposés génétiquement,,False,False,False
🟥,rouge,NCT02179411,,2013,Study of the Renal Perfusion in Healthy Volunteers and Renal Transplant Recipients During an Orthostatic Stress,ortho_rein,False,False,False
🟧,orange,NCT01572961,,2013,Amélioration Des Techniques d'étude de la Micro-cirulation cutanée Chez Des Sujets Sains,MICROTEC,False,True,True
🟧,orange,NCT01549691,,2013,Assessment of Two Modes of Premedication in Surgery - PREMED Study,PREMED,False,True,True
