statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT00153231,,2007,"Clinical Evaluation of Morbidity and Efficacy of Posterior IVS (Infracoccygeal Sacropexy), in Comparison to the Standard Sacrospinous Suspension in the Surgical Treatment of Vaginal Vault Prolapse by the Vaginal Route.",,False,False
🟥,NCT00370877,,2010,Recombinant Human Activated Factor VII as Salvage Therapy in Women With Severe Postpartum Hemorrhage,,False,False
🟥,NCT01189188,,2010,Ultrasound Guidance for Radial Arterial Blood Sampling,,False,False
🟥,NCT00264589,,2011,Effects of an Individualized Training Program on Cardiovascular Function at Rest and During Exercise in Obese and in Type 2 Diabetic Subjects,,False,False
🟥,NCT01402765,,2012,"Interface Pressure Measures for Matresses: a Randomized, Cross-over, Non-inferiority Study Comparing the Nimbus 3 Versus Summit Matresses",,False,False
🟥,NCT03614598,,2012,Impact on Postoperative Pain of Three Single-use Adult Supraglottic Airway Devices in Short General Anesthetic Under Controlled Ventilation,DISPOSITIF LAR,False,False
🟥,NCT01167803,,2012,Coming Out of Anesthesia After Bariatric Surgery : Desflurane Versus Xenon,XENON,False,False
🟥,NCT01644760,,2012,Respiratory Variations in the Diameter of the Inferior Vena Cava With Spontaneous Ventilation: A Physiological Study on Healthy Volunteers,,False,False
🟥,NCT03867071,,2012,Early Administration of Recombinant Erythropoietin (RHEPO) in Transfusion Savings in Trauma Patients,EPREX,False,False
🟥,NCT01647802,,2012,Cross-over Study of Three Modular Devices for Aid in Patient Standing and Transfer,VTT,False,False
🟥,NCT01647815,,2012,Ultrasound Comparison of the Surface of the Subclavian Vein (Arm in Abduction (90°) and External Rotation (90 °)) and the Surface of the Axillary Vein (Arms Along the Body) Versus the Surface of the Subclavian Vein (Arm Along the Body),AnatoAbord,False,False
🟥,NCT01545089,,2013,Use of a Fabric Mattress Cover for Patient Comfort,,False,False
🟥,NCT01134588,,2013,Assessment of Quality of Life in Disorders of the Pelvic Floor,U-GYN-QOL,False,False
🟥,NCT01795443,,2013,Lumbar Proprioception in Lower Back Pain Patients Versus Healthy Subjects : a Comparative Study on the Effects of Low- and High-frequency Muscle Vibrations,Vibrioception,False,False
🟥,NCT01390454,,2013,Study of the Relationship Between Functional Ultrasound Data and the Impact of Lateral Epicondylar Pain,EPICORE,False,False
🟧,NCT01543360,,2013,"Comparison of Axillary Versus Subclavian Vein Strategies for Central Venous Catheterization Under Continuous Ultrasound Guidance: a Prospective, Randomized, Non-inferiority Study",,False,True
🟥,NCT00153257,,2013,Comparison of the Prosthesis Ugytex by the Trans-obturator Approach and Anterior Colporrhaphy for the Surgical Treatment of Anterior Vaginal Wall Prolapse,,False,False
