statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,NCT00405171,,2006,Efavirenz to Nevirapine Switch in HIV-1 Infected Patients With Severe Dyslipidemia: A Randomized Controlled Study,,False,False,True
🟥,NCT00277888,,2007,Complications of Jugular and Femoral Venous Catheterization in Critically Ill Patients Requiring Hemodialysis: A Randomized Controlled Trial,CATHEDIA,False,False,True
🟥,NCT00362492,,2007,9-10 Days Versus Prolonged Thromboprophylaxis in Patients Without Evidence of Ultrasound Proximal Thromboembolism After Total Knee Joint Replacement: a Randomized Controlled Trial,,False,False,True
🟥,NCT00931645,,2008,Randomized Phase III Trial Evaluating the Role of Autologous Stem Cell Transplantation in Previously Untreated Patients With Stage B and C Chronic Lymphocytic Leukemia,Auto-LLC 2001,False,False,False
🟥,NCT00963066,,2009,NAV-ALI: Effects of Different Levels of Neurally Adjusted Ventilatory Assist (NAVA) in Patients Recovering Spontaneous Breathing After Acute Lung Injury: A Physiological Evaluation.,,False,False,False
🟥,NCT01070862,,2009,Multiple Myeloma Treatment With Thalidomide. Three Randomized Studies on Thalidomide as Induction Treatment Before Autotransplant (MY-TAG) or With a Conventional Chemotherapy (MY-DECT) and as Consolidation/Maintenance at Plateau Phase (MY-PLAT).,MAG 2002,False,False,False
🟥,NCT00811109,,2010,HEMOTOL: Effects of New Dialysis On-line Monitoring Devices on Hemodynamic Stability During Intermittent Hemodialysis in Critically Ill Patients With Acute Kidney Injury : a Prospective Randomized Study.,HEMOTOL,False,False,True
🟥,NCT00876967,,2010,"Comparison of Performance of Three Laryngoscope Blades: Plastic Single Use, Metallic Single Use and Metallic Reusable Blades.",Laryngotest,False,False,True
🟥,,2007-005170-30,2010,Pharmacocinétique de l’Hydrocortisone chez le patient ADdisonien : évaluation de la valeur prédictive de l’ACTH plasmatique pour la titration du traitement substitutif,PHAD,False,False,True
🟥,,2007-001842-42,2011,Fixation de prothèses par Tissucol dans la cure de prolapsus  par voie vaginale,TISSPRO,False,False,True
🟥,NCT01074619,,2011,Effects of Memantine on Cognitive Disorders of Relapsing-remitting Multiple Sclerosis,,False,False,True
🟥,NCT01471600,,2011,Randomized Control Study : Safety and Efficacy of Carbohydrate Drink Ingested Two Hours Before Upper Endoscopy Under General Anaesthesia,ENDOGLUcide,False,False,False
🟥,NCT00850278,,2011,Assessment of [18F]FLT-PET Imaging for Diagnosis and Prognosis of Brain Tumors,FLT,False,False,False
