NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT00259350,,2006.0,True,False,False
NCT00461825,,2007.0,False,False,False
NCT00219752,,2007.0,False,False,False
NCT00219726,,2007.0,False,False,False
NCT01320384,,2013.0,True,False,True
NCT01823965,,2014.0,False,False,False
NCT00219739,,2014.0,True,True,True
NCT02205632,,2014.0,False,False,False
NCT01628237,,2015.0,True,True,True
NCT03186144,,2015.0,False,False,False
NCT02703857,,2016.0,True,False,True
NCT01292356,,2016.0,False,False,False
NCT01958996,,2016.0,True,False,True
NCT02797730,,2016.0,False,False,False
,2010-019837-85,2016.0,False,False,False
NCT02930382,,2016.0,False,False,False
NCT02193737,,2016.0,False,False,False
NCT02515448,,2017.0,False,False,False
NCT02725190,,2017.0,True,False,False
NCT02717468,,2017.0,False,False,False
NCT02821897,,2017.0,False,False,False
NCT03367065,,2017.0,False,False,False
NCT02869828,,2017.0,True,False,True
NCT02825121,,2017.0,True,False,True
NCT02920281,,2017.0,True,True,True
NCT03223506,,2017.0,False,False,False
NCT03439644,,2017.0,False,False,False
NCT02399709,,2017.0,False,False,False
,2012-005263-27,2017.0,False,False,False
NCT03447457,,2017.0,False,False,False
NCT02668458,,2017.0,True,True,True
NCT02941952,,2018.0,False,False,False
NCT03025841,,2018.0,True,False,False
NCT02110888,,2018.0,False,False,False
NCT03211676,,2018.0,False,False,False
NCT03198637,,2018.0,False,False,False
NCT02534974,,2018.0,True,True,True
NCT02931227,,2018.0,False,False,False
NCT03634878,,2018.0,False,False,False
NCT03644836,,2018.0,False,False,False
NCT03456557,,2018.0,False,False,False
NCT03121482,,2018.0,True,True,True
NCT02320474,,2018.0,False,False,False
NCT03747874,,2018.0,False,False,False
NCT03757143,,2019.0,True,True,True
NCT03537105,,2019.0,False,False,False
NCT02964130,,2019.0,False,False,False
NCT03981042,,2019.0,False,False,False
NCT03250871,,2019.0,False,False,False
NCT02482883,,2019.0,False,False,False
NCT02273661,,2019.0,True,False,True
NCT03227965,,2019.0,False,False,False
NCT03847740,,2019.0,False,False,False
NCT02978300,,2019.0,True,False,True
NCT03389984,,2020.0,False,False,False
NCT03404427,,2020.0,False,False,False
NCT02334488,,2020.0,False,False,False
NCT04371965,,2020.0,True,True,True
NCT03461094,,2020.0,False,False,False
NCT03566004,,2020.0,False,False,False
NCT03233984,,2020.0,False,False,True
NCT02151695,,2020.0,False,False,False
NCT02265406,,2020.0,False,True,True
NCT04118725,,2021.0,False,False,False
NCT04391660,,2021.0,False,False,False
NCT03209843,,2021.0,False,False,False
NCT03014583,,2021.0,False,True,True
NCT05003024,,2021.0,False,False,False
NCT04034797,,2021.0,True,False,True
NCT04978740,,2021.0,False,False,False
NCT04227639,,2021.0,True,True,True
NCT04387955,,2021.0,False,False,False
NCT03344263,,2021.0,False,False,False
NCT02463617,,2021.0,False,False,False
NCT03374930,,2021.0,False,False,False
NCT03496285,,2021.0,False,False,False
NCT03105921,,2021.0,False,False,False
NCT03856983,,2021.0,False,False,False
NCT05158010,,2022.0,False,False,False
NCT04792879,,2022.0,False,False,False
NCT04456972,,2022.0,False,False,False
NCT02703922,,2022.0,False,False,False
,2021-000304-38,2022.0,False,False,False
NCT03560193,,2022.0,False,True,True
NCT05224648,,2022.0,False,False,False
NCT05231525,,2022.0,False,False,False
NCT03497832,,2022.0,False,False,False
NCT04971213,,2022.0,False,False,False
NCT04387253,,2022.0,False,False,False
NCT05064839,,2023.0,False,False,False
NCT05404425,,2023.0,False,False,False
NCT03481569,,2023.0,False,False,False
NCT03863041,,2023.0,False,False,False
NCT02142075,,,False,False,False
NCT01291537,,,False,False,False
NCT01649726,,,False,False,False
NCT01711060,,,False,False,False
NCT00845221,,,True,False,False
NCT01629550,,,True,False,False
NCT02545595,,,False,False,False
NCT01351142,,,False,False,False
NCT01872546,,,False,False,False
NCT01061073,,,False,False,False
NCT01061047,,,False,False,False
NCT01060891,,,True,False,False
NCT01059890,,,False,False,False
NCT00992615,,,False,False,False
NCT01675986,,,False,False,False
NCT01673542,,,False,False,False
NCT02424890,,,True,False,False
NCT01532401,,,False,False,False
NCT01537614,,,False,False,False
NCT00779922,,,False,False,False
