statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,rouge,NCT00786305,,2008,Assessment of Efficiency of Nebulized Ceftazidime and Amikacin in Treatment of Ventilator Associated Pneumonia Caused by Pseudomonas Aeruginosa,,False,False,False
🟥,rouge,NCT00786305,,2008,Assessment of Efficiency of Nebulized Ceftazidime and Amikacin in Treatment of Ventilator Associated Pneumonia Caused by Pseudomonas Aeruginosa,,False,False,False
🟥,rouge,NCT02055261,,2012,Effects of Low Frequency Deep Brain Stimulation of the Pedunculopontine Nucleus on Gait and Balance Disorders of Parkinson's Disease,,False,False,False
🟥,rouge,NCT01457248,,2014,Effect of Endotracheal Tube With Taper-shaped Cuff on Incidence of Postoperative Pneumonia After Aortic Surgery,TETRIS,False,False,False
🟥,rouge,NCT01457248,,2014,Effect of Endotracheal Tube With Taper-shaped Cuff on Incidence of Postoperative Pneumonia After Aortic Surgery,TETRIS,False,False,False
🟥,rouge,NCT02554370,,2015,Psychoeducational Programme for Patients With Parkinson's Disease Undergoing Subthalamic Deep Brain Stimulation,PSYCHE,False,False,False
🟥,rouge,NCT02554370,,2015,Psychoeducational Programme for Patients With Parkinson's Disease Undergoing Subthalamic Deep Brain Stimulation,PSYCHE,False,False,False
🟧,orange,NCT03671161,,2017,Combination of Flash Glucose Measure System and Continuous Subcutaneous Insulin Infusion Therapy in Patients With Type 1 Diabetes and Poor Glycemic Control Related to Very Few Self-blood Glucose Measurements,FREESTYLE,False,True,True
🟧,orange,NCT03671161,,2017,Combination of Flash Glucose Measure System and Continuous Subcutaneous Insulin Infusion Therapy in Patients With Type 1 Diabetes and Poor Glycemic Control Related to Very Few Self-blood Glucose Measurements,FREESTYLE,False,True,True
🟥,rouge,NCT04035655,,2018,Sub-study of the NEURODOC Project (Electrophysiological Evaluation of Consciousness in Patients With Disorders of Consciousness During Standard Care Procedures): Neurophysiological Evaluation of a Routine Care Open Label tDCS Session,Neurodoc,False,False,False
🟥,rouge,NCT04035655,,2018,Sub-study of the NEURODOC Project (Electrophysiological Evaluation of Consciousness in Patients With Disorders of Consciousness During Standard Care Procedures): Neurophysiological Evaluation of a Routine Care Open Label tDCS Session,Neurodoc,False,False,False
🟥,rouge,NCT00139308,,,Pilot Study of Internal Globus Pallidus or Median Centre of the Thalamus High Frequency Stimulation for the Treatment of Patients With Severe Tourette's Syndrome,,False,False,True
🟥,rouge,NCT00139308,,,Pilot Study of Internal Globus Pallidus or Median Centre of the Thalamus High Frequency Stimulation for the Treatment of Patients With Severe Tourette's Syndrome,,False,False,True
