S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00400309,,2007,"A Double Blind, Controlled, Randomised, Clinical Study to Assess the Safety of Repevax® Administered One Month After Revaxis® or Placebo to Healthy Adults",,False,False
🟥,,2007-002861-11,2007,"An Open-label, Multi-centre, Randomised, Comparative Study of the Immunogenicity and Safety of an Inactivated Split-Virion Influenza Vaccine administered by Intradermal Route (Flu-ID 15μg) versus an Inactivated adjuvanted Influenza Vaccine administered by Intramuscular Route (Addigrip® 15µg) in subjects 65 years of age or older",,False,False
🟥,NCT00554333,,2007,"An Open-label, Multi-centre, Randomised, Comparative Study of the Immunogenicity and Safety of an Inactivated Split-Virion Influenza Vaccine Administered by Intradermal Route (Flu-ID 15μg) Versus an Inactivated Adjuvanted Influenza Vaccine Administered by Intramuscular Route in Subjects 65 Years of Age or Older",,False,False
🟥,NCT00383539,,2007,,,False,False
🟥,,2007-006532-66,2008,"An open-label, single-arm, phase IV study assessing the immunogenicity and safety of ZOSTAVAX at minimum release specification approaching expiry potency in subjects ≥50 years old",,False,False
🟥,NCT00606359,,2008,Immunogenicity of the Inactivated Split-Virion Influenza Vaccine Administered by the Intradermal Route in Renal Transplant Subjects,,False,False
🟥,NCT00447525,2005-001446-16,2008,"Comparison of the Immunogenicity and Safety of a Combined Adsorbed Low Dose Diphtheria, Tetanus and Inactivated Poliomyelitis Vaccine (REVAXIS®) With a Combined Diphtheria, Tetanus and Inactivated Poliomyelitis Vaccine (DT Polio®) When Given as a Booster Dose at 6 Years of Age",REVAXIS® versus DT Polio® as a second booster in 6 year-old children,False,False
🟥,,2008-008724-32,2009,"A randomised, comparative, multicentre clinical trial of the immunogenicity and safety of Tdap-IPV vaccine (REPEVAX) and a tetanus monovalent vaccine in healthy adults 18 years of age and older",,False,False
🟥,NCT00928785,,2009,"A Randomised, Comparative, Multicentre Clinical Trial of the Immunogenicity and Safety of Tdap-IPV Vaccine and a Tetanus Monovalent Vaccine in Healthy Adults 18 Years of Age and Older",,False,False
🟥,NCT00945438,2009-009977-85,2009,"Immunogenicity and Safety of the Influenza Vaccine (Split Virion, Inactivated), Northern Hemisphere 2009-2010 Formulation (Intradermal Route)",Immunogenicity and Safety of a Vaccine Against Influenza (2009-2010 Northern Hemisphere Season),False,False
🟥,NCT00343421,,2009,"Immunogenicity and Safety of PEDIACEL®, a Combined Diphtheria, Tetanus, Five Component Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus Influenzae Type b Conjugate Vaccine (Adsorbed), Compared to Infanrix®-IPV+Hib When Both Vaccines Are Co-Administered With Prevenar® to Infants and Toddlers at 2, 3, 4 and 12-18 Months of Age",,False,False
🟥,NCT00383526,,2009,,,False,False
