NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT01512277,,1999.0,True,False,False
NCT00367185,,2005.0,True,False,False
NCT00682292,,2006.0,False,False,False
NCT00122057,,2007.0,True,False,False
NCT00446264,,2009.0,True,True,True
NCT02385565,,2009.0,False,False,False
NCT01082666,,2010.0,False,False,False
NCT01108029,,2010.0,True,False,False
NCT01487590,,2010.0,True,False,False
,2006-004784-58,2010.0,True,False,False
,2008-005801-20,2011.0,True,False,False
NCT00943748,,2011.0,True,False,True
,2008-005131-15,2011.0,True,False,False
NCT01351259,,2011.0,True,False,True
NCT00914095,,2011.0,True,False,True
NCT00642980,,2011.0,True,False,False
NCT01214226,2006-006944-78,2011.0,True,False,True
NCT01679093,,2011.0,False,False,False
NCT00767091,,2012.0,True,False,True
NCT01279096,,2013.0,False,False,False
NCT01415219,,2013.0,True,False,False
NCT01487395,2010-023989-51,2013.0,False,False,False
NCT01295736,,2013.0,True,False,True
NCT00766519,,2013.0,False,False,False
NCT00639964,,2013.0,False,False,False
NCT01123174,,2014.0,True,False,False
NCT03066362,,2014.0,False,False,False
NCT01965821,,2014.0,True,False,True
NCT04354311,,2014.0,True,False,False
NCT03164746,,2014.0,True,False,False
NCT01341002,,2014.0,False,False,False
NCT00937456,,2015.0,True,False,False
NCT01641627,,2015.0,False,False,False
NCT01053949,2009-013319-36,2015.0,True,True,True
NCT01745640,2011-002081-20,2015.0,True,True,True
NCT01713504,,2015.0,False,False,False
NCT01948635,,2015.0,True,False,True
NCT01637441,,2015.0,False,False,False
NCT03066375,,2015.0,False,False,False
NCT02844101,,2015.0,True,False,True
NCT02662725,2012-000852-32,2015.0,False,False,False
NCT02250755,,2015.0,False,False,False
NCT02154178,,2016.0,True,True,True
NCT01123187,,2016.0,True,True,True
NCT01622400,,2016.0,False,False,False
NCT00946959,,2016.0,False,False,False
NCT02213302,,2016.0,True,False,False
NCT04146675,,2016.0,False,False,False
NCT03751787,,2016.0,False,False,False
NCT02364908,,2016.0,False,False,False
NCT02164253,2013-001228-21,2016.0,False,False,False
NCT02242955,2012-003336-23,2016.0,False,False,False
NCT02750150,,2016.0,False,False,False
NCT02905071,,2017.0,True,False,True
NCT03749304,,2017.0,False,False,False
NCT03185403,2013-002317-36,2017.0,False,False,False
NCT03381456,,2017.0,False,False,False
NCT02969733,2009-017682-33,2017.0,False,False,False
NCT02193412,,2017.0,False,False,False
NCT02891395,2012-000770-36,2017.0,False,False,False
NCT03280290,,2017.0,False,False,False
NCT02812901,,2017.0,True,True,True
NCT03509805,,2017.0,False,False,False
NCT03286660,,2017.0,True,False,True
NCT01488214,,2017.0,True,False,False
NCT02302469,2008-006370-15,2017.0,True,True,True
NCT02778178,2015-002143-34,2017.0,False,False,False
NCT02902016,,2017.0,False,False,False
NCT03076892,,2017.0,False,False,True
NCT02702128,2015-002175-24,2018.0,False,False,False
NCT02621775,,2018.0,True,True,True
NCT02662504,2015-001554-15,2018.0,False,False,False
NCT02881437,2016-001480-36,2018.0,False,False,False
NCT02272361,,2018.0,False,False,False
NCT02281916,2013-000595-15,2018.0,True,False,True
NCT02525705,,2018.0,True,False,True
NCT02281929,2014-002536-13,2019.0,False,False,False
NCT02884557,,2019.0,False,False,False
NCT01594450,,2019.0,False,True,True
NCT01756794,,2019.0,True,False,True
NCT03565822,,2019.0,False,False,False
NCT03370627,,2019.0,False,False,False
NCT03342820,,2019.0,False,False,False
NCT03315819,,2019.0,True,False,True
NCT03980210,,2019.0,False,False,False
NCT03808246,,2019.0,False,False,False
NCT03743831,,2019.0,False,False,False
NCT03232697,,2019.0,False,False,False
NCT03238430,2014-003317-28,2019.0,False,False,False
NCT03710096,,2019.0,False,False,False
NCT02821169,2013-004410-17,2019.0,True,False,True
NCT02994017,,2019.0,False,False,False
NCT03158376,2014-005226-35,2019.0,False,False,False
NCT02891330,,2020.0,False,False,False
NCT02667574,2013-004338-13,2020.0,False,False,False
NCT03735043,,2020.0,True,False,True
NCT03946046,,2020.0,False,False,False
NCT02849236,2016-000157-12,2020.0,False,False,False
NCT02880033,,2020.0,False,False,False
NCT02655315,2015-003679-31,2020.0,True,True,True
NCT02626481,2015-002221-19,2020.0,False,False,False
NCT04231656,,2020.0,False,False,False
NCT03012490,,2020.0,False,False,False
NCT04173364,2019-001984-62,2020.0,False,False,False
NCT03255863,,2020.0,False,False,False
NCT04181502,,2020.0,False,False,False
NCT03261414,,2020.0,False,False,False
NCT05994196,,2021.0,False,False,False
NCT04381637,,2021.0,True,True,True
NCT03801941,,2021.0,False,False,False
NCT03200769,,2021.0,False,False,False
NCT02086214,,2021.0,False,True,True
NCT02749110,,2021.0,True,True,True
NCT03726203,,2021.0,False,False,False
NCT04535115,,2021.0,False,False,False
NCT03048240,2016-002706-39,2021.0,True,True,True
NCT03741569,,2022.0,False,False,False
NCT01373866,,2022.0,True,True,True
NCT03556696,,2022.0,False,False,False
NCT01423396,,2022.0,False,False,False
