S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00337623,,2006,Corticosteroids and Cataracts : Prospective Study of the Impact of Systemic Corticosteroid Therapy on Lens Transparency Evaluated by Scheimpflug Photography and Quantification of Lens Autofluorescence.,,False,False
🟥,NCT01874717,,2007,Conscious Sedation With Midazolam in Dentally Anxious Patients: Effect of the Administration Route (Oral Versus Intravenous Administration),,False,False
🟥,NCT00355277,,2007,"Local Anaesthetic Effects of Transcutaneous Amitriptyline in Human Volunteers : a Controlled, Double-blinded, Randomised Study Versus Placebo and Transcutaneous Local Anaesthetic (EMLA(R))",,False,False
🟥,NCT00241566,,2007,Economic Medical Evaluation of Treatment of the Neuropathic Pain Rebel by Cortical Stimulation,,False,False
🟥,NCT00560092,,2008,Effects of a Single Dose of Intrathecal Magnesium Sulfate on Postoperative Morphine Consumption After Total Hip Replacement,,False,False
🟥,NCT00313378,,2008,Effects of Perioperative Systemic Ketamine on Development of Long-term Neuropathic Pain After Thoracotomy.,,False,False
🟥,NCT00487175,,2008,Tramadol and Pain Sensitization,TRAMADOL,False,False
🟥,NCT00750048,,2008,Impact of Naloxone on the Analgesic Effect of Paracetamol in Healthy Volunteers,,False,False
🟥,NCT00750347,,2008,Evaluation of the Interaction of Rimonabant (Antagonist of CB1 Receptor) on the Analgesic Effect of Paracetamol in Intravenous Administration,,False,False
🟥,NCT01116596,,2008,Effect of Paracetamol on the Status in Glutathione for the Aged Person,,False,False
🟥,NCT01121653,,2008,Impact of Oral Magnesium on Neuropathic Pain,,False,False
🟥,NCT00487812,,2008,Prediction of Left Ventricular Remodelling in Patients Treated by Angioplasty in the Acute of Phase of a First Myocardial Infarction by Low-Dose Dobutamine Tc-99m-Mibi Gated SPECT,,False,False
🟥,NCT00664157,,2009,Facial Expression Recognition of Emotion and Categorization of Emotional Words in Parkinson's Disease. Impact of L-Dopa and Deep Brain Stimulation of Subthalamic Nucleus .,,False,False
🟥,NCT00852735,,2009,Effect of the Antioxidant Micronutrients of Rapeseed Oil on the Prevention of Cardiovascular Diseases,,False,False
🟥,NCT00484549,,2009,"National, Multicenter, Prospective Study of Screening of Fabry Disease in a Population of Men Over 28 Days Old and Less Than 55 Years, Hospitalized for an Ischemic Stroke.",FIND,False,False
🟥,NCT00488410,,2009,Evaluation of the Forecasts Parameters of Real Time Three-dimensional Doppler Echocardiography in Selecting Patients With Chronic Heart Failure for Cardiac Resynchronisation Therapy,,False,False
🟥,NCT00639574,,2009,Interest of Néfopam in the Treatment of Pain During the Intense Ureteral Calculi Uncomplicated in Adults in Emergencies Unit.,,False,False
🟥,NCT01196754,,2009,Pharmacokinetic of Sevoflurane During a 48h Sedation in ICU With AnaConDa®,Anaconda,False,False
🟥,NCT00487110,,2009,,Tropisétron,False,False
🟥,NCT00852384,,2009,Non Invasive Pressure Support Ventilation (NIPPV) Versus Conventionnal Approach and Early Recruitment Maneuver (RM) for Preoxygenation of Morbidly Obese Patient,,False,False
🟥,NCT01014299,,2009,Recruitment Maneuver Increases Oxygenation After Intubation in Hypoxemic ICU Patients: a Randomized Controlled Study,,False,False
