NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT01333748,,2012.0,False,False,False
NCT01332929,,2013.0,True,False,True
NCT01400438,,2015.0,False,False,False
NCT01797692,,2015.0,False,False,False
NCT01880203,,2015.0,True,False,False
NCT01391351,,2016.0,False,False,False
NCT02323555,,2016.0,False,False,False
NCT01331629,,2016.0,False,False,False
NCT02323568,,2016.0,False,False,False
NCT02432599,,2017.0,True,True,True
NCT01788618,,2017.0,False,False,False
NCT02791360,,2017.0,False,False,False
NCT02583035,,2018.0,False,False,False
NCT03473652,,2018.0,False,False,False
NCT03060226,,2018.0,False,False,False
NCT02784223,,2019.0,True,False,True
NCT02493972,,2019.0,False,False,False
NCT02591095,2015-000193-35,2019.0,True,False,True
NCT03466788,,2019.0,False,False,False
NCT02560818,,2020.0,False,False,False
NCT02317393,,2020.0,False,False,False
NCT03420105,,2020.0,True,True,True
NCT04410185,,2021.0,True,True,True
NCT04747249,,2022.0,False,False,False
NCT04213365,,2022.0,False,False,False
NCT01520701,,2022.0,False,False,False
NCT02907372,,2022.0,False,True,True
NCT04560114,,2023.0,False,False,False
NCT04040946,,2023.0,True,True,True
NCT03599830,,2023.0,False,False,False
NCT04205799,,2023.0,True,True,True
NCT04584086,,2023.0,False,False,False
NCT03299855,,2023.0,False,False,False
NCT00770172,,,False,False,False
NCT00771433,,,False,False,False
