statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,NCT00005062,,2005,A Phase III Trial Comparing High Versus Standard Dose of Prophylactic Cranial Irradiation (PCI) in Limited Small Cell Lung Cancer Complete Responders,,False,False,True
🟥,NCT00126256,,2006,"Randomized Trial of Treatment Strategy for Chemotherapy in Colorectal Cancer, FFCD 2000-05",,False,False,True
🟥,NCT00147160,,2007,Phase II Study of the Combination of Cisplatin + Temozolomide in Malignant Glial Tumours in Children and Adolescents at Diagnosis or in Relapse,,False,False,False
🟥,NCT01180335,,2011,Randomized Trial Comparing Standard Neoadjuvant Chemotherapy to Genomic Driven Chemotherapy Regimen in Patients With Breast Cancer,REMAGUS04,False,False,False
🟥,NCT00162656,,2011,Treatment of Mature B-cell Lymphoma/Leukaemia A SFOP LMB 96/CCG 5961/UKCCSG NHL 9600 Cooperative Study,,False,False,True
🟥,NCT00936156,,2012,,,False,False,False
🟥,NCT00433706,,2012,Economic Evaluation of Image Guided Radiation Therapy For Prostate Cancer,,False,False,False
🟧,NCT00552149,,2012,"A Multicenter, Randomized Phase II Trial Assessing the Activity of Gemcitabine - Oxaliplatin Chemotherapy Alone or in Combination With Cetuximab in Patients With Advanced Biliary Cancer.",,False,True,True
🟥,NCT02220049,,2013,Phase I Dose Escalation of Velcade (Bortezomib) Daily Dose in Patients With Advances or Metastatic Solid Tumors,VELDAY,False,False,False
🟥,NCT02246244,,2013,"Randomized, Double Blind, Efficacy Study of Escitalopram Versus Placebo in ENT Cancer Patients Suffering From Emotional Distress",TADDOR,False,False,False
🟥,NCT02666690,,2013,Study of the Intra-patient Variability of the Quantitative Parameters of Tumor Perfusion Evaluated With Ultrasound Contrast,VARIA-DCE-US,False,False,False
🟥,NCT02515877,,2013,Modulation of the Expression of Papillomavirus (HPV) Oncoproteins to Major the Radiosensitivity: Phase I Trial Combining an Antiviral Agent VISTIDE and Radiochemotherapy in Cervical Cancers,HPV-RX,False,False,False
🟥,NCT02516995,,2014,Functional Magnetic Resonance Imaging for High Throughput Curietherapy Planning in Prostate Cancer,FIBROP,False,False,False
🟥,NCT00949039,,2014,,,False,False,False
🟥,NCT01486251,,2014,Assessment of the Tumor Vascular Effects of the Pan-vegfr Tyrosine Kinase Inhibitor Axitinib Using Dynamic Contrast-enhanced Ultrasonography (Dce-us) in Patients With Refractory Metastatic Colorectal Cancer,AXUS,False,False,False
🟥,NCT01459003,,2014,Evaluation of Beauty Care Before Chemotherapy in Women With Breast Cancer,BEAUTY,False,False,True
🟥,NCT01112254,,2015,Evaluation of the Diagnostic Performance of MRI±Biopsy to Optimize Resection of Ductal Carcinoma In Situ (DCIS) Breast Cancer,IRCIS,False,False,True
🟧,NCT01786031,,2015,Prostate Cancer Evaluation of TaRgets in Genito Urinary Screening Program,PETRUS,False,True,True
🟥,NCT01159288,,2015,Phase II Trial of a Vaccination With Tumor Antigen-loaded Dendritic Cell-derived Exosomes on Patients With Unresectable Non Small Cell Lung Cancer Responding to Induction Chemotherapy,CSET 1437,False,False,False
🟥,NCT00918320,,2015,Phase 2 Single- Arm Studies of Temozolomide in Combination With Topotecan in Refractory and Relapsed Neuroblastoma and Other Paediatric Solid Tumours,TOTEM2,False,False,False
