statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,rouge,NCT00851760,,2007,Idiopathic Epiretinal Macular Membrane and Cataract Extraction : Combined vs Consecutive Surgery,,False,False,False
🟥,rouge,NCT00658463,,2007,"Effects of Rosuvastatin on the, in Vivo, Kinetic of VLDL apoB, IDL apoB, LDL apoB and HDL apoA1, Using Stable Isotopes, in Type 2 Diabetic Patients",,False,False,True
🟥,rouge,NCT00629044,,2011,Etude du Polymorphysme génétique de la cholestérol 24S Hydroxylase et Des Teneurs en 24S hydroxycholestérol Chez Des Patients Atteints de Glaucome ou de dégénérescence Maculaire liée à l'âge.,,False,False,False
🟥,rouge,NCT01481987,,2011,Retinal Sensitivity and Optical Coherence Tomography Findings in Eyes With Idiopathic Epiretinal Membrane,,False,False,False
🟥,rouge,NCT01907620,,2011,,,False,False,False
🟥,rouge,NCT02873858,,2011,Elucidation of Sensory Characteristics and Food Preferences in the Elderly,AUPALESENS,False,False,False
🟥,rouge,NCT01599338,,2011,"Influence du Victoza (Liraglutide,Analogue GLP-1) Sur Les Performances Gustatives, le Rassasiement Sensoriel spécifique, le Liking et le Wanting Chez Les Patients diabétiques de Type 2.",,False,False,False
🟥,rouge,NCT03657979,,2012,Transversus Abdominis Plane (TAP) Block in Open Abdominal Aortic Surgery : Randomized Controlled Doubled-blind Trial Comparing Ropivacaine 0.2% Versus Placebo,TAP-CACAO,False,False,False
🟧,orange,NCT00354237,,2012,"Effect of Strict Glycemic Control on Improvement of Exercise Capacities (VO2 Peak, Peak Workload After Cardiac Rehabilitation, in Patients With Type 2 Diabetes Mellitus With Coronary Artery Disease.",,False,True,True
🟧,orange,NCT01040559,,2012,"Chemoembolisation of Non Resectable, Non Metastatic Hepatocellular Carcinomas Combining DC Bead Microspheres Loaded With Idarubicin (Zavedos®): Phase I Trial",,False,True,True
🟥,rouge,NCT01907477,,2012,,,False,False,False
🟥,rouge,NCT00953498,,2012,Influence of Glitazones on the Vasodilatory Effect of HDL Lipoproteins and on Phospholipase A2,,False,False,True
🟥,rouge,NCT03656900,,2013,"Monocentric Pilot Study, for a Randomized, Crossover, Blinded Trial: Comparison of the Therapeutic Efficacy of Low Frequency Repeated Transcranial Magnetic Stimulation on Cortical Area 9 Compared to Brodmann Area 46 in the Treatment of Depressive Disorders.",rTMS,False,False,False
🟥,rouge,NCT01963299,,2013,Prospective Randomised Double-blind Study to Compare Ropivacaine 10mg/mL Alone Versus Ropivacaine 10mg/mL Associated With Clonidine 1µg/kg for Peribulbar Anesthesia in Posterior Eye Surgery,CRAPO,False,False,False
🟥,rouge,NCT01907399,,2014,,IMMUNOBEDIA,False,False,False
🟥,rouge,NCT02028936,,2014,Study of the Impact of the Regular Consumption of Polyphenol-rich Grape Juice on the Biological Parameters of Oxidative Stress and on Endothelial Function in Healthy Subjects: a Prospective Randomised Double-blind Study,Fijus Raisol,False,False,False
🟥,rouge,NCT01510314,,2014,Comparison of C-reactive Protein and Procalcitonin to Detect Infectious Complications After Elective Colorectal Surgery,IMACORS,False,False,False
🟥,rouge,NCT02080728,,2014,Transversus Abdominis Plane Block During Kidney Transplant Surgery: Prospective Controlled Randomized Double-blind Trial Comparing Ropivacaine 0.2% With Placebo.,,False,False,False
🟥,rouge,NCT02859090,,2014,Single-centre Study of the Expression of Heat Shock Proteins in the Lymphocytes From the Tonsils of Patients With Various Diseases Requiring Tonsillectomy,HOTLYMPHO,False,False,False
🟥,rouge,NCT01768078,,2014,Interest of Intravitreal Corticotherapy as the First-line Treatment for Post-operative Endophthalmitis.,Endophtalmitis,False,False,False
🟥,rouge,,2013-000950-23,2015,Intérêt de la cryothérapie ou de l'aérosolisation par corticoïdes sur les troubles de la déglutition en post-opératoire précose après thyroïdectomie totale.,DEGLUTHYR,False,False,False
🟥,rouge,NCT02814240,,2015,"Hepatic Steatosis and Pituitary Gland Failure, Evaluation by NMR Imaging",SHAH,False,False,False
🟥,rouge,NCT01904812,,2015,,EQUAL,False,False,True
🟥,rouge,NCT01340222,,2015,"Evaluation of the Prognostic Value of Monocytes and Lymphocyte Phenotyping, Along With Intracellular MCP-1 Expression, to Predict Preterm Delivery for Women Hospitalized for Threat of Preterm Labor Between 24 and 34 Weeks of Amenorrhea: PhenoMAP Study",PHENOMAP,False,False,False
🟥,rouge,NCT01767038,,2015,Study of Anatomical and Functional Recovery Following Retinal Detachment: Identify Correlations Between Visual Acuity and SD-OCT and Microperimetry Findings.,DOREFA,False,False,False
🟥,rouge,NCT01766362,,2015,Incidence of Macular Edema After Panretinal Photocoagulation (PRPC) Performed in a Single Session Versus Four Sessions in Diabetic Patients.,Pascal,False,False,False
🟥,rouge,NCT02855866,,2015,Interest of Cryotherapy or Cortisone Aerosol Therapy in Early Post-operative Swallowing Disorders Following Total Thyroidectomy,DEGLUTHYR,False,False,False
🟥,rouge,NCT02810041,,2015,Randomized Controlled Double-blind Clinical Trial for the Effect of Yoghurts Enriched in XXS vs Without XXS on the Evolution of Weight in Overweight Subjects Aged 50 to 65 Years.,VITALIM Senior,False,False,False
🟩,vert,NCT01962116,,2016,"Citrate Versus Heparin for the Lock of Non-tunneled Hemodialysis Catheters in Patients Hospitalised in ICU = Multicentre, Controlled, Randomised Superiority Trial",VERROU-REA,True,True,True
🟥,rouge,NCT01900717,,2016,Evaluation of Bevacizumab in Combination With First-Line Chemotherapy in Patients Aged 75 Years of Older With Metastatic Colorectal Adenocarcinoma,Prodige20,False,False,True
🟥,rouge,NCT02167724,,2016,Multicentre Evaluation of Bucco-dental Health in Patients With Schizophrenia in Côte d'Or,BUCCODOR,False,False,False
🟧,orange,NCT01910038,,2016,Evaluation of Tocilizumab as an add-on Therapy to Corticoids in Giant Cell Arteritis: Proof of Concept Study.,HORTOCI,False,True,True
🟧,orange,NCT02806882,,2016,Open and Exploratory Trial to Investigate the Pharmacokinetic of Ceftaroline in Patients With CSF Device,Ceftaroline,False,True,True
🟥,rouge,NCT01618981,,2016,LEft Atrial Pacing in Diastolic Heart Failure,LEAD,False,False,False
🟥,rouge,NCT02443818,,2016,Non-randomised Open Label Pilot Study of Sirolimus Therapy for Segmental Overgrowth Due to PIK3CA- Related Overgrowth,PROMISE,False,False,False
🟥,rouge,NCT01904929,,2016,Evaluation of the Psychometric Properties of the 400m-walk-test at a Self-selected Speed (400m WT) for Stable Coronary Patients,TML 400 m,False,False,False
