NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT01069146,,2005.0,False,False,False
NCT00349661,,2006.0,True,False,False
NCT00295672,,2007.0,False,False,False
NCT01216488,,2011.0,False,False,False
NCT00740844,,2011.0,False,False,False
NCT01078714,,2011.0,True,False,False
NCT00740935,,2011.0,True,False,False
NCT01545011,,2012.0,False,False,False
NCT00740948,,2013.0,True,False,True
NCT00560664,,2013.0,False,False,False
NCT01759199,,2013.0,False,False,False
NCT02109263,,2013.0,False,False,False
NCT01028092,,2014.0,False,False,False
NCT00964275,,2014.0,True,False,True
NCT01855256,,2014.0,False,False,False
NCT02027181,,2014.0,True,False,True
NCT01713842,,2014.0,True,False,True
NCT01964248,,2015.0,True,False,False
NCT01694732,,2015.0,True,False,False
NCT02302313,,2015.0,False,False,False
NCT00740987,,2015.0,False,False,False
,2015-000915-42,2016.0,False,False,False
NCT01267981,,2016.0,True,False,False
NCT02546401,,2016.0,False,False,False
NCT00740883,,2016.0,True,True,True
NCT02891928,,2016.0,False,False,False
NCT02074813,,2016.0,True,False,True
NCT02137694,,2016.0,False,False,False
NCT02414711,,2016.0,False,False,False
NCT02736006,,2017.0,False,False,False
NCT01685580,,2017.0,False,False,False
NCT00740493,,2017.0,True,False,True
NCT02302183,,2017.0,True,False,False
NCT03116373,,2017.0,True,False,False
NCT03218176,,2017.0,False,False,False
NCT03081403,,2017.0,False,False,False
NCT02563210,,2017.0,True,False,True
NCT02035293,,2017.0,False,False,False
NCT02403596,2015-000107-94,2017.0,True,False,False
NCT03128125,,2018.0,False,False,False
NCT02652520,,2018.0,False,False,False
NCT03209947,,2018.0,False,False,False
,2015-005538-23,2018.0,False,False,False
NCT02672384,,2018.0,False,False,False
NCT03279003,,2018.0,False,False,False
NCT03117699,,2018.0,False,False,False
NCT02546830,,2018.0,True,True,True
NCT03069560,,2019.0,False,False,False
NCT04096183,,2019.0,True,False,True
NCT03610386,,2019.0,False,False,False
NCT03701971,,2019.0,True,True,True
NCT03260738,,2019.0,False,False,False
NCT02656667,,2019.0,False,False,False
NCT03579849,,2019.0,False,False,False
NCT03555812,,2019.0,False,False,False
NCT03154736,,2019.0,False,False,False
NCT03440294,,2019.0,False,False,False
NCT02379806,2014-000311-13,2020.0,False,False,False
NCT02112136,,2020.0,True,False,True
NCT04090632,,2020.0,False,False,False
NCT02908217,,2020.0,True,False,True
NCT03914105,,2020.0,False,False,False
NCT02486965,,2021.0,False,True,True
NCT04362800,,2021.0,False,False,False
NCT04017871,,2021.0,False,True,True
NCT04736511,,2021.0,False,False,False
NCT04206826,,2021.0,False,False,False
NCT02008552,,2021.0,False,False,False
NCT03675061,,2021.0,False,False,False
NCT04341753,,2021.0,False,False,False
NCT03930966,,2021.0,False,False,False
NCT03477344,,2021.0,False,True,True
NCT03160365,,2021.0,False,False,False
NCT03886064,,2022.0,True,True,True
NCT04180436,,2022.0,False,False,False
NCT03801304,,2022.0,True,True,True
NCT04727879,,2022.0,False,False,False
NCT01848639,,2022.0,True,True,True
NCT04506125,,2022.0,True,True,True
NCT02410304,,2022.0,False,False,False
NCT04181710,,2023.0,False,False,False
NCT03285438,,2023.0,False,False,False
NCT04027101,,2023.0,False,False,False
,2018-000426-66,2023.0,False,False,False
NCT00744900,,,False,False,False
,2018-000411-24,,True,False,False
