NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT02016222,,2016.0,False,False,False
NCT02765529,,2016.0,False,False,False
NCT02276924,,2016.0,False,False,False
NCT02005679,,2017.0,False,False,False
NCT02043964,,2018.0,False,False,False
NCT03393299,,2018.0,False,False,False
NCT02297165,,2018.0,False,False,False
NCT03666793,,2019.0,False,False,False
NCT02733900,,2020.0,False,False,False
NCT03727217,,2020.0,False,False,False
NCT04224077,,2020.0,False,False,False
NCT03162341,,2021.0,False,False,False
NCT02819037,,2022.0,False,False,False
NCT03128905,,2022.0,False,False,False
NCT04169477,,2022.0,False,False,False
NCT04699136,,2022.0,False,False,False
