NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT00904410,,2008.0,False,False,False
NCT00417495,,2008.0,False,False,False
NCT00921232,,2008.0,False,False,False
NCT00922961,,2009.0,False,False,False
NCT00420563,,2009.0,False,False,False
NCT00911911,,2009.0,False,False,False
NCT00910676,,2009.0,False,False,False
NCT00911092,,2011.0,False,False,False
NCT00905047,,2011.0,False,False,False
,2008-003620-32,2012.0,True,False,False
NCT01046487,,2012.0,False,False,False
NCT01374620,,2013.0,True,False,False
NCT01606033,,2014.0,False,False,False
NCT01165333,,2015.0,False,False,False
NCT00960739,,2016.0,False,False,False
NCT01647867,,2016.0,False,False,False
NCT02540174,,2017.0,False,False,False
NCT02437656,2014-003687-20,2017.0,False,False,False
NCT01658462,2012-002214-38,2017.0,False,False,False
NCT01247779,,2017.0,True,False,True
NCT01612650,,2017.0,False,False,False
NCT01596816,,2018.0,True,True,True
NCT01165346,,2018.0,False,False,False
NCT01303094,,2018.0,True,True,True
,2006-004862-15,2019.0,True,False,False
NCT01303497,,2019.0,True,True,True
NCT01355445,2010-023135-42,2019.0,True,False,True
NCT01645839,2010-023134-23,2019.0,True,True,True
NCT03315351,,2019.0,False,False,False
NCT03023007,,2019.0,False,False,False
NCT02197637,2013-001625-12,2020.0,False,False,False
NCT01900743,2012-005743-24,2020.0,True,True,True
NCT02553954,,2020.0,False,False,False
NCT02553967,,2021.0,False,False,False
NCT02853474,,2022.0,True,True,True
NCT04251949,,2022.0,False,False,False
NCT02115074,,2022.0,False,False,False
NCT04974125,,2023.0,False,False,False
NCT00809016,,,False,False,False
NCT00738868,,,False,False,False
NCT00541073,,,False,False,False
