statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
🟥,rouge,NCT00324584,,2004,Surveillance Des données De l'Autosurveillance glycémique Via Internet Et Le réseau téléphonique GSM Chez Le diabétique De Type 1 Sous Traitement Insulinique Par Pompe Externe : Etude Prospective randomisée PumpNet.,,False,False,False,DEVICE
🟥,rouge,NCT00447018,,2005,Equimolar Doses of Mannitol and Hypertonic Saline in the Treatment of Elevated Intracranial Pressure,,False,False,True,DRUG
🟥,rouge,NCT00348764,,2006,Treatment of Greater Saphenous Vein (GSV) Insufficiency Using Echo-Guided Sclerotherapy With Lauromacrogol 400 Foam -Comparative Study of 3% Versus 1% Concentration.,,False,False,False,DRUG
🟥,rouge,NCT00324792,,2007,Effect of an Intensive Insulin Therapy on the Production of LTE4 in Patients With Diabetes,,False,False,True,DRUG
🟥,rouge,NCT00321256,,2007,Transplantation d'Ilots Pancreatiques Allogeniques Adultes Pour le Traitement du Diabete Insulino-dependant: Etude GRAGIL 2.,,False,False,True,PROCEDURE
🟥,rouge,NCT00230984,,2008,Effects of Home Pulmonary Rehabilitation in Patients With Chronic Respiratory Failure and Nutritional Depletion.,,False,False,True,BEHAVIORAL
🟥,rouge,NCT00970385,,2008,Multicentric Study About Treatment of High Grade Peripheral T Cell Lymphoma in Adults. LTP Study Comparison Between VIP ABVD Versus CHOP,LTP,False,False,False,RADIATION
🟥,rouge,NCT00700544,,2008,Adjonction of Androgenotheapy for Post-Remission Treatment of Elderly Patients With Acute Myeloid Leukemia - Results of the Multicenter Goelams SA-2002 Trial.,,False,False,True,DRUG
🟥,rouge,NCT00639561,,2008,Effect of Controlled Diets on Structural and Functional Dynamic of the Human Intestinal Microflora,AlimIntest,False,False,False,DIETARY_SUPPLEMENT
🟥,rouge,NCT00417235,,2008,Dressing: Comparison of 3-day and 7-day Catheter Dressing Frequency and Efficacy of Antiseptic Impregnated Dressing in Preventing Catheter-related Infection in ICU,DRESSING,False,False,True,BEHAVIORAL
🟥,rouge,NCT00273767,,2009,Double-blind Phase II Pilot Monocentric Randomized Clinical Trial Evaluating the Effect of a Preliminary Administration of Erythropoietin on Different Markers of Cardiac Ischemia Induced by Cardiopulmonary Bypass,EPOetCEC,False,False,False,DRUG
🟥,rouge,NCT00864955,,2009,Damage to DNA Caused by UV-A Irradiation: Photochemical Mechanism and Cutaneous Parameters Involved in the Formation of Cyclobutane Pyrimidine Dimers,DIMUVA,False,False,False,RADIATION
🟥,rouge,NCT01015651,,2009,Assessment of the Nociception During Lumbar Surgery,CARDEAN-2,False,False,False,DRUG
🟥,rouge,NCT00409487,,2009,Comparative Study of Effect of Valsartan 160mg Treatment Versus Continuous Positive Airway Pressure on Arterial Blood Pressure in Patients Who Have an Obstructive Sleep Apnea Syndrome and a Weak or Moderate Hypertension.,VALSAS,False,False,True,DEVICE
🟥,rouge,NCT00758082,,2010,Reinforcement of the Impact of a Functional Insulin Therapy Training Course by Telemonotoring With a PDA-phone in Type 1 Diabetic Patients. The TELFIT Study,TELFIT,False,False,False,DEVICE
🟥,rouge,NCT00827749,,2010,Contribution of Respiratory Plethysmography by Inductance and of Informatic Tool for the Study of Swallowing Disorders in Geriatrics (PRIOD),PRIOD,False,False,False,DEVICE
🟥,rouge,NCT00914329,,2010,"Randomized Controlled Study Versus Placebo Evaluating Effectiveness of Gelsemium Sempervirens (5CH et 15CH) on Provoked Anticipatory Anxiety, in Healthy Volunteers",ANXIHOMEV,False,False,False,DRUG
🟥,rouge,NCT00862381,,2010,Opothérapie Par Hydrocortisone après Injection Unique d'Etomidate Chez le Patient de réanimation,,False,False,True,DRUG
🟥,rouge,NCT00710099,,2011,Effect of Oral Sildenafil With Digital Therapeutic Iontophoresis of Sodium Nitroprussiate on Cutaneous Blood Flow in Healthy Volunteers,INFLUX-VS,False,False,False,DRUG
🟧,orange,NCT00828035,,2011,Light Endoscopic Robot Use in Abdominal and Urological Laparoscopic Surgery,,False,True,True,PROCEDURE
🟧,orange,NCT01189682,,2011,Impact of Tegaderm HP and Tegaderm CHG in Major Catheter Related Infections and Dressing Detachment in ICU Patients a Prospective Randomized Study,DRESSING2,False,True,True,PROCEDURE
🟥,rouge,NCT01398696,,2011,Impact of Four Patient Information Leaflets (PIL) on Patient Behaviour : a Randomised Controlled Trial in Primary Care.,PIL,False,False,True,PROCEDURE
🟧,orange,NCT01082484,,2011,Cutaneous Iontophoresis of Iloprost and Treprostinil in Healthy Volunteers,INFLUX-IT-VS,False,True,True,DRUG
🟥,rouge,NCT01210755,,2011,"Reversion of the Anticoagulant Effect of the New Antithrombotic Agents Anti-Xa and Anti IIa by Specific and Non-specific Haemostatic Drugs,: an Ex-Vivo Study in Healthy Volunteers",REVNEWANTICO,False,False,False,DRUG
🟥,rouge,NCT01614119,,2011,Evaluation of the Cerebral Responses to Exercise in Hypoxia,CERVOX,False,False,False,OTHER
🟥,rouge,NCT00860106,,2011,Study of Predictive Echo Doppler Score and D-dimer Level in Evaluation of the Thromboembolic Event Recurrence After Anticoagulant Treatment Cessation.,VAPRED,False,False,False,OTHER
🟥,rouge,NCT01295749,,2012,Reduction of no Flow Time During Out of Hospital Cardiac Arrest by Using Laryngeal Tube for Airway Management by Nurses.,FLOWERS,False,False,False,DEVICE
🟥,rouge,NCT00885573,,2012,Measurement of Pharyngeal Sensitivity With the SENSITEST Device: Validation of the Diagnosis Algorithm for Sleep Disordered Breathing,SENSITEST,False,False,False,DEVICE
🟥,rouge,NCT01743794,,2012,"Efficacy of Continuous Wound Infusion in Major Lumbar and Thoracic Spine Surgery : A Randomised, Double-blinded, Placebo-controlled Study",,False,False,True,DRUG
🟥,rouge,NCT01411605,,2012,Influence of Cardio-ventilatory Factors on Exercise Intolerance in Obese Adolescents: Effects of Exercise Training,VENTILOBE,False,False,False,BEHAVIORAL
🟧,orange,NCT00886184,,2012,Intra-arrest Therapeutic Hypothermia in Prehospital Cardiac Arrest. Impact on Biomarker of Brain Damage.,HITUPPAC-BIO,False,True,True,PROCEDURE
🟥,rouge,NCT01235637,,2012,Efficacy of Alfentanyl Versus Sufentanyl in Children for Pain During Treatment by Tracheal Suction in an Intensive Care Unit.,DOLOREAPEDIA,False,False,False,DRUG
🟥,rouge,NCT00777985,,2012,Cardiovascular Consequences of Obstructive Sleep Apnea (OSA): Role of Endothelin and Preventive Effects of Bosentan,BOSAS,False,False,False,DEVICE
🟥,rouge,NCT00837018,,2012,Exercise Intolerance in Obstructive Sleep Apnea Syndrome Patients: Cardiovascular and Metabolic Characterisation During Exercise. Treatments Effect.,EXAOS,False,False,False,OTHER
🟥,rouge,NCT01058200,,2012,"Assess the Risk-benefit Balance of the New Vacuum Assisted-delivery Device ""iCUP"" Versus the Reference Vacuum. Multicenter Prospective Randomized Controlled Study",ICUP,False,False,True,DEVICE
🟥,rouge,NCT01290198,,2012,Role of Epoxy-eicosatrienoic Acids in Post-occlusive Hyperemia and Thermal Hyperemia,EETY,False,False,False,DRUG
🟧,orange,NCT01821469,,2013,Functional Correlates of Bipolar Disorders and Effects of the Psychoeducation. Assessment by Functional and Anatomic Neuroimaging.,BIP-ED,False,True,True,BEHAVIORAL
🟥,rouge,NCT01773564,,2013,Comparison Between Two Types of Semipermeable Dressings of New Generation in the Prevention of Intravascular Catheters Related Complications in Intensive Care.,ADVANCED,False,False,False,DEVICE
🟧,orange,NCT00464659,,2013,"Comparison of the Evolution of Memory Deficit in Patients With Sleep Apnea Obstructive Syndrome (SAOS) Before and After ""Effective"" Versus Sham Treatment by Positive Pression Continues (PPC)",,False,True,True,DEVICE
🟥,rouge,NCT01095042,,2013,Etude de la réactivité émotionnelle Des Patients MICI ou SII,EMOTION,False,False,False,BEHAVIORAL
🟥,rouge,NCT01423409,,2013,Assessment of an Innovative Visual Analogue Scale of Pain (Pictorial VAS) Versus the Usual VAS (VAS) Among Deaf People,EVA_SOURD,False,False,False,DEVICE
🟥,rouge,NCT01857089,,2013,Characterization of Sitting Postures in Healthy Subjects,CaPAS,False,False,False,DEVICE
🟥,rouge,NCT00935051,,2013,Assessment of the MMP-1/TIMP-1 Ratio as a Predictor of Wound Healing in Diabetic Foot Ulcers,DIAB-MMP2,False,False,False,OTHER
🟥,rouge,NCT00908557,,2014,Multicenter RCT to Assess the Impact of Improvements in Lexico-syntactic Readability and Good Practice in Writing on the Comprehension of Written Information Given to Patients Participating in Clinical Trials.,LISYCOM,False,False,False,OTHER
🟥,rouge,NCT02231528,,2014,Interest of Ultrasound Coupled to a Guidance System (GPS) for Central Venous Catheters (CVC) Insertion.,VVC and GPS,False,False,False,DEVICE
🟥,rouge,NCT01672268,,2014,Interest of Cardiac Computed Tomography (CT) to Optimize and Improve the Procedure of Transcatheter Aortic Valve Implantation (TAVI),CT-TAVI,False,False,False,OTHER
🟥,rouge,NCT01537965,,2014,,FIBRECHO,False,False,False,DEVICE
🟥,rouge,NCT00746902,,2014,"Study of the Relationships Between Refractory Hypertension, Overweight/Obesity and Sleep Apnea Syndrome",RHOOSAS,False,False,True,DEVICE
🟥,rouge,NCT00639028,,2014,"Comparative Study of Two Radiological Modalities, Ultrasonography Versus Stress Radiography, in the Urgent Care and Prognosis of Lateral Ankle Sprains.",TALOS,False,False,False,OTHER
🟥,rouge,NCT01734603,,2014,"Randomized, Monocentric and Multidisciplinary Study of the Effects of an Intensive Rehabilitation by Interval Training With Active Recovery in Peripheral Arterial Disease With Claudication",ARTEX,False,False,True,PROCEDURE
🟥,rouge,NCT01798732,,2014,Effect of Selective Laser Trabeculoplasty on the Intraocular Pressure Nycthemeral Rhythm.,PIO laser SPNP,False,False,False,PROCEDURE
🟥,rouge,NCT02854306,,2014,Psycho-sensorial Mindfulness and Top-down Control : Mindfulness Program for Obese Patients in Preparation to Bariatric Surgery,PConscience,False,False,False,PROCEDURE
🟥,rouge,NCT01038284,,2014,Evaluation of Multidisciplinary Collaboration Care Program in Pulmonary Arterial Hypertension,ETHAP,False,False,True,BEHAVIORAL
🟥,rouge,NCT02880150,,2014,Physiological Characteristics of High Altitude Climbers,ALTIPERF,False,False,False,OTHER
🟥,rouge,NCT02128750,,2014,Echographie de Contraste Pour l'Analyse de la Perfusion Musculaire Dans l'ischémie Critique,Echomuscle,False,False,False,OTHER
🟥,rouge,NCT02843958,,2014,"Validation of a Portable Medical Device for Diagnostic in Vitro, Designed to Measure Blood Coagulation's Biological Parameters",HEMOPTIC,False,False,False,DEVICE
🟥,rouge,NCT01308801,,2015,Benefice Assessment of Repetitive Transcranial Magnetic Stimulation Used as an Additional Procedure to Rehabilitation Exercises in Patients Suffering From Fibromyalgia,STIMALGI,False,False,True,DEVICE
🟩,vert,NCT01743612,,2015,Laser SPEckle Contrast Imaging Interest in dEtection of Cutaneous Microvascular Dysfunction in Systemic Sclerosis.,SPECIES,True,True,True,PROCEDURE
🟥,rouge,NCT01799304,,2015,Is it Possible to Improve Static and Dynamic Postural Stability in Cerebral Palsy Children by Modulating Attention?,Dual-Task,False,False,False,PROCEDURE
🟥,rouge,NCT02050360,2013-000014-38,2015,"Efficacy and Safety of ""as Required"" Sildenafil for Patients With Moderate to Severe Raynaud's Phenomenon (RP)",PROFIL,False,False,True,DRUG
🟥,rouge,NCT01848964,,2015,Peut-on améliorer la Marche de l'amputé fémoral en Guidant la Correction prothétique Par l'Analyse Des Pressions Dans l'emboîture ?,,False,False,False,DEVICE
🟩,vert,NCT01785589,,2015,Stress Thallium-201/Rest Technetium-99m Sequential Dual Isotope High-Speed Myocardial Perfusion Imaging Validation Versus Invasive Coronary Angiography,CameraCZT,True,True,True,PROCEDURE
🟥,rouge,NCT02236442,,2015,Therapeutic Management of Acute Cephalalgia Before and After Use of a Therapeutic Protocol in Emergency Department,PEACE,False,False,False,OTHER
🟧,orange,NCT02380482,,2015,Myocardial Dysfunction at Early Phase of Traumatic Brain Injury : Evaluation by Two Dimensional and Speckle Tracking Transthoracic Echocardiography,Echo-TC,False,True,True,OTHER
🟩,vert,NCT01773876,,2015,"Micafungin Versus Placebo in the Nosocomial Sepsis in Patients Multi-colonized With Candida, Randomized Controlled Trial",EMPIRICUS,True,True,True,DRUG
🟥,rouge,NCT02843893,,2015,"Evaluation of Pupillary Distension Reflexes, as a Tool for the Monitoring of Analgesia for Patients in Intensive Care.",PUPILLO REA,False,False,False,DEVICE
🟥,rouge,NCT02316665,,2015,Effect of Continuous Positive Airway Pressure Treatment on Nocturnal Glycemia of Patients Having Type 1 Diabetes and Sleep Apnea Syndrome: a Randomized Controlled Trial,DIADEME,False,False,False,DEVICE
🟥,rouge,NCT01741337,,2015,"Central Sleep Apneas Syndrome and Ventricular Function in Patients With Heart Failure, After Coronary Artery Bypass Graft Surgery or Other Coronary Reperfusion",,False,False,True,PROCEDURE
🟥,rouge,NCT02849561,,2015,Evaluation of Prognosis Factors of Neurological Evolution in Cardiac Arrest : Prospective Study of Routine Care,ACR,False,False,False,DEVICE
🟥,rouge,NCT02360241,,2015,LPRobacus: Light Needle Positioning Robot Under MRI Guidance,LPRobacus,False,False,False,DEVICE
🟥,rouge,NCT02843971,,2015,Evaluation of the Water Drinking Test Response in Supine and Sitting Position Using the Continuous Intraocular Pressure Measurement Device Sensimed Triggerfish in Healthy Subjects,PIO-WDT,False,False,False,DEVICE
🟩,vert,NCT01814267,,2015,,AIRPEDIA,True,True,True,OTHER
🟥,rouge,NCT02632214,,2016,Plasticity and Cross-modal Interactions for Oral Communication in Profoundly Deaf Adults,PLASMODY,False,False,False,OTHER
🟩,vert,NCT01896219,,2016,Multicentric Evaluation of IMACTIS-CT Navigation System,,True,True,True,DEVICE
🟥,rouge,NCT02842255,,2016,Calibration of a New Reflectance Oximeter.,PATCHSANTESpO2,False,False,False,DEVICE
🟥,rouge,NCT02840305,,2016,Brain Bases of Visual Perceptionnatural Scenes of Natural Scenes.,SCENES,False,False,False,OTHER
🟥,rouge,NCT02843438,,2016,Evaluation of Biological Biomarkers Diagnostic of Toxoplasmosis Uveitis,BIOLUVE,False,False,False,BIOLOGICAL
🟥,rouge,NCT01900379,,2016,Impact of the Obstructive Sleep Apnea Syndrome Treatment and Ventricular Function in Heart Failure Patients Undergoing Coronary Artery Bypass Surgery or Other Coronary Reperfusion,PAC-IC-SAOS,False,False,False,PROCEDURE
🟥,rouge,NCT01816334,,2016,Safety and Efficacy of Nonsteroidal Antiinflammatory Drug and Glucocorticoids in Acute Sciatica,TéAGS,False,False,False,DRUG
🟥,rouge,NCT02095366,2013-001665-16,2016,"Intra Nasal Sufentanil Versus Intravenous Morphine for Acute Severe Traumatic Pain Analgesia in Emergency Setting. A Multicenter,Randomized,Controled, Comparative, Double Blinded Study",ALGOFINE-2,False,False,True,DRUG
🟥,rouge,NCT02538458,,2016,"Effects of Reduction of the Length of Treatment by Nebulized 3% Hypertonic Saline From 72 to 24 Hours on Clinical Remission, in Children Younger Than 12 Month Hospitalized for Acute Bronchiolitis. BRONDUSAL",BRONDUSAL,False,False,True,DRUG
🟥,rouge,NCT02212249,,2016,Soluble VE-cadherin and VE-cadherin Antibody in Sclerodermic Sclerosis,Sclerocadh1,False,False,False,BIOLOGICAL
🟥,rouge,NCT02596789,,2016,Study of Cortical Excitability in Healthy Subjects With Transcranial Magnetic Stimulation (TMS) and a Neuronavigation Device,RC-TMS,False,False,False,DEVICE
🟥,rouge,NCT02789696,,2016,"Prevalence of Acromegaly in a Diagnostic Consultation for Sleep Apnea Syndrome: A Prospective, National and Multicentric Study",ACROSAS,False,False,False,OTHER
🟥,rouge,NCT02405767,,2016,Characterisation by Electric Impedance Measurements of the Different Wound Healing Phases of Diabetic Foot Ulcers,BIPPED,False,False,False,OTHER
🟥,rouge,NCT02045173,,2016,Screening for Sleep-disordered Breathing in Routine Cardiology Practice: Validation of the Apnea + Hypopnea Detection by an Implantable Cardioverter Defibrillator (ICD) or Cardiac Resynchronization Therapy-defibrillator (CRT-D) With Impedance-based Respiration Sensor (ApneaScanTM),AIRLESS,False,False,False,DEVICE
🟧,orange,NCT01770015,,2016,Study of the Impact of Bronchial Colonization With Fungi in the Occurrence of Late Ventilator Acquired Pneumonia,CBF et PAVMt,False,True,True,PROCEDURE
🟥,rouge,NCT02135458,,2017,"Clinical and Medico-economic Assessment of Conventional Care Plus the ""Autonom@Dom"" Telemonitoring System Versus a Conventional Care Package Alone, for People With Heart Failure in Several French Structures.",AUTONOM@DOM,False,False,False,OTHER
🟥,rouge,,2015-004485-28,2017,Effets d’un soluté hypertonique et du Ringer Lactate sur la fonction ventriculaire droite après chirurgie cardiaque,SUCCESS,False,False,True,
🟧,orange,NCT00875654,,2017,Cell Therapy by Intravenous Injection of Mesenchymal Stem Cells After Stroke,ISIS,False,True,True,GENETIC
🟥,rouge,,2014-003156-31,2017,"Etude de la tolérance du fentanyl intranasal (Pecfent®) dans le traitement des douleurs procédurales chez la personne âgée, avec ou sans traitement de fond.",FenTA,False,False,True,
🟥,rouge,NCT02925130,,2017,Beta2-mimetic and Central Nervous System: Effects of Salbutamol on Cortical Excitability and Cerebral Activation,BETACTIV,False,False,False,DRUG
🟥,rouge,NCT02869698,,2017,Spectral Dynamic Imaging of Cognitive Functions in Epileptic Patients Explored,ISDETSEEG,False,False,False,PROCEDURE
🟥,rouge,NCT03102983,,2017,Sensory-motor Interactions in the Perception of Vowels: a Study in Repetition - Suppression,NEUROPHONE,False,False,False,OTHER
🟥,rouge,NCT02114749,,2017,"Development of Tools for Respiration and Circulation Studies and Exploration, Their Mutual Interactions and the Functions Involved in the Daily Life in Healthy Volunteers",MAPO-RCVQ,False,False,False,DEVICE
🟥,rouge,NCT02537366,,2017,Dexmedetomidine for Non-invasive Ventilation After Chest Trauma (VENDETTA),VENDETTA,False,False,False,DRUG
🟥,rouge,NCT02682290,,2017,Assessment of a Device Used for Measuring the Rheological Parameters of Human Sputum.,RHEOMUCO,False,False,False,OTHER
🟥,rouge,NCT02830022,,2017,"Sleep, Autonomic Nervous System and Cardiorespiratory Capacity in Autism Spectrum Disorders Children",APAUTRES,False,False,False,OTHER
🟥,rouge,NCT03171571,,2017,Personal Lifestyle Assistant for Better Health Through Nutrition : Cook to Health Study,C2H,False,False,False,OTHER
🟥,rouge,NCT02351128,2014-001273-13,2017,Traitement Des Carcinomes à Cellules de Merkel inopérables et/ou métastatiques Par Analogue de la Somatostatine - Etude Nationale Multicentrique Mono-bras de Phase II.,PHRC-Merkel,False,False,True,DRUG
🟥,rouge,NCT02657213,,2017,Study of Minimed 640G Insulin Pump With SmartGuard in Prevention of Low Glucose Events in Adults With Type 1 Diabetes at Risk of Severe Hypoglycemia,ALPPHY,False,False,False,DEVICE
🟥,rouge,NCT02782520,,2017,Comparison of the Effects of an Hypertonic Solution With Ringer Lactate on Right Ventricular Function Following Cardiac Surgery,SUCCESS,False,False,False,DRUG
🟥,rouge,NCT01557712,,2017,Estimate the Efficiency of the Association of an Injection of Ketamine and the Venlafaxine in the Severe Major Depressive Disorder for Six Weeks.,KETADEP,False,False,False,DRUG
🟥,rouge,NCT02980302,,2017,"Development of the Tool "" iPSC "" (Induced Pluripotent Stem Cells) for the Functional Study of Mutations Responsible for Mental Retardation - Application to Familial Study of MYT1L Gene Mutations",Rementips,False,False,False,PROCEDURE
🟥,rouge,NCT02844036,,2017,Angioplasty of Distal Lesions for Carriers of Inoperable Post-embolic HTP,OCT²EPH,False,False,False,PROCEDURE
🟥,rouge,NCT01863108,,2017,Dose-escalation Study to Assess the Safety and Tolerability of Sub-cutaneous Injections of a Peptide-loaded Plasmacytoid Dendritic Cell Line (GeniusVac-Mel4) in Patients With Melanoma,GeniusVac-Mel4,False,False,False,BIOLOGICAL
🟩,vert,NCT01148680,,2018,Randomized Controlled Trial Comparing the Metabolic Efficiency of Allogeneic Pancreatic Islet Transplantation to Intensive Insulin Therapy for the Treatment of Type 1 Diabetes,TRIMECO,True,True,True,BIOLOGICAL
🟩,vert,NCT02854280,,2018,Brain During Effort : Effects of Hypoxia With Respiratory Patients,NEUROX,True,True,True,BIOLOGICAL
🟥,rouge,NCT03712592,,2018,Physiological Constraints Associated With Trail Running,UT4M2018,False,False,False,OTHER
🟩,vert,NCT03087318,,2018,Sport as a Treatment in Chronic Diseases and Healthcare Sustainability: Sport 4 Health,S4H,True,True,True,BEHAVIORAL
🟥,rouge,NCT02329418,,2018,Impact of a Written Document on Post Traumatic Stress Disorder (PTSD) Diagnosed in Family Members After Withholding and Withdrawing Life-sustaining Therapies in the Intensive Care Unit,LATA,False,False,True,OTHER
🟥,rouge,NCT02298582,,2018,Safety of Intranasal Fentanyl (PecFent®) in the Treatment of Procedural Pain in the Elderly With or Without Background Treatment.,FENTA,False,False,False,DRUG
🟥,rouge,NCT03654430,,2018,Longitudinal Study by 2D-speckle-tracking Echocardiography of the Ventricular Wall Motion During Postnatal Adaptation,BABYSTRAIN,False,False,False,OTHER
🟧,orange,NCT02345694,,2018,Non-automatic Control of Gait and Posture in Obstructive Sleep Apnea Syndrome : a Randomised Controlled Trial of Continuous Positive Airway Pressure Effectiveness (CIH - Gait),CIH-Gait,False,True,True,DEVICE
