NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT03554863,,2019.0,False,False,False
NCT03098524,,2019.0,True,True,True
NCT03734159,2018-002842-35,2019.0,True,True,True
NCT03504462,,2019.0,False,False,False
NCT03566121,,2020.0,False,False,False
NCT03834129,,2020.0,True,True,True
NCT03926910,,2020.0,False,False,False
NCT04213781,,2020.0,False,False,False
NCT03956264,,2020.0,True,True,True
NCT04494100,,2021.0,False,False,False
NCT04433390,2020-000087-26,2022.0,True,False,True
NCT04593953,,2022.0,False,False,False
NCT04046744,,2022.0,False,False,False
NCT05306262,,2022.0,False,False,False
NCT04890860,,2022.0,False,False,False
NCT05068219,,2023.0,False,False,False
NCT04206371,,2023.0,False,False,False
NCT04607122,2019-004829-25,2023.0,False,False,False
NCT03773822,,2023.0,False,True,True
NCT05072704,2021-003703-18,2023.0,True,True,True
