statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
🟥,rouge,NCT00295113,,2003,Interest of a 30 Minutes' Intermittent Work Exercise Test in Patients With Chronic Obstructive Pulmonary Disease: Cardiac and Pulmonary Functions,,False,False,False,PROCEDURE
🟥,rouge,NCT00213915,,2004,Effects of Oral Chronic L-Arginine Supplementation on Exercise and Renal Function of Heart Transplant Recipients,,False,False,False,DRUG
🟥,rouge,NCT02091791,,2006,High Versus Low Level of Lumbar Traction in Acute Lumbar Sciatica Due to Disc Herniation,,False,False,False,PROCEDURE
🟥,rouge,NCT00213759,,2006,Prevention Trial of Nosocomial Infections in Neutropenic Prematures With G-CSF,,False,False,True,DRUG
🟥,rouge,NCT00213850,,2006,Reference Values for Respiratory Resistance Measured by the Interrupter Technique in Adults,,False,False,False,PROCEDURE
🟥,rouge,NCT00357487,,2007,Sentinel Lymph Node Identification in Case of Breast Cancer. Clinical Evaluation of a New Intra-operative Probe and a Mini Gamma Camera,,False,False,True,DEVICE
🟥,rouge,NCT00696033,,2008,Exploring the Effects of Diazepam and Lorazepam on the Neural Correlates of Perceptual Priming and Explicit Memory in Healthy Volunteers,ibid,False,False,False,DRUG
🟥,rouge,NCT00213837,,2008,Reconstruction Implant Bone (Anterior Mandibular Arch) After Removing Using Porous Titanium Prosthesis in ENT Surgery,,False,False,False,DEVICE
🟥,rouge,NCT00620490,,2009,Postoperative Analgesia After Thoracotomy Without Thoracic Epidural Analgesia : Paravertebral Analgesia With a Catheter Associated With Intravenous Morphine Patient-controlled-analgesia (Pca),,False,False,False,DRUG
🟥,rouge,NCT01013727,,2010,Functional Neuroimaging of Postural Reconstruction: Preliminary Study on a Dorsiflexion Motion of the Ankle and Comparison Between an Arm Following Postural Reconstruction Program and a Comparator Arm Following a Muscular Stretching Program,,False,False,False,RADIATION
🟥,rouge,NCT00372268,,2011,Evaluation of the Effects of Conditioning of Insufflated Gas on the Core Temperature and the Post-operative Pain During Laparoscopic Surgery,,False,False,False,DEVICE
🟥,rouge,NCT00382707,,2011,Transcranial Magnetic Stimulation and Anti-epileptic Effect: Optimization and Evaluation With Electrophysiology.,,False,False,False,DEVICE
🟥,rouge,NCT00434265,,2011,"OBESITY, PHYSICAL INACTIVITY OR DIETARY FAT ? Role of Physical Activity in the Trafficking of Dietary Fatty Acids Varying in Length and Saturation Degree.",,False,False,False,BEHAVIORAL
🟥,rouge,NCT00400413,,2011,Phonological Perception and Learning to Read : the Neuroanatomy of Reading in Congenitally Deaf Persons,,False,False,False,PROCEDURE
🟥,rouge,NCT00213798,,2011,Detection of Plasma DNA by Allelotyping in Non Small Cell and Small Cell Lung Cancer Patients. Evolution During Treatment and Follow-up.,,False,False,False,PROCEDURE
