NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT02791711,,2014.0,False,False,False
NCT02791776,,2014.0,False,False,False
NCT02732431,,2014.0,False,False,False
NCT02791789,,2015.0,False,False,False
NCT02566954,,2016.0,False,False,False
NCT02350374,,2016.0,False,False,False
NCT03177590,,2017.0,False,False,False
NCT02863627,,2017.0,True,False,False
NCT02749188,,2017.0,False,False,False
NCT02567500,,2017.0,True,False,False
NCT02568631,,2017.0,False,False,False
NCT03116503,,2018.0,False,False,False
NCT02333500,,2018.0,False,False,False
NCT03114098,,2019.0,False,False,False
NCT03186105,,2019.0,False,False,False
NCT03861585,,2020.0,False,False,False
NCT03525821,,2020.0,False,False,False
NCT02820012,,2021.0,False,False,False
NCT03530371,,2021.0,False,False,False
,2018-001466-42,2021.0,False,False,False
NCT04587999,,2022.0,False,True,True
NCT04028310,,2022.0,False,False,False
NCT02565524,,2023.0,False,True,True
NCT04191785,,2023.0,False,False,False
NCT04752891,,2023.0,False,False,False
