NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT00770393,,2007.0,False,False,False
NCT00327106,,2007.0,True,False,False
NCT00428779,,2007.0,True,False,False
NCT00555438,2007-001048-32,2008.0,True,False,True
NCT00452010,,2008.0,True,False,False
NCT00542906,,2008.0,False,False,False
NCT00522561,,2008.0,False,False,False
NCT00475059,,2008.0,False,False,False
NCT00451776,,2008.0,False,False,False
NCT00732290,,2009.0,False,False,False
NCT00621907,,2009.0,True,False,False
NCT00904527,,2009.0,False,False,False
NCT00521508,,2010.0,False,False,False
NCT00916526,,2010.0,False,False,False
NCT00941824,,2010.0,False,False,False
NCT00515645,,2011.0,False,False,False
NCT01135303,,2011.0,True,False,True
NCT01385683,2010-024047-33,2011.0,False,False,False
NCT00457158,,2012.0,True,False,True
NCT01401140,,2012.0,False,False,False
NCT01303471,2010-019591-67,2012.0,False,False,False
NCT02527902,,2012.0,False,False,False
NCT01606020,,2012.0,False,False,False
NCT02538445,,2012.0,False,False,False
NCT02551354,,2013.0,False,False,False
NCT02557568,,2013.0,False,False,False
NCT02533518,,2013.0,False,False,False
NCT02522338,2010-022272-31,2013.0,False,False,False
NCT02549378,,2013.0,False,False,False
NCT02531048,,2013.0,False,False,False
NCT01349270,,2013.0,False,False,False
NCT00922857,,2013.0,True,False,True
NCT00676390,,2013.0,False,False,False
NCT02046720,,2013.0,False,False,False
NCT02526966,,2014.0,False,False,False
NCT02547246,,2014.0,False,False,False
NCT01694914,,2014.0,False,False,False
NCT02522819,,2014.0,False,False,False
NCT02528591,,2014.0,False,False,False
NCT01732978,,2014.0,False,False,False
NCT00674531,,2014.0,False,False,False
NCT02524210,2013-004932-31,2015.0,False,False,False
NCT02425839,,2015.0,False,False,False
NCT02528578,,2015.0,False,False,False
NCT02552524,,2015.0,True,False,True
NCT01116570,,2015.0,False,False,False
NCT02257164,2014-002062-77,2015.0,False,False,False
NCT01982214,,2015.0,False,False,False
NCT02431819,,2015.0,False,False,False
NCT03280810,,2015.0,False,False,False
NCT02374281,2013-005043-86,2015.0,False,False,False
NCT03267979,,2015.0,True,False,False
NCT02544516,,2016.0,False,False,False
NCT02279108,2014-004005-32,2016.0,True,False,True
NCT02549274,,2016.0,False,False,False
NCT02524223,,2016.0,False,False,False
NCT02571088,,2016.0,True,False,True
NCT02524041,,2016.0,False,False,False
NCT02524301,,2016.0,True,False,False
NCT02657512,2015-001839-21,2016.0,True,True,True
NCT02252497,2013-000791-15,2016.0,True,False,False
NCT02355314,,2016.0,True,False,True
NCT02668224,,2016.0,False,False,False
NCT02670993,,2016.0,False,False,False
NCT02538796,,2016.0,False,False,False
NCT02386787,,2016.0,False,False,False
NCT02526927,,2017.0,False,False,False
NCT02502474,,2017.0,False,False,False
NCT02463890,,2017.0,True,False,True
NCT02531061,,2017.0,False,False,False
NCT02895438,,2017.0,False,False,False
NCT02595112,,2017.0,False,False,False
NCT02595125,,2017.0,False,False,False
NCT02260414,2014-000946-31,2017.0,False,False,False
NCT02960932,,2017.0,True,False,True
NCT02112695,2013-004733-32,2017.0,False,False,False
NCT02562495,,2017.0,False,False,False
NCT03714269,,2018.0,True,False,False
NCT02386969,,2018.0,False,False,False
NCT03307434,,2018.0,True,False,False
NCT03190486,,2018.0,False,False,False
NCT03324048,,2018.0,False,False,False
NCT02920723,,2018.0,False,False,False
NCT03145454,,2018.0,False,False,False
NCT03249857,,2018.0,False,False,False
NCT02559999,,2018.0,False,False,False
NCT02475486,,2018.0,False,False,False
NCT02596984,2014-000789-22,2018.0,False,False,False
NCT03079232,,2018.0,False,False,False
NCT02667678,2015-001455-68,2018.0,False,False,False
NCT03690804,,2018.0,False,False,False
NCT04025138,,2019.0,True,False,True
NCT02506504,,2019.0,False,False,False
NCT02834260,2016-001168-12,2019.0,True,False,True
NCT02668237,,2019.0,False,False,False
NCT02522806,,2019.0,False,False,False
NCT03549546,,2019.0,False,False,False
NCT03586505,,2019.0,True,False,True
NCT02655172,,2019.0,False,False,False
NCT03526211,,2019.0,False,False,False
NCT03643328,,2020.0,False,False,False
NCT02929004,,2020.0,True,False,True
NCT03172390,,2020.0,False,False,False
NCT02672566,2016-000424-25,2020.0,False,False,False
NCT02591030,2015-002282-35,2020.0,True,False,True
NCT03342339,,2020.0,False,False,False
NCT03445871,2017-004348-39,2020.0,False,False,False
NCT04093037,,2020.0,False,False,False
NCT03126045,,2020.0,False,False,False
,2018-001505-90,2020.0,False,False,False
NCT03731247,,2021.0,False,False,False
NCT04859023,,2021.0,True,True,True
NCT03866785,,2021.0,False,False,False
NCT04511858,,2021.0,False,False,False
NCT02494648,,2021.0,False,False,False
NCT03736733,,2021.0,False,False,False
NCT02665845,2015-002671-21,2021.0,False,False,False
NCT02657304,,2021.0,False,False,False
