S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00934986,,2010,Study of Natural Killer Cells Function in Untreated Patients With Chronic Lymphocytic Leukemia,LLC-NK,False,False
🟥,NCT00908869,,2011,"Combination of Continuous Low Doses of Vinorelbine, Cyclophosphamide and Interferon Alpha 2b for Antiangiogenic/Antivascular Effect in Adult Advanced Neoplasm",METRO1,False,False
🟥,NCT00925418,,2011,Randomized Trial Evaluating the Cryotherapy in the Prevention of Nails Toxicity Induced by Taxotere® in Patient Treated for Breast or Prostate Cancer.,CRYO1,False,False
🟥,NCT00930085,,2011,Evaluation of Predictive Proteic Profile on Mortality in the Acute Phase of Septic Shock in Cancer Patients,PROTEOHSEPS,False,False
🟥,NCT00930410,,2012,Intra-ductal Confocal Endomicroscopy for Characterization of Pancreas and Bile Duct Tumor,EMID,False,False
🟧,NCT00918853,,2012,Prospective Evaluation of the Resection Margins and the Ganglionic Status Using a Quality Standard Resection for Adenocarcinoma of the Head of the Pancreas.,MRP,False,True
🟥,NCT00894049,,2013,A Multicenter Prospective Randomized Study Comparing Non Myeloablative (Flu-TBI) and Reduced Intensity (FLU-BU-ATG) Conditioning in Allogenic Transplantation,ITAC02-01,False,False
🟥,NCT02525250,,2015,Pilot Study Immunomonitoring NK Cells in Patients With Myeloid Malignancies,,False,False
🟥,NCT01521702,,2015,Adjuvant Gemcitabine Versus NEOadjuvant Gemcitabine/Oxaliplatin Plus Adjuvant Gemcitabine in Resectable PAncreatic Cancer: a Randomized Multicenter Phase III Study,NEOPAC,False,False
🟥,NCT02487836,,2015,Phase II Trial Evaluating the Efficacy of Laying a Biliary Stent for Producing a Heavy Chemotherapy in Unresectable Pancreatic Adenocarcinomas,PROPAC,False,False
🟥,NCT01819558,,2015,Etude Phase I/II d'immunothérapie Par protéine recWT1-A10+AS01B après Greffe allogénique de Cellules Souches,ALLO-WT1,False,False
🟥,NCT02174887,,2016,"A Unicentric, Open Label, Mechanism of Action Trial, on the Biological Effect of Nab-paclitaxel Combined to Gemcitabine, in Patients With Metastatic Pancreatic Adenocarcinoma",MOAnab1,False,False
🟥,NCT01499537,,2016,Prospective Randomized Study of PTC and EUS-guided Drainage of the Bile Duct in Patients With Malignant or Post-operative Jaundice After Failure or Impossibility to Perform Endoscopic Retrograde Cholangiography,,False,False
🟥,NCT01692873,,2017,Research for Prognostic and Predictive Biomarkers of Therapeutic Response in Pancreatic Tumors - PACAomics / IPC 2011-004,PACAomics,False,False
🟥,,2009-014773-40,2017,Essai de phase II de preuve du concept : Evaluation de l’activité anti-cellules souches cancéreuses du bevacizumab administré en combinaison à la chimiothérapie néoadjuvante dans les cancers du sein,,False,False
🟥,NCT01190345,,2017,"Phase II"" Proof of Concept "" Trial Evaluating Anti Cancer Stem Cell Activity of Pre-operative Bevacizumab in Combination With Chemotherapy in Breast Cancer",AVASTEM,False,False
🟥,NCT01942980,,2017,Double-blind Randomized Multicenter Phase III Study Evaluation of the Efficacy of Hippocampal Avoidance on the Cognitive Toxicity of Whole-brain Radiation Therapy After Surgical Resection of Single Brain Metastasis of Breast Cancer.,,False,False
🟥,NCT02526134,,2017,Placing Trust in Endoscopic Ultrasonography: Impact on Planning Conformal Radiotherapy of Cancer of the Esophagus and Rectum,FIDUCOR,False,False
