statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT02923297,,2015,GALIG Gene Expression in Parkinson's Disease,GALIGPARK,False,False
🟥,NCT02922114,,2015,Comparison of the Clinical Examination and the Joint Ultrasonography in the Evaluation of Disease Activity in Systemic Lupus Patients,LUPUS,False,False
🟧,NCT02185989,,2016,"Early Rehabilitation Combining Daily Electrical Muscle Stimulation and Early Bedside Cycling Exercise, Compared to Early Standard Rehabilitation. A Randomized, Assessor-blinded, Single-center Study in Intensive Care Patients.",PROMOREA1,False,True
🟥,NCT03095677,,2017,Acute and Chronic Effects of Dynamic Apnea in Healthy Untrained Subjects,APNEX,False,False
🟥,NCT03095690,,2017,Determinants of Volumetric Bone Mineral Density at the Tibia and Radius and it's Relationship With Osteoporotic Fractures in Idiopathic Parkinson's Disease,DOPPA,False,False
🟧,NCT03299894,,2018,Usefulness of Routine qSOFA Calculation at Triage to Fasten Antimicrobial Administration in Patients With Bacterial Infection in the Emergency Department: a Quasi-experimental Study,qSOFAST,False,True
🟥,NCT03316625,,2018,Reference Curve on Bone Mineral Density in Young Adult: French Multicenter Study,COURDO,False,False
🟥,NCT03423004,,2019,Comparative Study of Molecular Markers in Cutaneous Inflammation Between Psoriatic Lesional Skin and Healthy Non-lesional Skin,EMIP,False,False
🟧,NCT03398525,,2019,"Effect of a Musical Intervention in the Intensive Care Unit During the Implantation of a Central Venous Access or a Dialysis Catheter: A Prospective, Randomized Pilot Study",MUSIC-CAT,False,True
🟩,NCT03829293,,2019,High-Flow Nasal Oxygenation Versus Standard Oxygenation in Gastrointestinal Endoscopy With Sedation. A Prospective Multicenter Randomized Study,ODEPHI,True,True
🟥,NCT03479047,,2019,Mechanical Ventilation Weaning Prediction Improved by Diaphragmatic Ultrasound Associated With the Rapid Shallow Breathing Index,CODEX,False,False
🟥,NCT03470116,,2019,"MILAR, is a Controlled, Randomised, Comparative, Prospective, Multi-center, Superiority French Clinical Trial Comparing the MacGrath MAC Videolaryngoscope and the MacIntosh Laryngoscope for Oro-tracheal Intubation by Patients With Less Than 2 Criteria of Difficult Intubation in Elective Surgery.",MILAR,False,False
🟥,NCT03497078,,2019,Comparison of Image Quality Between New Collimator LEHRS (General Electric - GE Healthcare) vs Siemens LEHR on Bone Scintigraphy,LEHRS,False,False
🟥,NCT03586492,,2020,SPECT Myocardial Perfusion Reserve Using a Cadmium Zinc Telluride (CZT) Camera in Cardiovascular Risk Stratification and Ischemia,CFR-OR,False,False
🟥,NCT03689309,,2020,High Flow Oxygen During Spontaneous Breathing Trial in Patients With High Weaning Risk Failure: Impact on the Weaning Course at D7 From the First Spontaneous Breathing Trial. A Pilot Randomized Controlled Trial,ObiWEAN,False,False
🟥,NCT04609969,,2020,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test on Nasopharyngeal Specimens i,COVID-VIRO,False,False
🟧,NCT03568695,,2020,"Detection of Chlamydia Trachomatis, Neisseria Gonorrhoeae and Mycoplasma Genitalium by Real-time Multiplex Polymerase Chain Reaction After Pooling Pharyngeal, Anorectal and Urinary Samples, in Men Who Have Sex With Men",ISTPOOL,False,True
🟥,NCT04137302,,2020,Administration of Hydrocortisone in Young Healthy Male Volunteers: Determination of Biomarkers for Distinguishing Between Local and Systemic Pathways,H-CORT,False,False
🟧,NCT03849508,,2020,"Randomized, Double-blind, Controlled Clinical Trial for Comparison of Continuous Phenylephrine Versus Norepinephrine Infusion for Maintenance of Hemodynamic Stability During Cesarean Section Under Spinal Anesthesia",PHENAD,False,True
🟥,NCT04269382,,2021,"Prospective, Multi-center Evaluation of the Accuracy of Non-invasive Measurement of Blood Pressure Using an Arm, Calf and Finger Cuff.",PANIC,False,False
🟥,NCT04704349,,2021,Latest Imaging SPECT System Evaluation Phase 1,LISSE1,False,False
🟥,NCT04629937,,2021,Clinical Evaluation of a Multipurpose CZT Camera in Gated Tomographic Radionuclide Angiography: a Head to Head Comparison With a Cardiac Dedicated CZT Device,STARGAC,False,False
🟥,NCT05050968,,2021,"Effects of Controlled Physical Activity on the Fitness, Body Composition and Quality of Life of Obese Women Undergoing Bariatric Surgery",ACTIBARIA,False,False
🟥,NCT04738851,,2021,ARTHEMIRS: Assessment of Brain Activation During Different Mirror Therapy Tasks Using fNIRS Technology,ARTHEMIRS,False,False
🟥,NCT04045444,,2021,Physical Activity Level and Cerebral Oxygenation During Gait in Old People,OXYSENIOR,False,False
🟥,NCT04757844,,2021,The Effects of Different Attentional Focus During Walking on Prefrontal Cortical Activation in Young Healthy Adults,AttNIRS,False,False
