NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT01916785,,2013.0,True,False,False
NCT03166969,,2013.0,True,False,False
NCT02882568,,2016.0,False,False,False
NCT02963545,,2016.0,False,False,False
NCT02888964,,2016.0,False,False,False
NCT02896842,,2016.0,False,False,False
NCT02883959,,2016.0,True,False,True
NCT02888990,,2016.0,False,False,False
NCT03115242,,2017.0,False,False,False
NCT01946750,,2017.0,False,False,False
NCT02896374,,2017.0,False,False,False
NCT02901015,,2017.0,False,False,False
NCT02349074,,2019.0,True,False,True
NCT03030482,,2020.0,False,False,False
NCT02894177,,2020.0,False,False,False
NCT04363528,,2021.0,False,False,False
NCT03973385,,2022.0,False,False,False
NCT02473146,,2023.0,False,False,False
