NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT00200616,,2006.0,False,False,False
NCT00217347,,2006.0,False,False,False
NCT00337597,,2007.0,False,False,False
NCT00200642,,2007.0,False,False,False
NCT00200655,,2007.0,False,False,False
NCT00720031,,2008.0,True,False,False
NCT00291538,,2008.0,True,False,False
NCT00290576,,2008.0,True,False,False
NCT00561938,,2008.0,False,False,False
NCT00200681,,2008.0,True,False,False
NCT00491062,,2009.0,True,False,False
NCT00436514,,2009.0,True,False,False
NCT00756080,,2009.0,False,False,False
NCT00200707,,2009.0,True,False,False
NCT00707408,,2009.0,False,False,False
NCT00563303,,2009.0,True,False,False
NCT00965289,,2009.0,False,False,False
NCT00621400,,2009.0,True,False,False
NCT01136317,,2010.0,True,False,False
NCT00385710,,2010.0,False,False,False
NCT00200551,,2010.0,True,False,False
NCT01061255,,2010.0,False,False,False
NCT01067937,,2011.0,False,False,False
NCT00851513,,2011.0,False,False,False
NCT01497990,,2011.0,False,False,False
NCT00467506,,2011.0,False,False,False
NCT01206673,,2011.0,False,False,False
NCT00836732,,2012.0,False,False,False
NCT01093261,2010-019178-33,2012.0,True,False,True
NCT01353183,,2012.0,False,False,False
NCT01331356,,2012.0,False,False,False
NCT00200577,,2012.0,False,False,False
NCT00841724,,2012.0,False,False,False
NCT00435864,,2013.0,False,False,False
NCT00561379,,2013.0,False,False,False
NCT01745653,,2013.0,False,False,False
NCT01785238,,2013.0,True,False,True
NCT01747109,,2013.0,True,False,True
NCT01309334,,2013.0,True,False,False
NCT00422006,,2013.0,True,False,False
NCT00863148,,2013.0,True,False,True
NCT01761357,,2014.0,False,False,False
NCT01279694,2010-019462-92,2014.0,True,False,True
NCT01832844,,2014.0,False,False,False
NCT01135641,2009-016898-14,2014.0,True,False,False
NCT01426295,,2014.0,False,False,False
NCT01810146,,2014.0,False,False,False
NCT01188174,,2014.0,True,False,True
NCT01042301,,2014.0,False,False,False
NCT01496040,2011-000418-21,2014.0,False,False,False
NCT01480856,,2014.0,False,False,False
NCT01240772,,2014.0,True,False,False
NCT01485705,,2014.0,False,False,False
NCT02067767,2013-003197-27,2015.0,True,True,True
NCT02018952,,2015.0,False,False,False
NCT01353651,,2015.0,True,False,True
NCT01745679,,2015.0,True,False,False
NCT01617252,,2015.0,False,False,False
NCT01948115,,2015.0,True,False,False
NCT01386034,,2015.0,True,False,False
NCT01971658,2013-003174-27,2015.0,True,False,False
NCT01541280,,2015.0,False,False,False
NCT01537380,,2015.0,True,False,False
NCT02907450,,2015.0,False,False,False
NCT01485679,,2015.0,False,False,False
NCT01546272,,2015.0,False,False,False
NCT02198612,,2015.0,False,False,False
NCT01879046,,2016.0,False,False,False
NCT02819258,,2016.0,False,False,False
NCT01748409,,2016.0,False,False,False
NCT01888458,,2016.0,False,False,False
NCT00860639,2007-001209-64,2016.0,True,False,True
NCT02262182,,2016.0,False,False,False
NCT01851135,,2016.0,False,False,False
NCT01730638,,2016.0,False,False,False
NCT01219816,,2016.0,False,False,False
NCT01967524,,2016.0,True,False,False
NCT01147315,,2016.0,False,False,False
NCT01566656,,2016.0,False,False,False
NCT01890668,,2016.0,True,False,False
NCT01747096,,2016.0,False,False,False
NCT01207674,,2016.0,True,True,True
,2011-004764-30,2017.0,False,False,False
NCT02700321,,2017.0,True,False,True
NCT02236260,,2017.0,False,False,False
NCT02581150,,2017.0,False,False,False
NCT02381639,,2017.0,False,False,False
NCT02403856,,2017.0,True,False,True
NCT01730612,,2017.0,False,False,False
NCT01572181,,2017.0,True,False,False
NCT01432509,,2017.0,True,False,True
NCT01723644,,2017.0,True,False,True
NCT02538939,,2017.0,True,False,True
NCT01733199,,2017.0,False,False,False
NCT01710930,,2017.0,False,False,False
NCT02587247,,2017.0,True,False,False
NCT03210857,,2017.0,False,False,False
NCT02023970,,2018.0,False,False,False
NCT03106441,,2018.0,True,False,True
NCT02181439,,2018.0,True,False,False
NCT01610531,,2018.0,True,True,True
NCT01964911,2013-002727-42,2018.0,True,False,False
NCT02911207,,2018.0,False,False,False
NCT03220555,,2018.0,False,False,False
NCT03137511,,2018.0,False,False,False
NCT01541176,,2018.0,False,False,False
NCT03387254,,2018.0,False,False,False
NCT02252055,,2018.0,True,False,True
NCT01682265,,2018.0,True,False,True
NCT02078141,,2018.0,False,False,False
NCT02719496,,2018.0,False,False,False
NCT01300143,,2018.0,False,False,False
NCT02707354,,2018.0,False,False,False
NCT02244450,,2018.0,True,True,True
NCT03337412,,2019.0,False,False,False
NCT03015818,2016-002886-77,2019.0,True,False,True
NCT02376491,,2019.0,False,True,True
NCT03218553,2017-000442-21,2019.0,True,True,True
NCT02859233,,2019.0,False,False,False
NCT03192033,,2019.0,True,False,True
NCT02574403,,2019.0,True,False,True
NCT02624271,,2019.0,False,False,False
NCT03099993,,2019.0,False,False,False
NCT03330379,,2019.0,True,True,True
,2014-003004-69,2019.0,False,False,False
NCT02424916,,2019.0,False,False,False
NCT02345681,,2019.0,True,False,True
NCT01630278,2011-003063-30,2019.0,True,False,True
NCT02723383,,2019.0,True,True,True
NCT03185052,,2019.0,False,False,False
NCT03195452,,2020.0,True,False,True
NCT01936532,2013-001443-31,2020.0,True,False,False
NCT02202291,,2020.0,False,False,False
NCT03143751,2017-000073-36,2020.0,True,True,True
NCT03307135,,2020.0,False,False,False
NCT02972684,,2020.0,False,False,False
NCT02748590,,2020.0,False,False,False
NCT02801695,,2020.0,False,False,False
,2016-000419-34,2020.0,False,False,False
NCT04024176,,2020.0,False,False,False
NCT01615900,,2020.0,False,False,False
NCT03915041,,2020.0,False,False,False
NCT03369171,,2020.0,False,False,False
NCT04005560,,2020.0,False,False,False
NCT01834417,,2020.0,False,False,False
NCT02988557,,2020.0,False,False,False
NCT03604120,,2021.0,False,True,True
NCT04247048,,2021.0,False,False,False
NCT03889353,,2021.0,False,False,False
NCT04453384,,2021.0,True,True,True
NCT02544711,,2021.0,False,False,False
NCT03234127,,2021.0,False,False,False
NCT03607162,,2021.0,False,True,True
NCT04255823,,2021.0,False,True,True
NCT03925571,,2021.0,False,False,False
NCT03960801,2019-000753-31,2021.0,True,True,True
NCT02556424,,2021.0,True,True,True
NCT03573739,,2021.0,True,True,True
NCT03549637,,2021.0,False,False,False
NCT04536883,,2021.0,False,False,False
,2015-000468-33,2021.0,False,False,False
NCT04611425,2020-003689-37,2021.0,True,False,True
NCT02590211,,2021.0,False,False,False
NCT04028830,,2021.0,False,False,False
NCT04139486,,2022.0,False,False,False
NCT01720407,,2022.0,False,False,False
NCT03098706,,2022.0,False,True,True
NCT03344692,,2022.0,False,False,False
NCT04046120,,2022.0,False,False,False
NCT02146144,,2022.0,False,True,True
NCT02566746,,2022.0,False,False,False
NCT03802305,,2022.0,False,False,False
NCT04310189,,2022.0,False,False,False
NCT03190577,,2022.0,False,False,False
NCT05185102,,2022.0,False,False,False
NCT04572009,,2022.0,True,True,True
NCT04295239,,2022.0,False,False,False
NCT04600479,,2023.0,False,False,False
NCT04717141,,2023.0,False,False,False
NCT03334682,,2023.0,False,True,True
NCT03862833,,2023.0,False,False,False
NCT04496401,,2023.0,False,False,False
NCT04547062,2020-003209-77,2023.0,False,False,False
NCT00422721,,,False,False,False
NCT00200538,,,True,False,False
NCT00238056,,,False,False,False
NCT01015196,,,True,False,False
