statut,status_label,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
🟥,rouge,NCT00151606,,2004,Evaluation of Two Protocols to Prevent the Acquisition of Methicillin-Resistant Staphylococcus Aureus in Intensive Care Units.,,False,False,True,PROCEDURE
🟥,rouge,NCT00134212,,2004,"Prospective, Randomized Study on Two Parallel Groups Comparing Dopexamine and Norepinephrine in Combination to Epinephrine Alone on Systemic and Pulmonary Hemodynamics, Gastric Mucosal Perfusion, and Oxidative Stress in Septic Shock",,False,False,True,DRUG
🟥,rouge,NCT00219856,,2006,"Prospective, Randomized, Simple Blind Study Comparing the Effects of an Anaesthesia With Propofol to an Anaesthesia With Desflurane on Oxydative Stress and Liver Function Recovery After Hepatectomy",,False,False,False,DRUG
🟥,rouge,NCT00151580,,2006,"Comparison of Maintenance Treatment by Ribavirin to a Placebo, After an Initial One-year Treatment With Pegylated Interferon-α2a - Ribavirin Association in Hepatitis C Viral Recurrence After Liver Transplantation",TRANSPEG,False,False,False,DRUG
🟥,rouge,NCT00138684,,2006,Cytochrome P450 2E1 and Iron Overload,,False,False,False,PROCEDURE
🟥,rouge,NCT00151567,,2006,Interest of a Treatment With the alpha1-blocker Tamsulosin in the Elimination of Pelvis Ureteral Stones,TAMSULOSINE,False,False,True,DRUG
🟥,rouge,NCT00151593,,2006,Celsior®: Evaluation of an Organ Preservation Solution in Liver Transplantation.,,False,False,False,OTHER
🟥,rouge,NCT00280592,,2008,"Prospective, Randomized, Double-blind, Placebo-controlled Study on Parallel Groups Evaluating the Efficacy and Safety of Cranberry (Vaccinium Macrocarpon) in Prevention of Urinary Tract Infections in Multiple Sclerosis Patients.",CANNEBERGE,False,False,True,DRUG
🟥,rouge,NCT00305916,,2008,"Accuracy of Multislice Spiral Computed Tomography in Diagnosis of Coronary Artery Disease Associated to Idiopathic Cardiomyopathy in Sinus Rhythm (""MSCT-IC Study"").",CMD-scanner,False,False,False,PROCEDURE
🟥,rouge,NCT00598026,,2011,"Evaluation of the "" Tele-follow-up "" for the Follow-up of Implantable Defibrillators",EVATEL,False,False,False,OTHER
🟥,rouge,NCT01282567,,2011,Preliminary Study for the Artificial Pancreas Project : Determination of a Tuning Strategy of Metabolic Profiles,,False,False,False,OTHER
🟥,rouge,NCT01437917,,2012,NOMAC : New Tools for Managing the Fate of Cereal Nutrients in the Gut : Effects of Amylose Content on Glycemic Index.,NOMAC,False,False,False,DIETARY_SUPPLEMENT
🟥,rouge,NCT01435668,,2012,"Impact Evaluation at 3 Months Follow-up of a Brief Motivational Intervention in Reducing Alcohol Consumption Versus Simple Written Advice Only Among Adolescents Aged 16-24 in Pontchaillou Hospital Emergency Department in Rennes, France",AURAIA,False,False,True,BEHAVIORAL
