S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00569361,,2005,Nasal Epithelium Gene Expression Profiling in Child Respiratory Allergic,,False,False
🟥,NCT00522184,,2006,Intra-Articular Injection of Etanercept in Patient Suffering From Rheumatoid Arthritis : a Double-Blind Randomized Study for Evaluation of Efficacy and Safety of Etanercept Versus Intra-Articular Steroid Injection in Acute Synovitis,,False,False
🟥,NCT00676351,,2007,Follow up of Ventilatory Function in Infant After One (or More) Bronchiolitis During the First Year of Life. Course Towards Asthma,,False,False
🟥,NCT00820144,,2007,Functional Exploration of the Immune Response Using the B-Subunit of Cholera Toxin Administered by Mucosal Way in Healthy Adult Volunteer: Potential Role in Development of Vaccine Processes,,False,False
🟥,NCT00821548,,2008,,,False,False
🟥,NCT00674869,,2008,Effectiveness of Pit and Fissure Sealants in the Prevention of Dental Caries,,False,False
🟥,NCT00831402,,2008,Assessment of Thyroid Function Throughout Pregnancy With and Without Iodine Supplementation,,False,False
🟥,NCT00823485,,2009,Clinical Efficacy of In-situ Thrombolysis in Case of Intraventricular Haemorraghia by Aneurysm Rupture,,False,False
🟥,NCT00822250,,2009,Clinical and Biological Study of Sub-pigmentation During Infantile Cystinosis,,False,False
🟥,NCT00931567,,2010,Evaluation of the Efficiency of Autologous Platelet Gel (Platelet Rich Fibrin) Obtained From Own Patients' Blood Versus Vaselitulle in Dupuytren's Disease Postoperative Wound Healing,,False,False
🟥,NCT01221337,,2011,"Comparative Study of Two Haemodialyzers ""VIE 2.1"" Versus ""EVODIAL2.2"" in a Strategy of Heparin-free Haemodialysis (HFH)",,False,False
🟥,NCT00822224,,2011,Use of MEOPA for Elderly With Dementia.,,False,False
🟥,NCT00831298,,2011,Assessment of Sleep Disturbance in Alzheimer Disease,,False,False
🟥,NCT00833274,,2011,Evaluation of Apathy Using Attentional Reaction Test in Neurodegenerative Diseases,,False,False
🟥,NCT01049659,,2011,Effect of Iodine Supplementation and During Pregnancy on Neuropsychological Development of Children Assessed at 2 Years Old,,False,False
🟥,NCT00830583,,2011,Pompe Prevalence Study in Patients With Muscle Weakness Without Diagnosis,POPS,False,False
🟥,NCT01087216,,2011,,,False,False
🟥,NCT00559520,,2011,The Role of Preoperative Oral Immunonutrition in Major Vascular Surgery,,False,False
🟥,NCT01235806,,2012,Contribution of ESAOTE™ Low Field MRI for Diagnosis of Scaphoid Fractures.,,False,False
🟥,NCT00876096,,2012,Development and Validation of Fungal Extraction and Real -Time PCR Assay for the Diagnosis of Medically Important Fungal Infections in Blood Samples.,,False,False
🟥,NCT00733538,,2012,Stage I Multiple Myeloma Treatment,IFM-01-04,False,False
🟥,NCT01384344,,2012,Ecological Assessment of Apathy in Alzheimer's Disease and in Control Subjects: Interest on Video Recognition and Actigraphy,,False,False
🟥,NCT00554528,,2012,Arthroplasty Versus Fusion in Anterior Cervical Surgery: Prospective Study of the Impact on the Adjacent Level,PROCERV,False,False
🟥,NCT02862340,,2012,Study of the Involvement of 15q11 - q13 Chromosome Region and CYFIP1 Gene in Autism. Attempt a Genotype-phenotype Correlation,,False,False
🟥,NCT01629979,,2012,Efficacy and Tolerance of Transplantation of Harvested Epidermal Cells and Narrow-Band UVB in Vitiligo,VITICELL,False,False
🟥,NCT01511965,,2012,,Viticell,False,False
🟥,NCT01049555,,2012,Contribution of Actigraphy and Recognition Video in Apathy Assessment of Alzheimer's Disease : Experimental Research,09-PP-06,False,False
🟥,NCT01184222,,2012,EFFICACY EVALUATION OF GREAT OCCIPITAL NERVE ELECTRICAL STIMULATION ON REBOUND HEADACHE AFTER WITHDRAWAL IN MEDICATION OVERUSE HEADACHE OCCURING IN MIGRAINE PATIENTS (SENGO-CAM Study),,False,False
🟥,NCT01228253,,2012,Effects of Treatment of Post-traumatic Stress Disorder on Reduced Recall for Fear Extinction,,False,False
🟧,NCT01850186,,2013,Comparative Study of Dual Yellow Laser Versus Stabilized Kilnman Preparation in the Treatment of Melasma,,False,True
🟥,NCT01374997,,2013,Screening Project for a Detection of Fabry Disease in Chronic Renal Failure Patients in Area PACA,,False,False
🟥,NCT00821691,,2013,Action of the Amantadine on Post Stroke Aphasic Patients' Language and Communication,CELIC-1,False,False
🟥,NCT01639274,,2013,Prevalence of Chronic Obstructive Pulmonary Disease in HIV-patient Population,HIV and COPD,False,False
🟥,NCT01184781,,2013,Prospective Comparison of Capsule Endoscopy Pillcam II™ Versus Colonoscopy for the Detection of Adenomatous Polyps and Cancer in a High Risk Population,,False,False
🟥,NCT01805128,,2013,EXPLORATION OF THE SOCIAL COGNITION IN ADOLESCENTS WITH A Dissociative Disorder OR AUTISM SPECTRUM,,False,False
🟥,NCT01435291,,2013,Prospective Pharmacokinetic and Pharmacogenetic Analysis of Advagraf After Transplantation,AADAPT,False,False
🟧,NCT00951964,,2013,Treatment of Epidermolysis Bullosa Dystrophica by Polyphenon E (Epigallocatechin 3 Gallate),,False,True
🟥,NCT00816491,,2013,Comparaison de la Chromo Endoscopie Virtuelle FICE (Fujinon Intelligent Chromoendoscopy) Avec la Coloscopie Conventionnelle Dans la détection de la Dysplasie Chez Patients Porteurs de Recto Colite ulcéro hémorragique (RCH).,,False,False
🟥,NCT01512641,,2013,Prevalence of Dissociative Disorders in Children in a Population Supported in the Medico-social and Health Structures in Provence Alpes Cote d'Azur,,False,False
🟥,NCT01834755,,2013,Physical and Psychological Evaluation of Patients Reaching End Stage Renal Disease : Effects on the Choice of Renal Replacement Therapy,,False,False
🟥,NCT01805349,,2013,Study of the Association Between Digital Osteoarthritis and Lower Limb Osteoarthritis (Knee and Hip) in Terms of Severity and Evolution - Khoala Group Ancillary Project / Cohort Khoala,Khoala,False,False
🟥,NCT01556308,,2013,Study of Inflammatory Mechanisms in Epidermolysis Bullosa Simplex- Dowling Meara,,False,False
🟥,NCT01573494,,2014,Study of Circulating Tumor Cells Before and After Treatment in Patients With Metastatic Melanoma.,,False,False
🟥,NCT01246596,,2014,,,False,False
🟥,NCT01970735,,2014,"Clinical, Genetic and Epigenetic Characterization of Patients With FSHD Type 1 and FSHD Type 2",,False,False
🟧,NCT01815788,,2014,"Evaluation of Efficacy and Patient Acceptance of Sound Amplifier Téo First, in Mild and Moderate Presbycusis Patient 60 Years of Age and Older, With no Previous Hearing Aid.",TEO FIRST,False,True
🟥,NCT01798199,,2014,VERVE* PROJECT: Study of the Acceptability of a Virtual Reality System on the Cognitive Stimulation of Patients With Alzheimer's Disease or Related Conditions. (*Vanquishing Apathy Through E-inclusion Using Realistic Virtual Environment),VERVE,False,False
🟥,NCT00886301,,2014,Fatty Liver and Ectopic Fat in Overweight and Obese Patients,,False,False
🟥,NCT01553695,,2014,Validation of a Clinical Interview for a Diagnosis of ADHD in Adults. Cross-validity of Screening Instruments ADHD in Adults. Estimation of Prevalence in France,,False,False
🟥,NCT02570581,,2014,MELA Study - Hedonic Study on the Taste of Drugs Crushed in Food: Observational Study Involving 16 Healthy Volunteers,MELA,False,False
🟥,NCT02594020,,2015,,,False,False
🟥,NCT01230203,,2015,Computed Tomography Scan Versus Color Duplex Ultrasound for Surveillance of Endovascular Repair of Abdominal Aortic Aneurysm. A Prospective Multicenter Study,ESSEA,False,False
🟥,NCT01661660,,2015,"Ecological Assessment of Autonomy and Apathy in Alzheimer Patients at Mild and Moderate Stages, as Welle as in Healthy Control Particpants",Dem@Care,False,False
🟥,NCT01866878,,2015,Rehabilitation Protocol for Disorders on Hand Sensitivity in Multiple Sclerosis Patients.,FINGER,False,False
🟥,NCT02176629,,2015,Usability of Virtual Reality in Subjects With Mild Cognitive Impairment or Alzheimer's Disease. MeMO-RV2,MeMO-RV2,False,False
🟥,NCT02829892,,2015,Using Environmental Light Therapy to Improve Sleep and Neuropsychiatric Symptoms in Dementia,SOLEIL SOMMEIL,False,False
🟥,NCT02198404,,2015,Pilot Study of Sedation With Propofol in Refractory Pains Due to Care in Palliative Care Unit,PROPOPAL1,False,False
🟥,NCT02317679,,2015,Treatment of Port-wine Stains by Bosentan in Addition to Pulsed Dye Laser (PDL) in Children or Young Adults Who Previously Failed to Respond to PDL Alone: a Monocentric Pilot Study,,False,False
🟥,NCT02032979,,2015,Neurological and Psychiatric Comorbidities Patients With FSHD 1 and 2,,False,False
🟥,NCT01840007,,2015,Pilot Study Evaluating the Efficacy and Safety of Metformin in Melanoma,,False,False
