ror,nb,sponsor_normalized
00pg5jh14,2079,Assistance Publique – Hôpitaux de Paris
01502ca60,912,Hospices Civils de Lyon
00mthsf17,525,Centre Hospitalier Universitaire de Montpellier
017h5q109,520,Centre hospitalier universitaire de Toulouse
02tcf7a68,489,Centre hospitalier universitaire de Clermont-Ferrand
002cp4060,488,Assistance publique - Hôpitaux de Marseille
01hq89f96,487,Centre hospitalier universitaire de Bordeaux
041rhpw39,424,Centre hospitalier universitaire Grenoble-Alpes
05c1qsg97,419,Centre hospitalier universitaire de Nantes
05qsjq305,392,Centre hospitalier universitaire de Nice
04bckew43,315,Hôpitaux universitaires de Strasbourg
04pn6vp43,311,Centre hospitalier universitaire de Saint-Étienne
010567a58,311,Centre hospitalier universitaire d'Amiens - Picardie
02ppyfa04,279,Centre hospitalier régional universitaire de Lille
05qec5a53,266,Centre hospitalier universitaire de Rennes
027arzy69,266,Centre hospitalier universitaire de Caen
0275ye937,252,Centre hospitalier universitaire de Nîmes
00cxy0s05,231,Centre hospitalier universitaire de Rouen
0084te143,230,Centre hospitalier régional universitaire de Besançon
0250ngj72,227,Centre hospitalier universitaire d'Angers
0377z4z10,226,Centre hospitalier universitaire de Dijon
0321g0743,226,Institut Gustave-Roussy
016ncsr12,213,Centre hospitalier régional et universitaire de Nancy
029s6hd13,199,Centre hospitalier universitaire de Poitiers
03evbwn87,195,Centre hospitalier universitaire de Brest
058td2q88,181,Hôpital Foch
02vjkv261,181,Institut national de la santé et de la recherche médicale
01kv58h76,164,ANRS Maladies infectieuses émergentes
01cmnjq37,159,Centre Léon-Bérard
01tc2d264,154,Centre hospitalier universitaire de Limoges
00jpq0w62,153,Centre hospitalier universitaire de Tours
01jbb3w63,136,Centre hospitalier universitaire de Reims
0219xsk19,109,Hôpital Saint-Joseph de Marseille
04t0gwh46,109,Institut Curie
04s3t1g37,97,Institut Paoli-Calmettes
04c3yce28,78,Centre hospitalier Le Vinatier
04yvax419,76,Centre hospitalier régional d'Orléans
05epqd940,64,Centre hospitalier départemental Vendée de La Roche-sur-Yon
004dan487,52,Centre Hospitalier Universitaire de la Réunion
04n1nkp35,51,Hôpital intercommunal de Créteil
03wr2ty35,50,Groupement des hôpitaux de l'institut catholique de Lille
02kxjxy06,43,Centre hospitalier Sainte-Anne - GHU Paris
053evvt91,42,Centre Hospitalier de Versailles
0495fxg12,34,Institut Pasteur
047wq3n50,30,Clinique Ambroise Paré
02mh9a093,29,Hôpital de la Salpêtrière
003vg9w96,28,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement"
02d741577,27,Centre Hospitalier Régional Metz-Thionville
0376kfa34,27,Centre hospitalier universitaire de Martinique
0103yxp25,24,Service de santé des armées
04wqvjr21,23,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer
03bf2nz41,21,Centre Hospitalier le Mans
03ytpa045,19,Centre Hospitalier Henri Laborit
05k9skc85,19,Institut Pasteur de Lille
054jcxz87,15,Groupe Hospitalier Région Mulhouse et Sud Alsace
029brtt94,15,Université Claude-Bernard-Lyon-1
03mkjjy25,14,Université de Versailles-Saint-Quentin-en-Yvelines
01tfhsg94,13,Hôpital Européen Marseille
05f82e368,12,Université Paris-Cité
03deam493,12,Centre hospitalier Annecy Genevois
01r35jx22,10,Centre hospitalier Métropole Savoie
01zwdgr60,10,Groupe Hospitalier Diaconesses Croix Saint-Simon
