statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00299650,,,2008,Systematic Early Use of Neuromuscular Blocking Agents in ARDS Patients,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00769912,,,2009,Evaluation of of a Prefixed 50% N2O- 50%O2 Mixture in Legal Abortion Under Local Analgesia,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00947817,,,2010,Impact of Endothelial Cell Activation and Modifications of Haemostasis Induced by Infective Endocarditis on the Risk of Embolism.,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00947778,,,2010,Analysis of Language and Auditory Abilities in Cochlear Implanted Children: Assessment by an Auditory Learning Programmed Method,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00726206,,,2010,"Correlation Between the Analysis of the Rapid Cortical Oscillations, the General Movements of the Preterm's and the Cerebral Palsy",,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00769236,,,2010,Evaluation of Intestinal Secretion of Antibodies and Auto-antibodies Associated With Crohn's Disease,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00725868,,,2010,Blood Endothelium Biomarkers to Predict Major Adverse Cardiovascular Events After Percutaneous Coronary Intervention.,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT04755023,,,2010,Primary Chemotherapy by BCNU-TMZ Combination in Newly Diagnosed Anaplastic Oligodendrocytic Tumors: Phase II Trial With Translational Molecular Analysis,TEMOBIC,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00683566,,,2010,State Dependent Resonance in the BG-cortical Loops,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00623272,,,2010,"Left Ventricular Function Assessment After Acute Myocardial Infarction: Comparison Between bi-, Three-dimensional and Cardiac Magnetic Resonance",,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT03405948,,,2010,Efficiency of Botulinum Toxin Injection for Spastic Equinovarus Foot in Post Stroke Hemiparetic Patients Randomized Controlled Trial Versus Placebo,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00702429,,,2010,Immunoregulation of Periodontal Disease,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01118364,,,2011,Effect of Cannabis on Simulated and Actual Driving in Healthy Subjects,,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00697398,,,2011,Repetitive Trans-cranial Magnetic Stimulation of the Motor Cortex in Fibromyalgia: A Prospective Randomized Blinded Placebo-controlled Study Evaluating the Clinical Efficiency and the Metabolic Correlate in 18FDG-PET,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00682903,,,2011,Use of a Bearable Continuous Interstitial Glucose Monitoring Device (GuardianR) During Teaching Sessions to Functional Insulin Therapy Concept in Patients Suffering From Type 1 Diabetes: Evaluation at 6 and 12 Months,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00950209,,,2011,Acute Effect of Intensive Insulin Infusion on Intestinal Triglyceride-rich-lipoprotein-apoB48 Metabolism in Type 2 Diabetic Patients,,DIETARY_SUPPLEMENT
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00699868,,,2011,"Cellular Immunity, Cytomegalovirus Infection and Septic Shock in ICU Patients",2006/25,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00684281,,,2011,"Early Diagnosis of Alzheimer's Disease: Clinical, Neuropsychological and Neuroimaging Follow-up of a Cohort of Patients With an Isolated Memory Impairment",,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00682409,,,2011,,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01177436,,,2011,PCA-3 Gene Project,,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT00824889,,,2011,Exploratory Study of Natural Killer Cells in Human Skin,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00842166,,,2011,,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00769574,,,2011,Assessment of New Biomarkers in the Management and Triage of Patients With Chest Pain and Suspicion of Non ST Elevation Acute Coronary Syndrome.,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00920673,,,2012,"Age Influence on the Modifications of the Oral, Pharyngeal and Laryngeal Axis Alignment in Children Induced by Head Extension: an MRI Study",,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01090232,,,2012,Host Responses in Kidney-transplant Recipients With Chronic Hepatitis E Virus Infection,,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00920114,,,2012,,LU-PUCE,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT00684034,,,2012,Redox State in the Course of Chronic Renal Insufficiency and Hemodialysis: Implications in Morbimortality,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00823589,,,2012,Immune Status of Elderly Population Admitted in an Acute Geriatric Unit,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01687452,,,2012,"Microparticles, Vector of Genetic Information During HIV Infection ?",,BIOLOGICAL
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00875407,,,2012,,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01177475,,,2012,Effect of Intake in Bioactive Molecules From Natural or Pasteurised Milk on Gut Maturation in Very Premature Newborns,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01505790,,,2012,Impact of Clopidogrel Dose Adjustment According to Platelet Reactivity Monitoring in Patients With High on Treatment Platelet Reactivity Undergoing Percutaneous Coronary Intervention,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00920335,,,2013,Adult Intracranial Ependydomas : Prognostic and Diagnostic Factors Assessment and Molecular Characterization,,OTHER
