statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4 : pas de résultats postés ni publiés,NCT00213486,,,2004,Weekly Cisplatin/Irinotecan and Radiotherapy in Patients With Locally Advanced Esophageal Cancer: Phase II Trial,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00120588,,,2005,Effect of Magnesium Sulfate on the Incidence of Periventricular Leukomalacia in the Very Preterm Neonate,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00213434,,,2006,Prospective Evaluation of Mandibular Advancement by Herbst Device in the Treatment of Moderate Obstructive Sleep Apnea Syndrome,,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00213551,,,2008,Comparative Effects of Glutamine and Glucose on Intestinal Protein Metabolism in Healthy Humans,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00234234,,,2008,Predictors of the Response to Adalimumab in Rheumatoid Arthritis,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00213512,,,2008,Traitment of Patients Presenting Pemphigus With Anti CD20 (Mabthera).,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00213499,,,2008,Randomized Prospective Multicenter Study of Non Invasive Ventilation Assessment for Weaning From Mechanical Ventilation in Patients With Chronic Respiratory Failure. NIV and Weaning (VENISE)Trial.,VENISE,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT02170454,,,2009,Effect of Pharyngeal Cortical Area Inhibition Induced by rTMS on Swallowing Function in Healthy Subject: Video Fluoroscopic Study.,rTMSvideoSS,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00263900,,,2010,Exploratory Study of the Use of the Quick Diagnostic Test of the Influenza and the Infection With RSV by the Paediatric Emergency Unit and Their Impact on the Assumption of Responsibility of the Suspect Children of a Viral Infection,,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01345890,,,2010,Neuromodulation in Post Stroke Dysphagia,,PROCEDURE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT00389116,,,2010,Value of CT-Scan and Oral Gastrografin in the Management of Post Operative Small Bowel Obstruction,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00213629,,,2010,Transcriptome Analysis Through a Dedicated Macro-array and TcLandscape Repertoire Analysis for Diagnosis of Myositis.,MYOARRAY,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00977223,2008-003367-40,,2010,Pilot Study of the Action of the Substance P Antagonist Aprepitant on Aldosterone and Cortisol Secretion in Healthy Volunteers.,APHOS,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01016925,,,2011,Bacterial Colonization After Tunneling in Femoral Perineural Catheters,Tunnelized KT,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00977652,,,2011,Short Term Efficacy of Percutaneous Tibial Nerve Stimulation for the Treatment of Fecal Incontinence:Randomized Controlled Study,TENSIA,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00877578,,,2011,Efficacy of a Special Oral Nutritional Supplement on Nutritional Status of Malnourished Elderly Patients,Nutri-PA,DIETARY_SUPPLEMENT
⬛,4,4 : pas de résultats postés ni publiés,NCT00213616,,,2011,Bilateral Laryngeal Paralysis Reinnervation. Speech and Ventilatory Results Analysis,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01081444,,,2011,Effect of Pharyngeal Inhibition Induced by Repetitive Transcranial Stimulation in Post Stroke Dysphagia,rTMS AVC,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00620724,,,2012,Maintenance Oral Nifedipine for Management of Symptomatic Placenta Previa : A Randomized Clinical Trial,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01029275,2004-004524-12,,2012,"Multicenter, Randomised Open Trial Comparing the Efficacy of a Medical Treatment With Sandostatin LP 30 mg Performed Before Surgery to a Prime Line transsphenoïdal Surgery in Previously Untreated Acromegalic Patients With Either a Micro or a Macro Pituitary Adenoma",SAPORO,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01565577,,,2012,"Phase 3, Vaccinal Activity Assessment of MenBVac Against Nesseiria Menigitidis B:14,P1.7,16 Strain in Child Vaccinated With MenBVac®",Exten MenbVac,BIOLOGICAL
⬛,4,4 : pas de résultats postés ni publiés,NCT01299857,,,2012,EVALUATION CLINIQUE ET BIOLOGIQUE A LONG TERME DES PATIENTS ATTEINTS DE FORMES SEVERES DE PEMPHIGUS TRAITES PAR LE RITUXIMAB,Suiviritux,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01081457,,,2012,Effect of Deep Brain Stimulation on Voluntary and Involuntary Gastrointestinal Motility in Parkinson's Disease,SCP-Comodig,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT02171377,,,2013,Quadricipital Electrical Stimulation in COPD Patients Rehabilitation,Reha-Res,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01350297,,,2013,Phrenic Reinnervation in Central Ventilatory Paralysis Due to Medullary Trauma With Phrenic Motoneuron Destruction,TETRADIA-UNI,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01220388,,,2013,Pilot Study of the Action L-lysine on Aldosterone and Cortisol Secretion in Healthy Volunteers.,L-Lysine,DIETARY_SUPPLEMENT
⬛,4,4 : pas de résultats postés ni publiés,NCT01057953,,,2013,Oligogenic Determinism of Colorectal Cancer,DOCC,GENETIC
⬛,4,4 : pas de résultats postés ni publiés,NCT00692393,,,2013,Primary vs. Secondary Anastomosis After Sigmoid Colon Resection for Perforated Diverticulitis (Hinchey Stage III and IV): a Prospective Multicentric Randomized Trial,DIVERTI,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01103206,,,2013,Evaluation of a Parathyroid Hormone Suppression Test With Cinacalcet. Comparison: 1- With the Results of the Intravenous Calcium Suppression Test in Healthy Controls; 2- Between Healthy Controls and Patients With Primary Hyperparathyroidism.,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01936597,,,2013,Prospective Study of 3 Phone Assistance Strategies to Achieve a Continuous Cardiac Massage During Training in Non-hospital Cardiac Cases.,TeleMacc,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01801605,,,2013,Does Repetitive Transcranial Magnetic Stimulation (rTMS) Reduce Rectal Hypersensitivity in Patients With IBS ?,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,,2006-005576-40,,2013,Etude de faisabilité de 2 phases II parallèles pré et post-gastrectomie : étude de faisabilité d'un traitement de chimiothérapie et radiothérapie pré-opératoire de l'adénocarcinome gastrique (LV5FU2s + Irinotecan - Radiochimiothérapie + 5FU IV continu) et étude de faisabilité d'un traitement de chimiothérapie et radiothérapie post-opératoire de l'adénocarcinome gastrique (LV5FU2s + Irinotecan - Radiochimiothérapie + 5FU IV continu),TRACE,DRUG (presumed)
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT02320916,,,2013,A Randomized Controlled Trial on the Effect of Needle Gauge on the Pain and Anxiety Experienced During Arterial Puncture,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00525616,,,2013,Assessment of Rituximab Efficiency and Tolerance in Treatment of Bullous Pemphigoid.,Rituximab2,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT02110329,,,2013,Simultaneous Detection of Somatic Quantitative Molecular Alterations Using the Qantitative Multiplex Pcr of Short Fluorescent Fragments Method (QMPSF) in Stage II-III Colon Cancer: a Prospective Study,Code Barre,GENETIC
⬛,4,4 : pas de résultats postés ni publiés,NCT01304576,,,2013,"Orientation Agnosia: Neuropsychological Evaluation, Associated Symptoms, Clinical and Anatomical Correlations",AGNORIENT,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02170506,,,2014,Effect of Sub-mental Sensitive Transcutaneous Electrical Stimulation on Pharyngeal Muscles Control,TENSVIRT,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01712581,,,2014,Determination of Myocardial Relaxation Times Values in Healthy Volunters,HeartMS,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01765374,,,2014,Study of Sonographic Efficacy of Rituximab in Rheumatoid Arthritis,SEWORRA,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00811915,,,2014,"A Prospective, Comparative, Multicenter, Randomized Study to Compare the Safety and Efficacy of Sirolimus (Rapamune) to Tacrolimus (Advagraf) Associated to Mycophenolate Mofetil (CellCept) Between 12 and 36 Months After Kidney Transplantation",EPARGNE,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01566188,,,2014,Cardiovascular Impact of Omega-3 Dietary Supplement From Vegetal Origin in Hypertension Associated With Metabolic Syndrome,CARDIOMEGA,DIETARY_SUPPLEMENT
⬛,4,4 : pas de résultats postés ni publiés,NCT02086253,2013-004425-87,,2014,Role of Endothelin-1 in Mediating Flow-mediated Dilatation of Conduit Arteries During Sustained Hyperemic Stimulation,Endothelin,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01330745,,,2014,Mesenteric Microcirculatory Function Study Through Sublingual Evaluation During Cardiopulmonary Bypass,MICROCARD,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00903799,,,2015,Clinical Efficacy and Efficiency of Gastric Electrical Stimulation (Enterra®) for Refractory Nausea and/or Vomiting,ENTERRA,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT02570464,,,2015,Aortic Cross-Clamping and Systemic Inflammatory Response in Humans: Effect of Ischemic Preconditioning,CLARIS,PROCEDURE
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT01523522,,,2015,Etude de l'efficacité et de la sécurité d'Injections Intra-sphinctériennes de Myoblastes Autologues Chez Des Patients Atteints d'Incontinence Anale sévère Par Insuffisance sphinctérienne,MIAS,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01326416,,,2015,Evaluation of the Impact of Physical Reconditioning Associated With Specific Nutritional Supplementation in Obese Patients Suffering From Metabolic Syndrome. OBEFITT Study.,OBEFITT,DIETARY_SUPPLEMENT
⬛,4,4 : pas de résultats postés ni publiés,NCT02556320,,,2015,Immunological and Viral Parameters in Patients Receiving Anti-epileptic Drugs,VIRIDAE,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01275560,,,2015,,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT02029859,,,2015,"Sleep Apnea, Obesity and Pregnancy",GOS,PROCEDURE
