statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00243633,,,2007,Characterization of Focal Liver Lesions by Real-Time Contrast-Enhanced Ultrasound Imaging (CEUS),,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00243698,,,2007,A Pilot Study Evaluation of the Efficacy of SonoVue to Detect and Characterise Breast Lesions,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00245869,,,2007,Contrast-Enhanced Ultrasound and Neoadjuvant Chemotherapy of Breast Cancer: Relationship Between Early Vascular Changes of the Tumor and Late Tumoral Response,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00222066,,,2007,Comparison Between Abstention and Intrauterine Aspiration in the Treatment of Anechoic Fetal Ovarian Cysts to Prevent Ovarian Torsion,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00497614,,,2008,18F-FDG Positron Emission Tomography to Study the Response to Adalimumab in Rheumatoid Arthritis. A Monocentric Pilot Study,PETRA,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01942239,,,2009,Real-time Continuous Glucose Monitoring Reduces Duration of Hypoglycemia Episodes in Very Low Birth Weight Neonates,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00507403,,,2009,Effect of Methotrexate on the Relation Dose-effect of Infliximab in Ankylosing Spondylitis,SPAXIM,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00593528,,,2011,Randomized Study With Medico-economic Evaluation Comparing the Use of PTFE Covered Stents vs Naked Stent in the TIPS (Transjugular Intra-hepatic Porto-systemic Shunt),,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01014026,,,2011,Human Papillomavirus DNA Testing Using Self-collected Samples for Cervical Cancer Screening: an Alternative Strategy for Unscreened Women?,APACHE-1,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02304900,,,2012,Effect of the Color of the Intra-eye Implant in the Cataract Surgery on the Sleep,IOL et sommeil,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00308893,,,2012,Brain Derived Neurotrophic Factor (BDNF) Gene Polymorphism and Response to Antidepressants Treatment in Major Depression,,GENETIC
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00489697,,,2012,Medical and Economical Evaluation of Contrast-enhanced Ultrasound Imaging for the Early Estimate of Bevacizumab Effect on Colorectal Cancer Liver Metastases,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01350882,,,2012,Phase III Study of Impact of Treatment With Rituximab on the Progression of Humoral Acute Rejection After Renal Transplantation,RITUX-ERAH,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01427036,,,2013,Impact Sur le Saignement Per et Post opératoire de 2 stratégies d'ostéosynthèse Des Fractures du Massif trochantérien du Sujet > 65 Ans : Essai randomisé Comparant le système MISS et le système PHS,MISSvsPHS,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00843817,,,2013,RhDNase Effect on Biodistribution of PMN Serine Proteases in Cystic Fibrosis Sputum,BioDNase,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00841295,,,2013,Effects of Parenteral L-carnitine Supplementation in Premature Neonates,CarniPrema,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02574884,,,2013,,VINTAGE VHC,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01737606,,,2013,Ultrasonic Explorations of Cerebral Tissue Motions - Influence of Aging,COSTUM,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00512434,,,2013,Injection of Concentrated Autologous Bone-marrow (IMOCA) and Bone Union of Open Tibial Shaft Fracture: Randomized Study to Assess Efficiency of IMOCA in Addition to Standard of Care.,IMOCA,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01382160,,,2013,Serum Concentration of Adalimumab (Humira) as a Predictive Factor of Clinical Outcomes in Rheumatoid Arthritis (AFORA),AFORA,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01325259,,,2013,Molecular Imaging of Cerebral Amyloid Plaques Using PET With Fluoro Tracker for Early Diagnosis of Alzheimer's Disease,FAIR-AD,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT02570620,,,2014,Apport de l'échographie du Col Dans l'évaluation du Délai Induction Accouchement (DIA) Chez Des Patientes à Score de Bishop défavorable après déclenchement Par Dinoprostone Intravaginal,ECOLDIA,DEVICE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT01770548,,,2014,Autism and Glutamatergic Synapse : Research of Genetic Mutations and Identification of Clinical and Neurophysiological Markers.,NMDA-Autism,GENETIC
⬛,4,4: pas de résultats postés ni publiés,NCT02302534,,,2015,Pilot Study of Functional and Morphometric Brain Abnormalities Related to Adolescent Idiopathic Scoliosis (MOR-FO-SIA),MOR-FO-SIA,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01732991,,,2015,Assessing the Impact of the Prostatic Photo-vaporization (PVP) With Greenlight Laser Using Prostatic MRI and Contrast-enhanced Ultrasound,PROPIL,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02567058,,,2015,Biomechanical and Ultrasonic Assessment of the Achilles Tendon in Vivo (MEDUSAA),MEDUSAA,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT01895764,,,2015,Effect of the Combination of Methotrexate and Adalimumab on Reduction of Immunization in Ankylosing Spondylitis (COMARIS),COMARIS,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01958814,,,2015,Controlled Randomized Double-blind Study Comparing Salbutamol and Placebo Via Aerosol in Chronic Obstructive Respiratory Insufficiency in Exacerbartion Treated With Noninvasive Ventilation,BANNISTER,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02367001,,,2015,"Randomized Trial Evaluating the Effectiveness of a ""Targeted Communication"" With the General Practitioner Involvement in Cancer Screening Invitation Letters",GPs,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02061254,,,2015,Transient Elastography DEdicated to Cosmetology And Dermatology (TEDECAD),TEDECAD,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02026622,,,2015,"Comparative Study of Physiological and Cerebrovascular Reactivity in Depression, at the Three Phases of Emotion",EMPHILINE,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02103374,,,2015,Evaluation of Benefit of Nebulized Bronchodilators at Home in Severe Chronic Obstructive Pulmonary Disease and Very Severe Steady State,Nebuadom,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT02255084,,,2016,Attitude of Unscreened Women Face to Different Strategies to Participate in Cervical Cancer Screening by Vaginal Self-sampling : Home-mailed or Invitation to Remove to Their General Practitioner,APACHE-3,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT01960283,,,2016,Randomized Clinical Trial Evaluating the Efficacy of Methotrexate in Addition to Anti-H1 Versus Placebo and Anti-H1 in the Treatment of Severe Chronic Idiopathic Urticaria,MUCIS,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01729468,,,2016,Prevention of Pre-eclampsia and SGA by Low-Dose Aspirin in Nulliparous Women With Abnormal First-trimester Uterine Artery Dopplers,PERASTUN,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT02050269,,,2016,Measuring the Plasma Clearance of Iohexol to Estimate Glomerular Filtration Rate in Intensive Care Unit Patients: Preliminary Feasibility Study,IoxRea,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02302573,,,2016,Placenta Accreta : Contrast-enhanced Ultrasound Analysis in High Risk Population,,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01388413,,,2017,"A Randomized, Multicenter, Parallel Group Study to Evaluate Safety and Efficacy of a Weekly Oral Cyclic Antibiotic Programme in the Prevention of Urinary Tract Infection on Neurological Bladder",PACHIU,DRUG
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT00645606,,,2017,"Single-agent Rituximab as Maintenance Treatment Versus Observation After Combined Induction Immunochemotherapy With Fludarabine, Cyclophosphamide and Rituximab in Patients Older Than 65 Years With Previously Untreated Chronic Lymphocytic Leukemia: a Phase III Trial of FILO",LLC2007SA,BIOLOGICAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01816009,,,2017,"Multicentric Study, of Non Inferiority, Randomized, Opened, to Evaluate the Two Durations Effectiveness of Antibiotherapy (6 Weeks Versus 12 Weeks) in the Treatment of Osteo-articular Prostheses Infections, With Prosthetic Change (in 1 Time or 2 Long Times) or Not (Articular Washing)",DATIPO,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02789839,,,2017,Analyses of Bone Marrow and Blood Samples From Healthy Volunteers: Focus on the redOx Metabolism - HEALTHOX,HEALTHOX,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01962311,,,2018,Evaluation of Metabolomic Analysis in Early Diagnosis of ALS,METABALS,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01983436,,,2018,Impact of Manual Lymphatic Drainage on Postoperative Edema of the Face and the Neck After Orthognathic Surgery.Open-label Multicenter Randomized Controlled Trial,DLMOF,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01628432,,,2018,Effect of Total Salpingectomy During Conservative Hysterectomy for Benign Disease on Ovarian Function: Non Inferiority Randomized Controlled Trial,SALPINGOVA,PROCEDURE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02062099,,,2018,PET Imaging of the Translocator Proteine Ligands (TSPO) With [18 F] DPA-714 Biomarker of NeuroInflammation in Cognitive Decline (NIDECO),NIDeCo,DRUG
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02302547,,,2018,"Randomized Clinical Trial to Evaluate the Interest of a Down-scaled Treatment Strategy Using Dual Therapy (Nucleoside Analogs) in HIV Infected Patients Already Being Treated Using Triple Therapy, Who Present With a Successful Virological Control and for Which the HIV Reservoir is Low to Moderate",TRULIGHT,DRUG
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02263651,,,2018,Dead Space Closure With Quilting Suture Versus Conventional Closure With Drainage in Prevention of Seroma Formation After Mastectomy for Breast Cancer : a Randomized Controlled Trial,QUISERMAS,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02812979,,,2018,Evaluation of the Effectiveness of the Nebulization Bronchodilators Under High Nasal Flow Humidified Compared to a Usual Method,AirvoNEB,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT02573974,,,2018,Study of Alterations in Skeletal Muscle Energy Metabolism in Undernourished Patients With Gastrointestinal Cancer,METERMUCADIG,OTHER
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02907060,,,2018,Propess® Versus Double Balloon for Cervical Ripening of Prolonged Pregnancies: a Randomised Controlled Trial,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02278848,,,2018,Multimodal Investigation in the Diagnosis and Treatment of Chronic Adult Hydrocephalus,Multimod'HCA,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02185222,,,2018,Effect of Vitamin D on Cognitive Decline of Patients With Memory Complaint,D-COG,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01364857,,,2019,"French National Prospective Cohort of Children With Port Wine Stain on a Limb = ""Cohorte Nationale d'Enfants Avec Angiome Plan de Membre inférieur""",CONAPE,GENETIC
⬛,4,4: pas de résultats postés ni publiés,NCT02377206,,,2019,Neuroinflammation and Cognitive Decline in Alzheimer Disease (AD) : Pilot Study of Translocator Proteins Ligand PET Imaging With [18F]DPA-714,NICAD,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT03022968,,,2019,Tau Brain Imaging in Typical and Atypical Alzheimer's Disease (AD),TEPTAU,DRUG
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02509468,,,2019,Treatment of Superficial Voluminous Complicated Slow-flow Vascular Malformations With Sirolimus: a Phase 2 Trial in Children Observational-phase Designed,PERFORMUS,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT03027479,,,2019,Study of Differences in Skeletal Muscle Energy Metabolism Alterations in Women With Weight Loss and Ovarian and/or Endometrial Cancer Based on the Body Mass Index,METERMUS-IMC,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02719951,,,2019,Glutaminergic Transmission in Autism : Molecular Imaging Exploration,TANGAU,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT03084133,,,2019,"Impact of EDUcation Strategy on Patients With COLorectal CANCER or Advanced Adenoma in the Detection of Colorectal Cancer of Their First-degree Relatives - Randomized, Multicenter Cluster Test",EDUCANCOLAGE,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02304354,,,2019,Relationship Between T LYmphocytes Depletion and Clinical Response to RITUXimab in Rheumatoid Arthritis (LYRITUX),LYRITUX,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02670226,,,2019,Metabolomics and Transcriptomics Approaches to Identify Muscular Biomarkers in Amyotrophic Lateral Sclerosis,METABOMU,OTHER
