statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00285142,,,2004,Assessment of the Effect of Rosiglitazone on Insulin Secretion in Healthy Volunteers,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00285155,,,2006,Assessment of Bupropion on Cognitive Function and Behaviour in Healthy Volunteers,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00285181,,,2007,"Effects of Statins on Pro- and Antioxidant Status : Link With Statin-Associated Myopathy. A Randomized, Placebo-Controlled, Double-Blind Study.",,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00513890,,,2010,Interest of Non Invasive Ventilation Versus Oxygen During the Intial Managment of Infant With Bronchiolitis Who Didn't Require Mechanical Ventilation,,DEVICE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01043991,,,2011,Intracoronary Injection of Epo During Reperfusion in Patients Hospitalized for First Acute Myocardial Infarct STEMI,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,,2006-005846-35,,2011,COMPARISON OF TWO KINETICS OF ADMINISTRATION OF BOLUS BY INSULIN PORTABLE PUMP ON THE GLUCOSE BLOOD STABILITY FOR INSULIN-DEPENDENT PATIENTS,,DRUG (presumed)
⬛,4,4 : pas de résultats postés ni publiés,NCT01073072,,,2011,Multicentric Prospective Randomized Study Comparing Technique of Tension-free Repair With Placement of a Bovine Pericardium Bioprosthesis (Tutopatch® and Tutomesh®) to Current Conventional Surgical Techniques in Potentially Contaminated Hernia Repair and Abdominal Wall Reconstruction,Tutomesh,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT02094144,,,2011,Health Benefits of a 6-month Brisk Walking Program in Sedentary Postmenopausal Women : a Randomized Controlled Trial,ACTIMARCH,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01554436,,,2011,Neuropsychological and Psychopathological Prognosis Factors of Smoking Cessation,,BEHAVIORAL
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT01532063,,,2012,Risk Factors of Difficult Intubation and Related Complications in Adults in Intensive Care Units(ICU),FRIDA-Rea,PROCEDURE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01610960,,,2012,"Comparison of Helmet NEXT, Helmet Standard and Facemask for Noninvasive Ventilation: a Physiological Study in Healthy Volunteers",,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01566253,2011-004919-23,,2012,"Comparison of a Patient Controlled Oral Administration (PCOA) of Analgesic Protocol With an IV Administration After Planned Caesarian Section : Monocentric, Randomised and Controlled Study",,DRUG
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01478841,,,2012,INFLUENCE OF POLYPHENOLS ON OXIDATIVE STRESS IN HEALTHY INDIVIDUALS WITH HIGH METABOLISM RISK: RELATIONSHIP WITH THE MECHANISMS OF INSULIN RESISTANCE,POLYOXRESIST,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01580956,,,2012,"Evaluation a New Ventilatory Modes: VARIABLE-PSV: a Randomized Controlled Cross-over Study: the "" VARIABLE-PSV"" Study",,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01512654,,,2012,Assessment of an Enhanced Version of a Personalized Glucose Predictive and Therapy Advisory System (DIAdvisor-2) for Diabetic Patients Treated by Basal-Bolus Insulin Regimens,,DEVICE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01596803,,,2012,Effects of Antioxidants Supplementation on Muscular Function of Patients Affected by Facioscapulohumeral Dystrophy (FSHD),FSHD,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01818206,,,2012,Bacteriophages Effects on Pseudomonas Aeruginosa Presents in Sputum of Cystic Fibrosis (CF) Patients,MUCOPHAGES,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02883738,,,2013,,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01561664,,,2013,Relations Between Obesity and Insulin Resistance: Role of Inflammation Regulatory Mechanisms in Obese Patients Without Associated Comorbidity,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01555788,,,2013,Closed Loop Artificial Pancreas Using Intraperitoneal (IP) Insulin Via DiaPort®,,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01563627,,,2013,"Serum Profile of Inflammatory Factors, Immune and Angiogenic in Temporal Lobe Epilepsy: New Targets for Diagnosis and Prediction of Drug Resistance",,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01235624,,,2013,Autosomal Dominant Retinitis Pigmentosa: Prevalence of Known Genes Identification of New Loci / Genes,,GENETIC
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01616901,,,2013,Wean Obese Study : Determination of the Optimal Spontaneous Breathing Trial for Obese Patient,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01517815,,,2013,Pharmacokinetic of Doripenem and Piperacillin/Tazobactam in More Than 120 kg Critically Ill Patients,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01644942,,,2013,Identification in Obese Patients of the Mechanisms Involved in Intramuscular Lipid Accumulation.,,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01256307,,,2013,Effects of an Individualized Training Program on Severity Markers of Obstructives Sleep Apnea/Hypopnea Syndrome (OSAS),REEVASAS,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01944553,,,2014,A Prospective Study on the Feasibility of Pedicle Screw Placement in the Lumbar Level With a New Robotic-assisted System,ARASS,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT02883816,,,2014,"Early Assessment of Respiratory Function, Inflammation and Bronchial Reshuffle Among Newborns Screened for Cystic Fibrosis",,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT04546503,,,2014,Evaluation of the Interest of Regional Locoregional Anesthesia by Perfusion Blocks in Continuous Infusion in Polytrauma Patients With Limb Fractures and Mechanical Ventilation. A Prospective Randomized Study,ALRréa,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01607723,,,2014,"Comparison of Two New Ventilatory Modes: NAVA vs PAV+: a Randomized Controlled Cross-over Study: the ""NAVA-PAV"" Study",,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01883284,,,2014,Action of Epigenetic Modifiers in Cystic Fibrosis Treatment: ex Vivo Model of Nasal Epithelium of CF Patients,Mod2EpiCF,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02355483,,,2014,Accuracy of Unenhanced CT in Elderly Patients Admitted to the Emergency Department With Acute Abdominal Symptoms,,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01942889,,,2014,Antioxidants Supplementation Associated With Pulmonary Rehabilitation is it Effective on Muscle Dysfunction and Signaling Pathways Involved in the Myopathy of COPD?,AREB-1,DIETARY_SUPPLEMENT
⬛,4,4 : pas de résultats postés ni publiés,NCT02018718,,,2014,,,DEVICE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01585857,,,2014,"A Phase I, Prospective, Bi-centric,Single -Arm, Open-label, Dose-escalating Clinical Trial to Evaluate the Safety of a Single Injection of Autologous Adipose Derived Mesenchymal Stromal Cells in the Treatment of Severe Osteoarthritis of the Knee Joint",,BIOLOGICAL
⬛,4,4 : pas de résultats postés ni publiés,NCT01327391,,,2014,"Tolerance of ""on Line"" Hemodiafiltration and Impact on Morbidity and Cardiovascular Risk Factors in Chronic Renal Failure Patients",on-line-HDF,PROCEDURE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01486121,,,2015,S.O.S. Ventilation - Sedation Optimisation Strategy For Mechanical Ventilation In Intensive Care Unit Patients,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02535793,,,2015,,DROSOALLERG,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02404857,,,2015,A Novel BCI-controlled Pneumatic Glove System for Neurorehabilitation Post-stroke,BCI-stroke,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT02893956,,,2015,Does Postural Support During Echocardiography Modify Hemodynamic Features and Discomfort Induced by the Examination in Very Premature Neonates?,,PROCEDURE
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT02153190,,,2015,Assessment of Hybrid Use of an Artificial Pancreas in a Home Setting for Two Months in Patients With Type 1 Diabetes,AP Hybrid,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01512680,,,2015,Evaluation of Functional Insulin Therapy on Blood Glucose Control in Type 1 Diabetic Patients Treated by Insulin Pumps,IFOPI,BEHAVIORAL
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT02056925,,,2015,Speckle Tracking 2D Echocardiography in Healthy Child. Comparison of Two Different Software Systems : Echopac (General Electric) and QLAB 9.0 (Philips).,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02313870,,,2015,Comparison of Monotherapy With Protracted Superpotent Topical Steroids to Superpotent Topical Steroids Associated With Methotrexate in Bullous Pemphigoid,BP/MTX,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT02858700,,,2015,Value for Cord Blood Procalcitonin to Diagnose Early Neonatal Bacterial Infection,PCT_CORDON,BIOLOGICAL
⬛,4,4 : pas de résultats postés ni publiés,NCT01823380,,,2015,Influence of the Vitamin D Blood Levels on the Amyotrophic Lateral Sclerosis Phenotype,,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT02855723,,,2015,"Randomized, Open-label Economic and Medical Study on the Lymph Node Management of Squamous Cell Carcinoma of the Oral Cavity and Oropharynx T1-T2N0 Operable : Comparison of the Reference Strategy Based on a the Systematic Lymph Node Dissection Versus the Strategy Based on the Technique of Sentinel Lymph Node.",SentiMERORL,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02496325,,,2015,Ultrasound-guided Pudendal Nerve Block in Children: A Descriptive Study of Feasibility,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT02334943,,,2015,"Immune Activation in HIV-1 Infected Patients Under AntiRetroviral Treatment: Etiologic Factors, Forms and Potential Association With Chronic Comorbidities Unrelated to Immune Deficiency.",ACTIVIH,BIOLOGICAL
