statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
📘,bleu,pas de résultat ni de publication,NCT00410020,,,2003,Secondary Prevention of Atrial Fibrillation With an Alpha-Linolenic Enriched Diet : a Randomized Study,,False,False,False,BEHAVIORAL
📘,bleu,pas de résultat ni de publication,NCT00226720,,,2004,Comparison of Efficacy of an Outpatient vs Inpatient Detoxification Program for Alcohol Dependent Patients Seeking Abstinence. A Prospective Randomized Clinical Trial.,,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT00224588,,,2005,Effects of Peri Operative Administration of Ketamine on Long Term Post Thoracotomy Pain,,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT00224627,,,2005,Efficiency of Capsule Endoscopy and Push Enteroscopy in Obscure Gastrointestinal Bleeding. A Prospective Randomized Study.,,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT00224653,,,2005,,,False,False,False,PROCEDURE
📕,rouge,résultat et / ou publication posté,NCT00428636,,,2005,Study of Early Closure of Temporary Loop Ileostomy After Elective Rectal Resection With Low Pelvic Anastomoses,,False,False,True,PROCEDURE
📕,rouge,résultat et / ou publication posté,NCT00122707,,,2005,Randomized Controlled Trial of Mechanical and Infectious Complications of Central Versus Peripheral Venous Catheters in ICU Patients,,False,False,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT00190437,,,2006,ANTEAB: a Study of Early Antibiotherapy in the ICU Management of Acute Exacerbations of COPD,,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT00487292,,,2006,The Effects of a Combination of Napping and Bright Light Pulses on Shift Workers Sleepiness at the Wheel A Pilot Study,,False,False,False,BEHAVIORAL
📕,rouge,résultat et / ou publication posté,NCT00236262,,,2006,Effect of the Positive Expiratory Pressure on the Right Ventricular Function in Patient With Adult Respiratory Distress Syndrome Ventilated With Limited Plateau Pressure,,False,False,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT00122733,,,2006,Facilitation of Weaning From Ventilator by Loxapine,,False,False,False,DRUG
📕,rouge,résultat et / ou publication posté,NCT00190294,,,2006,Comparison Expectant With Immediate Medical Management for the Evacuation of the no Evolutionary Pregnancies Before 13 GW,,False,False,True,DRUG
📕,rouge,résultat et / ou publication posté,NCT00162539,,,2006,Relation Between Maternal Iodine Status and Prenatal Foetal Thyroid Dimension,,False,False,True,OTHER
📕,rouge,résultat et / ou publication posté,NCT00135590,,,2007,Evaluation of the Effectiveness of a Protein Pulse-Feeding Pattern in Elderly Patients,PRO-PULSé,False,False,True,DIETARY_SUPPLEMENT
