statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4 : pas de résultats postés ni publiés,NCT00552201,,,2008,Randomized Therapeutic Study of a Treatment by Tacrolimus Adapted or Not According to the Genotype of the Cytochrome P450 3A5 After Renal Transplantation,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00567450,,,2008,Ropivacaine 0.75% vs Ropivacaine 0.75% Plus Mepivacaine 1.5% for Subgluteal Sciatic Bloc: a Prospective Double Blind Randomized Controlled Study,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01673412,,,2008,Research of Prognostic Factors Associated With Healing of Venous Leg Ulcers,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01815775,,,2009,Predictive Value of Flow MRI in Normal Pressure Hydrocephalus Surgery,,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00815867,,,2009,Effect of Epoetin Beta on Renal Function Within 30 Days Following a Kidney Transplant,Neo-PDGF,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00863785,,,2009,Treatment of Acute Severe Alcoholic Hepatitis With Corticoids Plus N Acetyl Cysteine Versus Corticoids Alone: a French Multicentre Randomized Controlled Study.,HAA-NAC,DRUG
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01219985,,,2010,Benefits Study of a Respiratory Gating Protocol for 18F-FDG PET: Application on the Liver,RespiTEP,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT00396435,,,2010,"Multicenter, Prospective, Randomised, Open-label Study, Evaluating the Effect of Two Levels of Haemoglobin on Quality of Life and Speed of Progression of Renal Insufficiency on Renal Transplanted Patients With Chronic Graft Dysfunction (CGD)",,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01539967,,,2011,Is the Residual Gastric Volume After Sleeve Gastrectomy an Objective Criterion to Adapt the Treatment Strategy After Failure?,GASTROMANCH,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01502657,,,2011,Ultrasound Guided Percutaneous Tracheostomy in the ICU,,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00769587,,,2012,Phase II Study of Thalidomide in Mastocytosis,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01441557,,,2012,"Pilot Study on the Usefulness of 3,4-diaminopyridine in the Treatment of Botulism",,DRUG
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01015417,,,2012,Antibiotic Treatment Versus no Antibiotics in the Postoperative Acute Cholecystitis Low and Moderately Severe,ABCAL,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01513005,,,2013,Feasibility of Day Case Management by Laparoscopic Sleeve Gastrectomy for Obesity: a Pilot Study,GASTRAMBU,PROCEDURE
