statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00132587,,,2007,Prospective Randomized Study of 130 Total Knee Arthroplasty With Cemented Femoral Implant Versus Cementless,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00538317,,,2008,Comparison of Administration of Tirofiban in the Ambulance or in the Cathlab in Patients With Acute Myocardial Infarction Treated With Primary Angioplasty,AGIR2,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00133861,,,2008,Botulinum Toxin Efficiency on Spasticity of Rectus Femoris and Semitendinosus Muscles as Functional Agonist and Antagonist Muscles. Assessment of Efficiency of Botulinum Toxin on Spasticity in Agonist and Antagonist Muscles Using Clinical Assessment and Gait Analysis in Cerebral Palsy Children: Rectus Femoris and Semitendinosus,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00437996,,,2008,Epidural Analgesia During Labour. Impact of Clonidine Addition to Levobupivacaine and Sufentanil,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00419198,,,2008,Postconditioning and Functional Recovery After Acute Myocardial Infarction,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00169637,,,2008,Evaluation of the Efficacy and Safety of Recombinant Human Growth Hormone (rhGH) in the Treatment of Children With Short Bowel Syndrome,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00876629,,,2009,Renal MR Elastography: Normal Findings and Variability of Stiffness Measurements,MRE_Rénale,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00435357,,,2009,Comparison Between Fixed- Versus Mobile-bearing TKA : a Randomized Prospective Study,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01407133,,,2009,Assessment of Conventional Repetitive Transcranial Magnetic Stimulation for the Treatment of Chronic Tinnitus,MagTIN,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00951392,,,2009,Implication of Metabolic and Genomic Modifications in Elderly Subjects,COMPALICLAMP,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00149123,,,2010,Low-dose Hydrocortisone in the Treatment of the Shock of Burned Patients,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00987207,,,2010,Pharmacological Postconditioning During the Aortic Valvular Surgery,PC Pharma CVA,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00128518,,,2010,IDEAL Study : Identification of the Determinants of the Efficacy of Arterial Blood Pressure Lowering Drugs,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01246180,,,2010,Study of the Cutaneous Microcirculation: ASIC Involvement.,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00328419,,,2010,Consequences of Parenteral Nutrition Photoprotection on the Oxidant Related Diseases Among Extremely Low Birth Weight Infants : A Randomized Controlled Study,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00355108,,,2010,ATERO : A Randomised Study With Tranexamic Acid in Epistaxis of Rendu Osler Syndrome. Beneficial or Iatrogenic Effects.,,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00527813,,,2011,Effect of Prone Positioning on Mortality in Patients With Severe and Persistent Acute Respiratory Distress Syndrome,Proseva,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00300586,,,2011,A Randomized Phase III Trial Assessing in Patients With Advanced Non-small Cell Lung Cancer Not Progressing on First Line Cisplatin-gemcitabine Chemotherapy Maintenance Chemotherapy With Gemcitabine or Sequential Treatment With Erlotinib,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01226550,,,2011,Treatment of Primary Peritoneal Carcinosis of Digestive Origin Using Cytoreductive Surgery and Hyperthermic Intraoperative Peritoneal Chemotherapy With Mitomycin C and Irinotecan,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00169611,,,2011,Comportemental and Neuropsychologic Study of Children With Neurofibromatosis Type 1 Treated by Methylphenidate. A Double-blind Randomised Study Methylphenidate Versus Placebo,,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01081587,,,2011,Developing an Organization to Improve the Screening and Care of Starved Children in Hospital,PREDIRE,BEHAVIORAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01208727,,,2011,The POSTCONDITIONING and THE NO REFLOW Phenomenon in Acute Myocardial Infarction,,PROCEDURE
