statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT01161212,,,2006,"Physical Activity, Health-related Quality of Life and Corpulence Among French Schoolchildren",REGUL'APS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00301470,,,2008,Interest of MR Urography in the Evaluation of Functional Consequences of Urinary Tract in Children and Adults,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00814554,,,2009,PRALIMAP: Effectiveness Evaluation of Three Strategies of Prevention of Overweight and Obesity in Adolescents; a Cluster Randomised Controlled Trial,PRALIMAP,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT01242007,,,2010,Lung Function Impairment and Postural Spirometry Changes in Ambulatory Myotonic Dystrophy Patients,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02861235,,,2010,"Comparison Between Myocardial Tomoscintigraphies Using a Semiconductor Camera or a Conventional Camera According to Conditions of Examination Execution: Assessment of Infarction or Ischemia, Injected Dye and Sequence of Injections",DSPECT,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02885090,,,2011,Search for New Genes Involved in Molecular Etiology of Rett Syndrome Through Comparative Genomic Hybridization on DNA Microarrays,RETT,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01570179,,,2012,Sugammadex in Patients Undergoing Bariatric Surgery: An Equivalence Trial Comparing Real and Ideal Body Weight-based Dosing,SugReBaCh-1,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02887131,,,2012,Evaluation of Dynamic Computed Tomography Anatomy of Ankle in Inversion / Eversion Mouvement in Subtalar Instability.,IDIS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02129621,,,2012,Prospective Study of Neutrophil Gelatinase Associated Lipocalin (NGAL)as a Biomarker of Mineralocorticoid Receiver Activity in Human: Proof of Concept.,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02877537,,,2012,Measurements of Change of Respiratory Admittance Induced by Salbutamol for Pediatric Asthma Diagnosis,SALBUTAMOL,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT03234205,,,2012,Measurements of Myocardial Relaxation Time by MRI During Respiration,ARTEMIS,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01090934,,,2013,Etude de la Performance Diagnostique de l'EEG-Haute Résolution Sur la Localisation de la Zone épileptogène Pour le Traitement Chirurgical Des épilepsies Partielles Pharmaco-résistantes,EEG-HR,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01351961,,,2013,Arterial Function and Structure and Evolution of Cognitive Impairment in Elderly Hypertensive Subjects With Subjective Memory Complaints,ADELAHYDE2,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT02182908,,,2013,ANALYSE EN MORPHO-TEP AU FDG DE L'EVOLUTIVITE DES ANEVRISMES ABDOMINAUX AORTIQUES NON CHIRURGICAUX UNE ETUDE MULTICENTRIQUE DE L'INTER-REGION NORD-EST,AAA,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02858167,,,2013,Creation of a Normal Database for FluoroDeoxyGlucose-Positron Emission Tomography (FDG-PET) Neurological Examinations: Study of Principal Inter-individual Variation Factors,BDD TEP FDG,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01963221,,,2013,RELATIONSHIP BETWEEN THORACIC AORTIC STRUCTURE ASSESSED BY PET/CT SCAN AND ARTERIAL STIFFNESS IN ELDERLY PATIENTS: FICTEP STUDY,FICTEP,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT03240029,,,2013,Life Quality of Children in Cancer Remission During School Reintegration,QdV leucémie,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02861222,,,2013,Myocet® in Children With Relapsed or Refractory Non-brainstem Malignant Glioma,MYOCET,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01722617,,,2014,A Study to Validate Questionnaires FLARE and OM-RA-FLARE Measuring Disease Flares in Patients With Rheumatoid Arthritis.,FLARE,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01692977,,,2014,Orienting Oneself in a Healing Garden: What Elements of the Design Are Used as Landmarks by Patients With Alzheimer's Disease ?,JAZ-TOP,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01544647,,,2014,Comparison of 2 Spa Therapy Protocols in Symptomatic Knee Osteoarthritis : a Randomised Trial,Nancythermal,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02869100,,,2015,Comparison of Sodium Fluoride Positron Emission Tomography and Magnetic Resonance Imaging of Spine and Sacroiliac Joints for Detection of Inflammatory Lesions in Patients Affected by Spondyloarthritis,FNa,PROCEDURE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT02851576,,,2015,Generation of Clinical Grade Adenovirus Specific T Cells for Adoptive Immunotherapy After Allogeneic Stem Cell Transplantation : Clinical Trial,CTL-ADV,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02893449,,,2015,Improvement of Social Adaptation After Pre-operative Cognitive Remediation in Parkinson's Patients Profiting From a Bilateral Subthalamic Stimulation,,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02879786,,,2015,Study of Hierarchy of Afferents in Postural Control of Children With Dyslexia,EQUIDYS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02874196,,,2015,Study of Diagnostic Performances of Dual Energy Imaging With Flat Detectors and Tomosynthesis in Identification of Loosening of Painful Hip Prosthesis,PLIDET,PROCEDURE
