statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4 : pas de résultats postés ni publiés,NCT00221754,,,2004,Pravastatin in HIV-Infected Patients Treated With Highly Active Antiretroviral Therapy,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00221624,,,2004,Randomized Placebo-Controlled Trial of a Triple Therapy Combining Peginterferon Alfa-2a Plus Ribavirin Plus Amantadine Versus Peginterferon Alfa-2a Plus Ribavirin Plus Placebo in Hepatitis C-Infected Patients Non Responders to a First-Line Therapy of Interferon and Ribavirin,PEGARI,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00221650,,,2004,Efficacy and Safety of Peginterferon alfa2a and Ribavirin for the Second Line Treatment of Chronic Hepatitis C in HIV Infected Patients Previously Non Responders to a First Anti-HCV Treatment,ROCO2,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT03181802,,,2005,Are Paraspinous Intramuscular Injections of Botulinum Toxin A (BoNT-A) Efficient in the Treatment of Chronic Low-back Pain?,BoNT-A,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00273663,,,2006,The Effects of Transcranial Electrical Stimulation (TCES) on Cerebral Blood Flow (CBF) With Xenon Under Computerized Tomography (Xe/CT),,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00221793,,,2006,Study of Ponderal Load in Parkinsonian Patients After Deep Brain Stimulation of the Subthalamic Nucleus,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00454259,,,2007,"Fentanyl Ultra Low Doses Effects on Human Volunteer's Nociceptive Threshold. Towards a Simple Pharmacological Test Able to Predict Pain Vulnerability, Post Operative Hyperalgesia Development Risk?",FENTANULD,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00539916,,,2008,Effects of Regular and Consequent Citrus Fruit Consumption on Vascular Protection Specific Role of the Component Phytomicronutrients,AGRUVASC,BEHAVIORAL
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00438035,,,2008,Evaluation of Postoperative Pain by Spectral Analysis of ECG R-R Intervals,ECG-Spectral,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00413257,,,2008,Study of the Effects of Nefopam on Hyperalgesia Following Sternotomy in Cardiac Surgery,NefalCard,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00461955,,,2009,Pilot Clinical Trial of Injection of ex Vivo Amplified G-CSF Mobilised Autologous Peripheral Blood Stem Cell Transplantation in Adult Patients With Multiple Myeloma in First Response,Expansion,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00534690,,,2009,"Lowering VT and Increasing PEP During One-Lung Ventilation (OLV), Impact on Oxygenation",REVOLU,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00808730,,,2009,Role of Mitochondria in Human Bronchial Smooth Muscle Remodeling in Non Severe Asthma,MITASTHME,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00304850,,,2009,Efficacy of a Polyamine-free Diet Associated or Not With Ketamine on Early and Late Hyperalgesia After Breast Cancer Surgery,PoLyDOL,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00556738,,,2009,Intrapulmonary Percussive Ventilation and Nasal Continuous Positive Airway Pressure Ventilation in Transient Respiratory Distress of the Newborn: A Randomized Controlled Trial,HFPV,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00838266,,,2009,"A Double Blind Randomized, Placebo-controlled, Cross-over Trial to Evaluate the Efficiency of a Mouthrinse, Containing Red Grape Seed Extract and nicométhanol Fluorhydrate, in the Control of Dental Plaque Deposit in a 4-days Plaque Regrowth Model",Bain de bouche,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT00882297,,,2009,Subclavian Vein Ultrasound Guided Cannulation in Adult: Transversal and Longitudinal Approach Comparison,CATETEL,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00560456,,,2009,Chronic Sleep Restriction and Driving in Healthy Subjects or Snorers : Interindividual Vulnerability and Recovery Factors,PRIVASOM,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT00337051,,,2010,Sevoflurane-induced Prevention of Ischemia-reperfusion Lesions in Renal Allograft Transplants Recipients,SévoRein,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01223157,,,2010,Saliva and Plasma Endocannabinoids Concentrations According to Feeding Status and Body Mass Index,SALIVENDO,BIOLOGICAL
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT00221702,,,2010,"Randomized, Multicenter Phase III Trial Comparing Adjuvant Treatment With PegIntron Over 36 Months Versus Reference Treatment With IntronA Over 18 Months in Cutaneous Melanoma Patients AJCC Stage II (>=1.5 mm Clinically Node Negative)",EADO,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00479934,,,2010,Phase II Randomized Double Blind Clinical Trial of'Imatinib Mesylate STI571 (Glivec®) Versus Placebo in Patients With Severe Cutaneous Scleroderma or Systemic Sclerosis With Severe Cutaneous Involvement.,SCLEROGLIVEC,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00825422,,,2010,Assessment of Efficacy and Safety of Continuous Wound Infiltration With Local Anesthesics Through a Parietal Paravertebral Catheter for Postoperative Analgesia After Posterior Lumbar Arthrodesis,ICALP,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00486577,,,2010,Chronic Electrical Stimulation of the Auditory Cortex for Intractable Tinnitus,ACOUSCO,PROCEDURE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT00241228,,,2010,Impact of High-volume Veno-venous Continuous Hemofiltration in the Early Management of Septic Shock Patients With Acute Renal Failure,IVOIRE,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00506870,,,2010,Economic and Medical Evaluation of Self-monitoring of Anticoagulation in a Population of Patients Recently Fitted With a Mechanical Heart Valve Compared to Conventional Anticoagulation Follow-up,4A,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00926432,,,2010,"3D Evaluation of Postural Balance of the Adult Affected by Postural Trouble, Using EOS™ Images and 3D-reconstructions With Regard to Gravity Line.",POSTURADULT,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00221767,,,2010,Prospective Comparative Multicenter Study on the Medico-economical Impact of the Brindley Technique in the Management of Neurogenic Bladder in Patients With Injured Spinal Cord,BRINDLEY,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01223144,,,2011,Decision-making and Emotion Recognition in Essential Tremor,EMOTREM,BEHAVIORAL
⬛,4,4 : pas de résultats postés ni publiés,NCT01043198,,,2011,Phenotypic Characterization and Array CGH Analysis in Patients With Syndromic Obesity of Unknown Etiology,REMOB,GENETIC
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01047852,,,2011,Sequential and Early Used of Noninvasive Ventilation After Extubation in Hypercapnic Patients or in Patients With Chronic Respiratory Disorders,VHYPER,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00478985,,,2011,Evaluation of the Persistence of the Complete Molecular Remission After Stopping Imatinib Chronic Myeloid Leukemia (STIM),STIM,BEHAVIORAL
⬛,4,4 : pas de résultats postés ni publiés,NCT00741949,,,2011,Fiberoptic Bronchoscopy With Broncho-alveolar Lavage Under Noninvasive Ventilation With Propofol Target Controled Infusion in Patient With Acute Hypoxemic Respiratory Failure. A Randomized Controlled Study : SEDA-FIBRO.,SEDA-FIBRO,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01069445,,,2011,"Open Label, Randomized Study of the Impact of Diet on Gut Microbiota, Inflammageing and Oxidative Stress in Elderly People. Potential Benefits of Dietary Advices Alone or Associated to Nutraceutical Food Supplements Argan Oil, VSL#3 Probiotic Blend, 5203-L Fruit Extract Terpene. French Part of a Multicentric European Study",RISTOMED,DIETARY_SUPPLEMENT
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01070004,,,2011,Countermeasures for Sleepiness at the Wheel and Prediction of Inter- Individual Differences to Their Responses (KillSleep),KILLSLEEP,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT00804804,,,2011,"Aging,Sleep and Cognitive Process",SOMVIE,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT00931333,,,2011,"Non Comparative, Monocentric, Prospective, Phase II, Study of Calcium Phosphate Cement MCPC Efficacy and Safety for Bone Filling in Vertebral Site",VERTEBRO-MCPC,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00743561,,,2011,Study of the Performance of Ambulatory Nocturnal Polygraphy in the Diagnosis of Sleep Apnea in Multiple System Atrophy,,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00607854,,,2011,Safety and Efficacy of Ibritumomab Tiuxetan (Zevalin®) in Association With a Fludarabine Based Reduced Conditioning Regimen and Allogenic Stem Cell Support in Chemo-sensitive Relapsed CD20 Positive Aggressive Non-Hodgkin's Lymphoma Patients.,ZEVALLO,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00624728,,,2011,Assessment of 18Fluoro-thymidine PET-CT for the Volume Definition of High-grade Gliomas (GLIO-TEP) : Correlation With Histopathology,GLIO-TEP,RADIATION
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00949806,,,2011,"Phase II Non Comparative, Open Study to Assess the Efficacy and Safety of the Botulinum Toxin Type A in Patients With Restless Legs Syndrome (RLS)",SOXIS,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01167790,,,2012,Interest of Oral Tissue Autofluorescence for the Screening of Precancerous Lesions and Cancer in Population With Tobacco and Alcohol Abuse.,FLUOK,PROCEDURE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT00459589,,,2012,Nutritional Intervention in Geriatric Oncology in Patients at Risk of Undernutrition,INOGAD,BEHAVIORAL
⬛,4,4 : pas de résultats postés ni publiés,NCT00437762,,,2012,Effectiveness of Botulinum Toxin A Injection for the Treatment of Lateral Epicondylitis Unrelieved by Usual Medical Cares : A Double Blind Randomized Controlled Trial Versus Placebo,TBA,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00510640,,,2012,"Phase 2 of Sunitinib (Sutent) in Patients With Locally Advanced or Metastatic Anaplastic, Differentiated or Medullar Thyroid Cancer",THYSU,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00646269,,,2012,Efficacy Assessment of Three Non Pharmacological Therapies in Alzheimer's Disease,ETNA3,BEHAVIORAL
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT00896428,,,2012,Effects of Gallopamil on Bronchial Smooth Muscle Remodelling in Severe Asthma: a Double Blind Study.,REMODEL'ASTHME,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01421953,,,2012,Assessment of Four-dimensional (4D) 18F-fluoro-deoxy-glucose (FDG) Positron Emission Tomography and Computed Tomography System (PET-CT) in Radiotherapy for Non Small Cell Lung Cancers (NSCLC),PULMOTEP,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00241254,,,2012,"A Double-blind, Two-arm, Multicenter, Randomized Trial to Evaluate Efficacy of Cyclophosphamide Versus Methylprednisolone in Patients With Recent Secondary Progressive Multiple Sclerosis: P.R.OM.E.S.S Study",PROMESS,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01178164,,,2012,Prevalence of Fabry's Disease in a Population of Patients With Chronic Pains,DOUFAB,GENETIC
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00833209,,,2012,Orbitofrontal Cortex (OFC) Influence on Addictive Behaviour in Medication Overuse Headache (MOH) Deriving From Migraine,MOH-PET,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01170793,,,2012,Medication Overuse Headaches: the Impact of Educative Telephone Coaching Administered by Nurses Prior to the Medical Appointment in a Tertiary Consultation Center: a Comparative Randomized Trial,CAM-ET,BEHAVIORAL
⬛,4,4 : pas de résultats postés ni publiés,NCT01220349,,,2012,Early Detection of Diabetic Cardiomyopathy by Analysis of Myocardial Deformations by Two-dimensional Speckle Tracking Strain Echocardiography and Relationship to Micro-angiopathy,ECHO-DIAB,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00916253,,,2012,"Method of Assessment of Driving Ability in Patients Suffering From Wakefulness Pathologies, Impact of Modafinil Treatment.",AUTOSOP,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01056952,,,2012,Physiologic Effects of High Flow Nasal Therapy in Patients With Acute Hypoxemic Respiratory Failure,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00614081,,,2013,Measurement of Glomerular Filtration Rate With Contrast-enhanced Dynamic MR Imaging in Renal Transplant Recipients: Evaluation of the Agreement With the Cr51 -EDTA Method and of Reproducibility,IREN,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT00917709,,,2013,In Vivo SPECT Imaging of Vesicular Acetylcholine and Dopamine Transporters in Dementia With Lewy Bodies: Applying in Diagnostic and Identification of Pathological Subtypes.,IBVM/DATSCAN,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00590837,,,2013,"Randomized Prospective Study of Adding Lomustine to Idarubicin and Cytarabine for Induction and Post-remission Chemotherapy in Older Patients With Acute Myeloid Leukaemia, and Feasibility of Allogeneic Transplantation for Patients From 60 to 65 Years Old",LAM-SA 2007,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00906893,,,2013,Methodological Evaluation of Fluor 18 Labelled Fluoromisonidazole ([18F]-FMISO) Positon Emission Tomography-Computed Tomography (PET-CT) for Non Operated Glioblastoma,MISOGLIO,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00657475,,,2013,A Prospective Study of Coronary Artery Bypass Graft and/or Aortic Valve Replacement With Conventional Versus Half Heparin Dose Under Closed and Coated Extra Corporeal Circulation System (MECC) - APPACHES Study.,APPACHES,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00790686,,,2013,Study of Tolerance and Effectiveness of Ureteral Stents MEMOKATH ® 051 in the Treatment of Chronic Strictures of the Ureter,TOTEME,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT02889224,,,2013,In Vivo Study of Interactions Between the Endocannabinoid System and the Corticotropic Axis in Man,VISECA,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01288313,,,2013,Effect of N-3 Polyunsaturated Fatty Acids Supplementation on the Human Milk Composition of Lactating Women: Nutritional Intervention With Rapeseed Oil and n-3 Margarine Compared to Standard Olive Oil,Oméga 3,DIETARY_SUPPLEMENT
⬛,4,4 : pas de résultats postés ni publiés,NCT00624403,,,2013,LMA ProSeal & I-Gel : a Prospective Controlled Trial,I-Gel,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01149525,,,2013,"A Randomised, Double Blinded Cross-over Study Comparing the Efficacy of L-carnitine Versus Placebo in the Treatment of Fatigue in Multiple Sclerosis",FACTSEP,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01082419,,,2013,Acoustic Radiation Force Impulse Imaging (ARFI) : a New Technique to Assess Liver Elasticity - Norms in ARFI: Distribution and Reproducibility of ARFI Values in Disease-free Livers or Pathological Livers.,NARFI,DEVICE
