statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00121121,,,2005,A Phase Ib Vaccine Trial Evaluating the Safety and Immunogenicity of HIV Lipopeptides by Two Administration Routes (Intramuscular And Intradermal) in Healthy Adult Volunteers. ANRS VAC16 Trial,,BIOLOGICAL
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00120185,,,2006,Study of the Immunological Efficacy of Using Subcutaneous Interleukin-2 (IL-2) in Antiretroviral Naïve HIV-1-Infected Subjects With a CD4 Cell Count Above 300/mm3. ANRS 119 Trial INTERSTART,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00196586,,,2006,Pilot Study of Addition of IL-2 to Pegylated Interferon Alpha 2a and Ribavirin for the Treatment of Chronic Hepatitis C in HIV-HCV Coinfected Patients Non Responders to Three Months of Therapy With Pegylated Interferon Alpha 2a and Ribavirin. ANRS HC09 SECOIIA,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00122603,,,2007,Efficacy and Safety of Regimens Restricted to a Combination of Two Boosted Protease Inhibitors as Potent Antiretroviral Therapy in HIV-1 Infected Patients. ANRS 127 2IP,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00148863,,,2007,Pilot Study on Interferon Gamma in Association With Peg-Interferon Alpha 2a and Ribavirin Among Patients With a Chronic Hepatitis C and Non Responders to the Association of Peg-Interferon Alpha 2b or 2a and Ribavirin ANRS HC16 Gammatri,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00120367,,,2007,Early Intensification of Combination Antiretroviral Therapy Including FUZEON® in the Treatment of Progressive Multifocal Leucoencephalopathy During HIV-1 Infection ANRS 125 Trial,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00117494,,,2007,Randomised Comparative Study of the Efficacy and Safety of Rosuvastatin and Pravastatin in Dyslipidemic Patients Treated With Antiretroviral Agents. Anrs 126,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00118677,,,2007,Long-Term Supervised Treatment Interruption in HIV-Infected Patients Who Started Antiretroviral Treatment With CD4 Over 350/mm3 and Plasma HIV RNA Below 50 000/mL ANRS 116 Trial SALTO,,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00121758,,,2007,Randomised Double Blinded Phase II AIDS Vaccine Study Comparing Immunogenicity and Safety of 3 Doses of Lipopeptide (LIPO-5) Versus Placebo in Non Infected HIV Volunteers (ANRS VAC 18),,BIOLOGICAL
⬛,4,4 : pas de résultats postés ni publiés,NCT00113282,,,2008,Study of the Immunological Efficacy of Adding Subcutaneous Interleukin-2 (IL-2) to an Optimized Antiretroviral Regimen in HIV-1-infected Subjects Experiencing Therapeutic Failure on an Ongoing Antiretroviral Combination With a CD4 Cell Count ≤ 200/mm3 ANRS 123 Trial,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00454337,,,2008,Randomized Non-inferiority Study Comparing a Strategy Maintaining Current Enfuvirtide-based Antiretroviral Therapy to a Strategy Replacing Enfuvirtide by an Integrase Inhibitor (Raltegravir) in HIV-1 Infected Subjects With Plasma Hiv-1 RNA Levels Below 400 Copies Per ml.ANRS 138 EASIER,EASIER,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00528060,,,2008,"Pilot Study to Measure Exposure to Atazanavir, as a Component of Pharmacokinetic Parameters and Adherence Measured With MEMS in Naive HIV-infected Patients Treated Once Daily With Atazanavir Combined to Ritonavir and to Tenofovir/Emtricitabine. ANRS 134 Cophar 3",ANRS134COPHAR3,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00120757,,,2008,"Efficacy of Alendronate Versus Placebo in the Treatment of HIV-1 Associated Osteoporosis, a Multicenter, Randomized, Controlled Trial. ANRS 120 Fosivir",,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,,2007-000162-20,,2008,"Essai randomisé de non-infériorité comparant une stratégie de maintien du traitement antirétroviral en cours à une stratégie de substitution de l’enfuvirtide par un inhibiteur de l’intégrase (MK 0518) chez des sujets infectés par le VIH-1, ayant un ARN VIH-1 plasmatique inférieur à 400 copies/ml.",EASIER,DRUG (presumed)
🟥,3,3 : résultats postés ou publiés après les 36 mois,,2007-003203-12,,2008,"Pharmacocinétique de l’atazanavir chez des patients infectés par le VIH, traités en première ligne par l’association atazanavir+ritonavir et emtricitabine+ténofovir en prise unique.",COPHAR-3,DRUG (presumed)
⬛,4,4 : pas de résultats postés ni publiés,NCT00302822,2005-004722-12,,2009,Enfuvirtide for the Initial Phase of Antiretroviral Therapy in HIV-infected Patients With High Risk of Clinical Progression : ANRS 130 APOLLO,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00196664,,,2009,"Assessment of the Efficacy of Paroxetine in the Prevention of Depressive Syndrome in Patients With Chronic Hepatitis C Treated by PEG-Interferon Alfa Plus Ribavirin. Multicentric, Double-Blinded, Randomized Study. ANRS HC18 Paropeg",,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00122616,,,2009,Efficacy of Pegylated Interferon on Liver Fibrosis in Co-infected Patient With HIV and C Hepatitis Who Failed to Active Treatment for HCV. ANRSHC12 Fibrostop,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00115609,,,2009,Pilot Trial Evaluating Once Daily Triple Combination Antiretroviral Therapy With Tenofovir-Emtricitabine and Efavirenz in HIV-1 Infected Patients With Mycobacterium Tuberculosis Infection ANRS129 BKVIR,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00490074,,,2009,A Phase I/II Trial to Compare the Immunogenicity and Safety of 3 DNA C Prime Followed by 1 NYVAC C Boost to 2 DNA C Prime Followed by 2 NYVAC C Boost,EV03/ANRSVAC20,BIOLOGICAL
⬛,4,4 : pas de résultats postés ni publiés,NCT00460382,,,2009,"Prospective Clinical Trial to Assess Safety and Efficacy of DRV/r(TMC 114/r), ETV(TMC 125) and MK-0518 in Addition to OBT in HIV-1 Infected Patients With Limited to No Treatment Options ANRS 139 TRIO",ANRS139 TRIO,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,,2007-000670-23,,2009,"Essai pilote évaluant un traitement antirétroviral associant le MK-0518, le darunavir/ritonavir (TMC114/r) et l’etravirine (TMC125) chez les patients infectés par le VIH-1, en échec virologique et porteurs de virus multi-résistants.",TRIO,DRUG (presumed)
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00574652,2006-004039-31,,2010,"ANRS HC 21 VASCU IL-2, Evaluation of the Cellular Immune Response, Clinical Efficacy and Tolerance After IL-2 Therapy in HCV-related Vasculitis Patients, Resistant to Conventional Therapy.",VASCU-IL2,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT01038401,,,2010,Characterization of the Residual Replication of HIV-1 in the Gut-associated Lymphoid Tissue in Patients Receiving Effective Highly Active Antiretroviral Therapy: the ANRS EP 44 Study,EP 44,PROCEDURE
