statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00199576,,,2002,"Prevention of Post-Extubation Laryngeal Edema With Intravenous Corticosteroids: a Prospective, Double-Blind, Placebo-Controlled Trial.",,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00344526,,,2006,Autologous Stem Cell Transplantation (ASCT) Versus Oral Melphalan and High-Dose Dexamethasone in Patients With AL (Primary)Amyloidosis. A Prospective Randomized Trial .,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00199615,,,2006,Follow-up of Patients With Curative-Intent Surgical Resection for NSCLC : CT Scanning Versus 18 FDG Imaging.,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00199719,,,2006,"Study of the Pharmacokinetic Action of Amantadine and Ribavirin in Chronic Hepatitis C Non 2 -3 Genotype naïve Patients Treated With a 12 Weeks Bitherapy of Peginterferon Alpha 2a-Ribavirin, and Followed by a Tritherapy of Peginterferon Alpha 2a-Ribavirin-Amantadine for 36 Weeks",CINAM,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00455676,,,2006,Chevron Osteotomy Versus SCARF Osteotomy in the Treatment of Hallux Valgus,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00199589,,,2007,Treatment of Spastic Equinovarus Foot After Stroke. Efficacy: Association Between Ankle Foot Orthosis and Botulinum Toxin A (BTA) Injection,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00199758,,,2007,A Randomized Phase II Trial of Early Change of a Chemotherapeutic Doublet Versus Four Cycles of Chemotherapy in Advanced Non Small Cell Lung Cancer.,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00820937,,,2008,Interest of the Combination of the DaTSCAN Scintigraphy and MRI Scan in the Differential Diagnosis of Lewy Body Dementia From Alzheimer Disease in Patients With Hallucinations,DatScan,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00820326,,,2008,"A Randomized, Double-Blind, Placebo-Controlled, Study of Efficacy of DOLASETRON in Patients With Fibromyalgia",Dolastron,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00492492,,,2008,Treatement of Extension Fractures of the Distal Radius : Prospective Randomized Postoperative Comparison Between Trans-styloid and Intrafical Pinning on the One Side and Volar Fixed-angle Plating on the Other Side.,fradius,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00827463,,,2009,The Early Detection of Anaemia During the Maternity Decreases the Anaemia at the End of the Maternity.,anémie,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT00284778,,,2009,A Randomized Cost-minimization Trial Comparing Pemetrexed (Alimta®) Versus Docetaxel (Taxotere®) as Second Line Treatment in Advanced Non Small Cell Lung Cancer (NSCLC): Study 05-06 of Groupe Français de Pneumo-Cancérologie (GFPC).,,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00199602,,,2010,Prophylaxis of Thrombosis With Implantable Devices for Central Venous Access in Cancer Patients : Phase III Randomised Study,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00805402,,,2010,"Interest of Flow Cytometry for the Diagnosis, the Follow up and SIT Arrest of Hymenoptera Venom Allergy",Cytoven,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00754533,,,2010,Influence of Different Exercise Training Programs in Patients With Coronary Artery Disease on Cardiac and Respiratory Parameters,FRAXIO,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00797537,,,2010,Concordance Entre l'échographie du Genou et la Radiographie Standard Dans la détection Des Calcifications Dans le Cadre de la Chondrocalcinose Articulaire,chondro,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00826683,,,2011,Detection of Circulating Endothelial Progenitor Cells (EPCs) in Peripheral Blood From Non-small Cell Lung Cancer Patients,CBNPC:PCE,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT00456235,,,2011,Interruption of the Calcineurine Inhibitors (ICN) and Introduction of Mycophenolate Mofetil (MMF) in Liver Transplant Patients With Side Effects Due to ICN: Study of the Reduction of the Risks of Rejection by Mycophenolate Mofetil Therapeutic Drug Monitoring,MONOCEPT,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00630695,2007-003576-19,,2011,Evaluation of the Efficacity of Lanreotide LP 90 mg to Minimized the Lymphorrhea Post Axillary Lymphadenectomy in Breast Cancer,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00551798,,,2011,Prediction of the Response to Chemotherapy by Tomoscintigraphie the MIBI in the Balance Sheet Pre Hodgkin's Disease and Lymphoma Malins High Grade,MIBI,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00812786,,,2012,"Multicentre, Open Study for the Setting up of Population Pharmacokinetic Models and Bayesian Estimators for Individual Dose Adjustment of Immunosuppressive Drugs (Cyclosporine, Tacrolimus, Mycophenolate Mofetil, Everolimus) During the First Year Post-grafting in Adult Heart Transplant Recipients.",PIGREC,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00812864,,,2012,Pharmacokinetic Study of Capecitabine in Elderly Cancer Patient (≥75 Years),capagec,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01008540,,,2012,"Cytomegalovirus Resistance in Transplant Patients and Bone Marrow Recipients in the Prophylaxis Era, a French Multicentric Cohort Study",PHRC CMV,BIOLOGICAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00283985,,,2012,Phase II Study of an Association of L-asparaginase-Methotrexate-Dexamethasone for Relapsing and/or Refractory Nasal and Nasal-type NK-T-cell Lymphoma,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01432977,2011-002213-12,,2012,Paracetamol and Setrons : Drug Interactions in the Management of Pain After Tonsillectomy in Children,PARATRON,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01659190,,,2013,The Painful Real-life Experience of the Child of Less Than Three Years During the Removal of the Collecting Bags in the Pediatric Urgency: What Strategy of Coverage?,LINIPOCHE,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00199654,,,2013,PET Interest in the Follow Up of Colorectal Cancer Stage II and III: Phase III Randomised Study,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01200771,2007-005823-14,,2014,Impact of the PET-scan in the Diagnosis Strategy of Fever Unknown Origin or Inflammatory Syndrome in Immunocompetent Patients,FUO-TEP,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01188993,,,2014,Hemodynamic Assessment With Transpulmonary Thermodilution and Transesophageal Echocardiography in Patients With Early Septic Shock,HEMOSEPSIS,COMBINATION_PRODUCT
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01268033,2009-018266-35,,2014,"A Prospective, Randomized, Double Blind, Placebo-controlled Phase II/III Study Evaluating the Efficacy of Rituximab in the Prevention of Relapse of Calcineurin Inhibitors Dependent Idiopathic Nephrotic Syndrome of Childhood",NEPHRUTIX,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01350817,,,2014,Randomized Open Non Comparative Multicenter Phase II Study of Sequential Erlotinib With Docetaxel Versus Docetaxel Alone in Second Line of Treatment in Patients With Non Small Cell Lung Cancer After Failure of First Line Chemotherapy,TARSEQ,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01369797,,,2015,"Prospective Randomized Study of the Impact on the Autonomy of the Elderly of 75 Years of Age and Older by the Unit for Prevention, Monitoring and Analysis of Aging (UPSAV).",GEROPASS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02164890,,,2016,Pharmacokinetics of Micafungin in Patients of Intensive Care Units,MI-K,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01029678,2009-012413-21,,2016,Phase II Study Evaluating Treatment With Oral Navelbine and Cisplatin Administered Weekly and Concomitant Radiotherapy in Elderly Patients With no Operable NSCLC,RACCOSA,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT02374866,,,2016,"Monitoring Obese Patients: Impact on the Frequency of Monitoring Weight, Quality of Life, Dietary Behavior, Physical Ability and Comorbidities",SUIVIOBESITE,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01775527,,,2016,"IgA Nephropathy, Lymphocyte Homing and IgA Class Switch",NIDOCIGA,OTHER
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02779920,,,2017,"Feasibility of Endoscopic Pylorotomy in the Treatment of Refractory Gastroparesis, Pilot Study.",GASTROPOP,PROCEDURE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT02186951,2014-000202-35,,2017,Prevention of Early Ventilator-associated Pneumonia With Antibiotic Therapy in Patients Treated With Mild Therapeutic Hypothermia After Cardiac Arrest.,ANTHARTIC,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02278627,,,2017,Impact of a Technique of Massage During the First Week of Hospitalization on the Recycling of the Mobility of the Knee Further to the Installation of Knee Replacement,PTGMass,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02300376,,,2017,"Designing a Bayesian Model of the Plasma Clearance of Calcium Edetate de Sodium, With a Limited Sampling Strategy for the Calculation of Glomerular Filtration Rate (GFR) and Validity Assessment Compared to the Renal Clearance of Inulin : DFGBay",DFGBay,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01795612,,,2017,Adapted Physical Activity Effect on Aerobic Function and Fatigue at Home in Patients With Breast Cancer Treated in Adjuvant or Neoadjuvant Phase,APAC,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01862822,,,2017,Position of Children During Urine Collection: Evaluation Study,PUCES,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02694484,,,2017,Search Cytomegalovirus (CMV) in Healthy Volunteers Stools Samples Selected as Potential Donor for Fecal Microbiota Transplant,TRANSFECMV,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,,2016-000106-11,,2018,"EVALUATION OF THE EFFICIENCY OF TREATMENT BY BUMETANIDE ON AUTISTIC CHILDREN WITH A KNOWN ETIOLOGY: MULTICENTER AND DOUBLE-BLIND STUDY WITH RANDOMIZED PARALLEL GROUP, AGAINST PLACEBO. 
 
 
 Evaluation de l'efficacité d'un traitement par bumétanide chez les enfants autistes avec une étiologie connue : étude multicentrique randomisée en groupes parallèles et double aveugle contre placebo.","BUMAUTEP 
 
 
 BUMAUTEP",
⬛,4,4: pas de résultats postés ni publiés,NCT02460250,,,2018,Evaluation of Liver Grafts With FibroScan® Before Organ Retrieval in Patients With Brain Death,FIBROSCAME,PROCEDURE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT01822938,,,2018,Follow-up of Patients' Physical Activity in Post-hospitalization by Implementation of Systems of Active Monitoring.,TICAA'DOM,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01639898,,,2018,Phase II Trial With Lenalidomide-Dexamethasone Combination in the Treatment of POEMS Syndrome.,POEMS,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT03511612,,,2018,Comparison of the Ankle-Brachial Index Measurement Using a Specific Oscillometric Device vs. the Doppler Method,ABIOSCILLO,DIAGNOSTIC_TEST
⬛,4,4: pas de résultats postés ni publiés,NCT03205397,,,2018,Impact of a Child-Parent Preoperative Accompanying Procedure on the Anxiety of Children Aged 5 to 12 With Scheduled Surgery,I-PPOP,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02563821,,,2018,Programmed Intermittent Epidural Bolus Versus Continuous Epidural Infusion for Third Trimester Medical Termination of Pregnancy Analgesia : a Randomized Study.,PCEA-IMG,PROCEDURE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT03157011,,,2018,Evaluation of the Prevalence of Functional Digestive Disorders During Primary Sjögren Gougerot Syndrome,GASTRO-SGS,OTHER
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02373371,2014-003602-32,,2018,Efficacy and Safety of Metvix® Natural Daylight Photodynamic Therapy Versus Conventional Metvix® Photodynamic Therapy in Subject With Mild Actinic Keratoses,"Metvix®, Natural Daylight Photodynamic Therapy, Actinic keratosis",PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02778984,,,2018,Facial Mask Tightness: A Comparative Study,EMAF,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01501760,2010-022858-16,,2019,Effect of Bevacizumab Subconjunctival Injections on Corneal Newvessels,BECONNEC,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT03076151,,,2019,Interventional Multicentre Pharmacokinetic Study of Adoport® (Tacrolimus) in Patients With de Novo Kidney Transplantation,IMPAKT,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02155686,,,2019,Etude de l'Impact Clinique de la télésurveillance à Domicile Par télémédecine de paramètres biométriques de la Personne âgée Polypathologique,e-COBAHLT,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT03118401,,,2019,Stool Ritual: Impact on the Number of Nights Without Stools Among Dependent Residents in Institutions for Dependent Elderly People,RITUELIM,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02993133,,,2019,"Pharmacokinetics Study of Mycophenolic Acid in Patients With an Autoimmune Bullous Dermatose, Pemphigus or Cicatricial Pemphigoid.",PEMPA,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02047591,,,2019,"Study of a Therapy Without Drugs, Supplementary to an Usual Treatment for the Pains Caused by Removing the Redon's Drain From a 7 to 17 Years Old Child in Pediatric Surgery.",TOUTETDOU,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02716051,,,2019,Initial Staging of Bronchopulmonary Neoplasia: Whole-body MRI Versus Pet Scanner,WISLON,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT03769597,2018-002778-35,,2019,"Description of the Evolution of Plasma and Urinary Concentrations of Iohexol in a Cirrhotic Patient Population: ""Pilot Study on 9 Patients""",DFG HEP,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02816177,,,2019,Impact of Telemedicine on Avoiding Emergency Hospital Admissions and Hospitalization for Nursing Home Residents,GERONTACCESS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT03559283,,,2019,Using Functional Near-infrared Spectroscopy (fNIRS) in the Evaluation of Cognitive-motor Interference in Post-stroke Patients,ICM-AVC,DIAGNOSTIC_TEST
⬛,4,4: pas de résultats postés ni publiés,NCT02683590,,,2019,STernectOmy Repair Efficiency of a Ceramic Implant,STOIC,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT03698565,,,2020,Evaluation of the Analgesia Nociception Index and Videopupillometry to Predict a Child's Post-tonsillectomy Morphine Prescription,ENIGME,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT04885387,,,2020,X-ray-free Protocol for Pectus Deformities Based on Magnetic Resonance 1 Imaging and a Low-cost Portable Three-dimensional Scanning Device,,DEVICE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02531737,2015-000475-27,,2020,Multicenter Phase II Trial of Nintedanib (Vargatef®) Plus Docetaxel in Second Line of Treatment in Patients With no Squamous Non Small Cell Lung Cancer Refractory to First Line Chemotherapy,REFRACT,DRUG
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02816476,2016-000287-42,,2020,A Multicentre Open Label Phase II Study of Daratumumab in AL Amyloidosis Patients Not in VGPR or Better,AMYDARA,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02334345,,,2021,Skin Protection During Radiotherapy in Patients With Breast Cancer: A Comparative Study of Evoskin® Verus Trixéra®,EVOSKIN,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02152449,,,2021,Impact on Functional Status of Early Oral Nutritional Supplementation (ONS) in Amyotrophic Lateral Sclerosis (ALS) Patients,NUTRALS,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT04797117,,,2021,"Analytical Validation of the abioSCOPE Device With a PSP Test: Point-of-Care Precision, Sample Type Comparison and Sample Stability",AB-PSP-005,DIAGNOSTIC_TEST
⬛,4,4: pas de résultats postés ni publiés,NCT03185663,,,2021,"Pilot Study Comparing Two Techniques of Taking Care Analgesic in Patients 70 and Older, Awaiting Surgery After Extracapsular Fracture of the Proximal Femur",ALGOFRACT,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT04889573,,,2021,Immunoglobulin Gene Rearrangement and Repair in Healthy Donors,R2IGH,GENETIC
⬛,4,4: pas de résultats postés ni publiés,NCT02813928,,,2022,Diagnostic and Prognosis Value of Circulating DNA for CRC Patients' Surveillance After Curative Treatment,ADNCirc,GENETIC
⬛,4,4: pas de résultats postés ni publiés,NCT04803799,,,2022,Effects of an Exergame Focused on Cognitive-motor Interference on the Cognitive and Motor Capacities of Older Adults,INCOME,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT05171114,,,2022,"Scleroderma: Description of Functional Disability Between the Dominant and Contralateral Hand, a Single-centre Descriptive Cohort.",SCLERO-HAND,DIAGNOSTIC_TEST
⬛,4,4: pas de résultats postés ni publiés,NCT05540210,,,2022,Analytical Validation of the abioSCOPE Device With the IVD CAPSULE PSP Test: Comparison of PSP Values Measured With Venous Whole Blood and Those Measured With Arterial Whole Blood,AB-PSP-006,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT05477238,,,2023,Oxygen Consumption in Post-stroke Patients During Various Walking Activities Compared to Healthy Controls,STROXCO,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT05545566,,,2023,Evaluation of Thoracic Ultrasound in Monitoring Pleural Drainage in Postoperative Thoracic Surgery,EchTHor,PROCEDURE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT03133273,,,2024,"Study of the Therapeutic Response and Survival of Patients with Metastatic Colorectal Cancer (stage IV) and Treated According to the Guidelines of a Chemosensitivity Test, Oncogramme®",ONCOGRAM,OTHER
⬛,4,4: pas de résultats postés ni publiés,,2006-005113-35,,,Efficacité d'un ocytocique seul versus ocytocique/misoprostol sur la quantité des pertes sanguines liées à la délivrance,GYMISO,
⬛,4,4: pas de résultats postés ni publiés,NCT01305161,,,,Diagnostic Accuracy of Flow Cytometry Applied to the Diagnosis of Peri-anaesthesic Reactions Induced by Neuromuscular Blockers,CYPREANE,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00199641,,,,Evaluation of Two Enteral Nutrition Strategies in Mechanically Ventilated Patients,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00559195,,,,Phase 2 Study Evaluating the Efficacy of Epoetin Beta (Neocormon®) For Fatigue and Quality of Life of Patients Receiving Palliative Care for a Solid Malignant Tumor,,BIOLOGICAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00559676,,,,Phase 4 Study to Characterize and Evaluate Markers of Chemoresistance in Patients With Metastatic Colorectal Cancer,,DRUG
