statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00188071,,,2003,Postoperative Pain After Medical Abortion Under Local Anesthesia : a Prospective and Randomized Trial Comparing Several Analgesic Regimen,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00188058,,,2006,Comparison of Two Strategies for Setting Positive End-Expiratory Pressure in Acute Lung Injury/ Acute Respiratory Distress Syndrome (ExPress Study).,ExPress,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00188032,,,2006,Strategies for Suspected Pulmonary Embolism in Emergency Departments - SPEED Study,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00262379,,,2009,"Multicenter Study, Randomized and Pragmatic, Comparing Two Therapeutic Strategies : Use or Non-use of Epoetin Beta in Patients Infected by Chronic Hepatitis C and Treated by Combination Therapy Peginterferon Alfa-2a Plus Ribavirin",,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01068886,,,2009,External Pancreatic Duct Stent After Pancreaticoduodenectomy: a Prospective Randomized Multicenter Trial,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01052974,,,2010,Perioperative Analgesia by Femoral Perineural Catheter for Femoral Neck Fracture - Study KTcol -,KTcol,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00485147,,,2010,Study of Human Locomotion With Global Positioning System. Application to Patients With Peripheral Arterial Disease,Starter-GPS,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00648089,,,2010,ErythroPOietin in Myocardial Infarction,EPOMI,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01390129,,,2012,Remote Ischemic Preconditioning in Aortic Valve Surgery (RIP-Valve),RIP-Valve,PROCEDURE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT01592812,,,2012,Investigation of the Arterial Effects of the Veinoplus(r) Stimlator Device.,,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01149278,,,2012,,SEPSISPAM,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00188019,,,2013,Evaluation Des méthodes de dépistage du Paragangliome héréditaire Chez Les Sujets prédisposés génétiquement,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02179411,,,2013,Study of the Renal Perfusion in Healthy Volunteers and Renal Transplant Recipients During an Orthostatic Stress,ortho_rein,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01572961,,,2013,Amélioration Des Techniques d'étude de la Micro-cirulation cutanée Chez Des Sujets Sains,MICROTEC,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01549691,,,2013,Assessment of Two Modes of Premedication in Surgery - PREMED Study,PREMED,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01390142,,,2013,Remote Ischemic Preconditioning Combined to Local Ischemic Postconditioning in Acute Myocardial Infarction (RIRE-1),RIRE-1,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02003157,,,2014,,HYPNOART,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02704247,,,2014,Evaluation of CARDIOSPACE System in Healthy Volunteers for Physiological Research in Space Environment,CARDIOSPACE,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01300845,,,2014,"Prospective, Randomized, Multi-center Trial Aiming at Assessing the Effect of Humidification on the Comfort of the Patient Receiving an Oxygen Therapy.",OXYREA,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02120144,,,2014,Effect of Observation Plus Imagination of Gait on Stride Variability in Young and Older Adults,OBI,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT02538120,,,2015,Assessment of the Neurovascular Microcirculatory Response in Diabetes Type 1,NEURODIAB1,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT02549053,,,2015,Prevalence of Human Papillomavirus in Barrett Esophagus Compared With Controls,Barrett,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02086409,,,2015,"Dairy Product, Calcium & Vitamin D Supplementation and Cognitive-motor Function",GAME-D2,DIETARY_SUPPLEMENT
