statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4 : pas de résultats postés ni publiés,NCT00153231,,,2007,"Clinical Evaluation of Morbidity and Efficacy of Posterior IVS (Infracoccygeal Sacropexy), in Comparison to the Standard Sacrospinous Suspension in the Surgical Treatment of Vaginal Vault Prolapse by the Vaginal Route.",,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00370877,2005-005801-40,,2010,Recombinant Human Activated Factor VII as Salvage Therapy in Women With Severe Postpartum Hemorrhage,,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01189188,,,2010,Ultrasound Guidance for Radial Arterial Blood Sampling,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,,2006-005537-38,,2010,"Etude de prédiction de la réponse à une chimiothérapie d’induction de 3 cures de Docetaxel, Cisplatine et 5-Fluorouracile, des carcinomes épidermoïdes des voies aéro-digestives supérieures de stades T3 ou T4, tout N, MO, inopérables, par analyse en micro-puces des modifications transcriptionnelles tumorales induites par la première cure",,DRUG (presumed)
⬛,4,4 : pas de résultats postés ni publiés,,2008-007090-20,,2011,Analgésie post-opératoire après prothèse totale de hanche : Intérêt de l’infiltration péri articulaire d’anesthésiques locaux,,DRUG (presumed)
⬛,4,4 : pas de résultats postés ni publiés,NCT00264589,,,2011,Effects of an Individualized Training Program on Cardiovascular Function at Rest and During Exercise in Obese and in Type 2 Diabetic Subjects,,BEHAVIORAL
⬛,4,4 : pas de résultats postés ni publiés,NCT03867071,,,2012,Early Administration of Recombinant Erythropoietin (RHEPO) in Transfusion Savings in Trauma Patients,EPREX,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01647802,,,2012,Cross-over Study of Three Modular Devices for Aid in Patient Standing and Transfer,VTT,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT01644760,,,2012,Respiratory Variations in the Diameter of the Inferior Vena Cava With Spontaneous Ventilation: A Physiological Study on Healthy Volunteers,,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01647815,,,2012,Ultrasound Comparison of the Surface of the Subclavian Vein (Arm in Abduction (90°) and External Rotation (90 °)) and the Surface of the Axillary Vein (Arms Along the Body) Versus the Surface of the Subclavian Vein (Arm Along the Body),AnatoAbord,PROCEDURE
